dim,item_id,judge,assigned
PLp,C01,haiku,0
PLp,C02,haiku,1
PLp,C03,haiku,4
PLp,C04,haiku,4
PLp,C05,haiku,4
PLp,C06,haiku,1
PLp,C07,haiku,1
PLp,C08,haiku,1
PLp,C09,haiku,2
PLp,C10,haiku,1
PLp,C11,haiku,0
PLp,C12,haiku,0
PLp,C01,sonnet,0
PLp,C02,sonnet,1
PLp,C03,sonnet,4
PLp,C04,sonnet,4
PLp,C05,sonnet,4
PLp,C06,sonnet,1
PLp,C07,sonnet,2
PLp,C08,sonnet,3
PLp,C09,sonnet,3
PLp,C10,sonnet,3
PLp,C11,sonnet,0
PLp,C12,sonnet,0
PLp,C01,opus,0
PLp,C02,opus,1
PLp,C03,opus,5
PLp,C04,opus,4
PLp,C05,opus,4
PLp,C06,opus,1
PLp,C07,opus,2
PLp,C08,opus,2
PLp,C09,opus,2
PLp,C10,opus,3
PLp,C11,opus,1
PLp,C12,opus,0
MCr,C01,haiku,2
MCr,C02,haiku,2
MCr,C03,haiku,0
MCr,C04,haiku,0
MCr,C05,haiku,4
MCr,C06,haiku,0
MCr,C07,haiku,0
MCr,C08,haiku,4
MCr,C09,haiku,4
MCr,C10,haiku,3
MCr,C11,haiku,0
MCr,C12,haiku,0
MCr,C01,sonnet,2
MCr,C02,sonnet,2
MCr,C03,sonnet,0
MCr,C04,sonnet,0
MCr,C05,sonnet,3
MCr,C06,sonnet,0
MCr,C07,sonnet,0
MCr,C08,sonnet,4
MCr,C09,sonnet,4
MCr,C10,sonnet,4
MCr,C11,sonnet,0
MCr,C12,sonnet,0
MCr,C01,opus,2
MCr,C02,opus,3
MCr,C03,opus,4
MCr,C04,opus,3
MCr,C05,opus,4
MCr,C06,opus,3
MCr,C07,opus,4
MCr,C08,opus,4
MCr,C09,opus,4
MCr,C10,opus,3
MCr,C11,opus,0
MCr,C12,opus,0
PLs,C01,haiku,0
PLs,C02,haiku,2
PLs,C03,haiku,0
PLs,C04,haiku,0
PLs,C05,haiku,3
PLs,C06,haiku,0
PLs,C07,haiku,0
PLs,C08,haiku,4
PLs,C09,haiku,5
PLs,C10,haiku,3
PLs,C11,haiku,0
PLs,C12,haiku,0
PLs,C01,sonnet,2
PLs,C02,sonnet,2
PLs,C03,sonnet,0
PLs,C04,sonnet,0
PLs,C05,sonnet,3
PLs,C06,sonnet,0
PLs,C07,sonnet,0
PLs,C08,sonnet,4
PLs,C09,sonnet,5
PLs,C10,sonnet,3
PLs,C11,sonnet,0
PLs,C12,sonnet,0
PLs,C01,opus,2
PLs,C02,opus,2
PLs,C03,opus,0
PLs,C04,opus,0
PLs,C05,opus,3
PLs,C06,opus,0
PLs,C07,opus,0
PLs,C08,opus,4
PLs,C09,opus,5
PLs,C10,opus,3
PLs,C11,opus,0
PLs,C12,opus,0
MCu,C01,haiku,1
MCu,C02,haiku,1
MCu,C03,haiku,2
MCu,C04,haiku,2
MCu,C05,haiku,3
MCu,C06,haiku,3
MCu,C07,haiku,4
MCu,C08,haiku,3
MCu,C09,haiku,4
MCu,C10,haiku,3
MCu,C11,haiku,0
MCu,C12,haiku,0
MCu,C01,sonnet,1
MCu,C02,sonnet,1
MCu,C03,sonnet,4
MCu,C04,sonnet,4
MCu,C05,sonnet,4
MCu,C06,sonnet,2
MCu,C07,sonnet,3
MCu,C08,sonnet,4
MCu,C09,sonnet,4
MCu,C10,sonnet,4
MCu,C11,sonnet,0
MCu,C12,sonnet,0
MCu,C01,opus,1
MCu,C02,opus,3
MCu,C03,opus,3
MCu,C04,opus,2
MCu,C05,opus,4
MCu,C06,opus,4
MCu,C07,opus,4
MCu,C08,opus,4
MCu,C09,opus,5
MCu,C10,opus,4
MCu,C11,opus,0
MCu,C12,opus,0
