custom_id,instance,dist_to_goal
chain-3-boat-1#s0,chain-3-boat-1,1
chain-3-boat-1#s1,chain-3-boat-1,3
chain-3-boat-1#s2,chain-3-boat-1,4
chain-3-boat-1#s3,chain-3-boat-1,5
chain-3-boat-1#s4,chain-3-boat-1,7
chain-3-boat-2#s0,chain-3-boat-2,1
chain-3-boat-2#s1,chain-3-boat-2,2
chain-3-boat-2#s2,chain-3-boat-2,3
chain-3-boat-3#s0,chain-3-boat-3,1
chain-3-boat-3#s1,chain-3-boat-3,2
chain-3-boat-4#s0,chain-3-boat-4,1
chain-3-boat-4#s1,chain-3-boat-4,2
chain-4-boat-2#s0,chain-4-boat-2,1
chain-4-boat-2#s1,chain-4-boat-2,2
chain-4-boat-2#s2,chain-4-boat-2,3
chain-4-boat-2#s3,chain-4-boat-2,4
chain-4-boat-3#s0,chain-4-boat-3,1
chain-4-boat-3#s1,chain-4-boat-3,2
chain-4-boat-3#s2,chain-4-boat-3,3
chain-4-boat-4#s0,chain-4-boat-4,1
chain-4-boat-4#s1,chain-4-boat-4,2
chain-5-boat-2#s0,chain-5-boat-2,1
chain-5-boat-2#s1,chain-5-boat-2,3
chain-5-boat-2#s2,chain-5-boat-2,4
chain-5-boat-2#s3,chain-5-boat-2,5
chain-5-boat-2#s4,chain-5-boat-2,7
chain-5-boat-3#s0,chain-5-boat-3,1
chain-5-boat-3#s1,chain-5-boat-3,2
chain-5-boat-3#s2,chain-5-boat-3,3
chain-5-boat-4#s0,chain-5-boat-4,1
chain-5-boat-4#s1,chain-5-boat-4,2
chain-5-boat-4#s2,chain-5-boat-4,3
chain-6-boat-3#s0,chain-6-boat-3,1
chain-6-boat-3#s1,chain-6-boat-3,2
chain-6-boat-3#s2,chain-6-boat-3,3
chain-6-boat-3#s3,chain-6-boat-3,4
chain-6-boat-4#s0,chain-6-boat-4,1
chain-6-boat-4#s1,chain-6-boat-4,2
chain-6-boat-4#s2,chain-6-boat-4,3
star-3-boat-1#s0,star-3-boat-1,1
star-3-boat-1#s1,star-3-boat-1,3
star-3-boat-1#s2,star-3-boat-1,4
star-3-boat-1#s3,star-3-boat-1,5
star-3-boat-1#s4,star-3-boat-1,7
star-3-boat-2#s0,star-3-boat-2,1
star-3-boat-2#s1,star-3-boat-2,2
star-3-boat-2#s2,star-3-boat-2,3
star-3-boat-3#s0,star-3-boat-3,1
star-3-boat-3#s1,star-3-boat-3,2
star-3-boat-4#s0,star-3-boat-4,1
star-3-boat-4#s1,star-3-boat-4,2
star-4-boat-2#s0,star-4-boat-2,1
star-4-boat-2#s1,star-4-boat-2,2
star-4-boat-2#s2,star-4-boat-2,3
star-4-boat-2#s3,star-4-boat-2,4
star-4-boat-2#s4,star-4-boat-2,5
