custom_id,prompt
chain-3-boat-1#s2,"You are partway through a river-crossing puzzle. The boat carries the farmer and at most 1 item per crossing. The item1 and the item2 must not be left together without the farmer. The item2 and the item3 must not be left together without the farmer. Current situation -- Left bank: item1. Right bank: farmer, item2, item3. The boat is on the right bank. Find a sequence of crossings that gets everything to the right bank from here."
chain-3-boat-2#s1,"You are partway through a river-crossing puzzle. The boat carries the farmer and at most 2 items per crossing. The item1 and the item2 must not be left together without the farmer. The item2 and the item3 must not be left together without the farmer. Current situation -- Left bank: item2. Right bank: farmer, item1, item3. The boat is on the right bank. Find a sequence of crossings that gets everything to the right bank from here."
chain-3-boat-3#s0,"You are partway through a river-crossing puzzle. The boat carries the farmer and at most 3 items per crossing. The item1 and the item2 must not be left together without the farmer. The item2 and the item3 must not be left together without the farmer. Current situation -- Left bank: farmer, item2. Right bank: item1, item3. The boat is on the left bank. Find a sequence of crossings that gets everything to the right bank from here."
chain-3-boat-4#s0,"You are partway through a river-crossing puzzle. The boat carries the farmer and at most 4 items per crossing. The item1 and the item2 must not be left together without the farmer. The item2 and the item3 must not be left together without the farmer. Current situation -- Left bank: farmer, item2. Right bank: item1, item3. The boat is on the left bank. Find a sequence of crossings that gets everything to the right bank from here."
chain-4-boat-2#s1,"You are partway through a river-crossing puzzle. The boat carries the farmer and at most 2 items per crossing. The item1 and the item2 must not be left together without the farmer. The item2 and the item3 must not be left together without the farmer. The item3 and the item4 must not be left together without the farmer. Current situation -- Left bank: item1, item3. Right bank: farmer, item2, item4. The boat is on the right bank. Find a sequence of crossings that gets everything to the right bank from here."
chain-4-boat-3#s1,"You are partway through a river-crossing puzzle. The boat carries the farmer and at most 3 items per crossing. The item1 and the item2 must not be left together without the farmer. The item2 and the item3 must not be left together without the farmer. The item3 and the item4 must not be left together without the farmer. Current situation -- Left bank: item1, item3. Right bank: farmer, item2, item4. The boat is on the right bank. Find a sequence of crossings that gets everything to the right bank from here."
chain-4-boat-4#s0,"You are partway through a river-crossing puzzle. The boat carries the farmer and at most 4 items per crossing. The item1 and the item2 must not be left together without the farmer. The item2 and the item3 must not be left together without the farmer. The item3 and the item4 must not be left together without the farmer. Current situation -- Left bank: farmer, item1, item3. Right bank: item2, item4. The boat is on the left bank. Find a sequence of crossings that gets everything to the right bank from here."
chain-5-boat-2#s2,"You are partway through a river-crossing puzzle. The boat carries the farmer and at most 2 items per crossing. The item1 and the item2 must not be left together without the farmer. The item2 and the item3 must not be left together without the farmer. The item3 and the item4 must not be left together without the farmer. The item4 and the item5 must not be left together without the farmer. Current situation -- Left bank: item1, item4. Right bank: farmer, item2, item3, item5. The boat is on the right bank. Find a sequence of crossings that gets everything to the right bank from here."
chain-5-boat-3#s1,"You are partway through a river-crossing puzzle. The boat carries the farmer and at most 3 items per crossing. The item1 and the item2 must not be left together without the farmer. The item2 and the item3 must not be left together without the farmer. The item3 and the item4 must not be left together without the farmer. The item4 and the item5 must not be left together without the farmer. Current situation -- Left bank: item2, item4. Right bank: farmer, item1, item3, item5. The boat is on the right bank. Find a sequence of crossings that gets everything to the right bank from here."
chain-5-boat-4#s1,"You are partway through a river-crossing puzzle. The boat carries the farmer and at most 4 items per crossing. The item1 and the item2 must not be left together without the farmer. The item2 and the item3 must not be left together without the farmer. The item3 and the item4 must not be left together without the farmer. The item4 and the item5 must not be left together without the farmer. Current situation -- Left bank: item2, item4. Right bank: farmer, item1, item3, item5. The boat is on the right bank. Find a sequence of crossings that gets everything to the right bank from here."
