item_id,family,PLp,PLe,PLs,MSc
D01,mid,0,2,0,0
D02,mid,2,1,0,0
D03,mid,1,1,2,0
D04,mid,1,0,1,2
D05,mid,1,3,0,0
D06,mid,3,1,0,0
D07,mid,1,1,1,2
D08,mid,1,1,1,3
D09,mid,1,1,2,0
D10,mid,2,1,3,0
E01,pure_PLe,0,4,0,0
E02,pure_PLe,0,5,0,0
E03,pure_PLe,0,4,0,0
E04,pure_PLe,1,5,0,0
L01,low,0,0,0,0
L02,low,0,0,0,0
L03,low,0,0,0,0
L04,low,0,0,0,0
M01,pure_MSc,0,0,0,4
M02,pure_MSc,0,0,0,5
M03,pure_MSc,0,0,0,4
M04,pure_MSc,0,0,0,4
P01,pure_PLp,4,0,0,0
P02,pure_PLp,4,0,0,0
P03,pure_PLp,5,0,0,0
P04,pure_PLp,4,0,0,0
S01,pure_PLs,1,1,4,0
S02,pure_PLs,1,1,4,0
S03,pure_PLs,1,1,3,0
S04,pure_PLs,1,1,4,0
X01,co_PLp_PLe,4,5,1,0
X02,co_PLp_PLs,4,2,4,0
X03,co_PLp_MSc,4,1,0,5
X04,co_PLe_PLs,2,5,4,0
X05,co_PLe_MSc,1,4,0,4
X06R,co_PLs_MSc,1,2,4,5
