dim,item_id,judge,round26
MSc,N01,haiku,0
MSc,N01,opus,1
MSc,N01,sonnet,0
MSc,N02,haiku,0
MSc,N02,opus,0
MSc,N02,sonnet,0
MSc,N03,haiku,0
MSc,N03,opus,0
MSc,N03,sonnet,0
MSc,N04,haiku,0
MSc,N04,opus,0
MSc,N04,sonnet,0
MSc,N05,haiku,0
MSc,N05,opus,0
MSc,N05,sonnet,0
MSc,N06,haiku,0
MSc,N06,opus,0
MSc,N06,sonnet,0
MSc,N07,haiku,3
MSc,N07,opus,3
MSc,N07,sonnet,3
MSc,N08,haiku,5
MSc,N08,opus,5
MSc,N08,sonnet,5
MSc,N09,haiku,4
MSc,N09,opus,4
MSc,N09,sonnet,4
MSc,N10,haiku,0
MSc,N10,opus,0
MSc,N10,sonnet,0
MSc,S01,haiku,0
MSc,S01,opus,0
MSc,S01,sonnet,0
MSc,S02,haiku,0
MSc,S02,opus,0
MSc,S02,sonnet,0
MSc,S03,haiku,0
MSc,S03,opus,0
MSc,S03,sonnet,0
MSc,S04,haiku,0
MSc,S04,opus,0
MSc,S04,sonnet,0
MSc,S05,haiku,5
MSc,S05,opus,5
MSc,S05,sonnet,5
MSc,S06,haiku,0
MSc,S06,opus,0
MSc,S06,sonnet,0
MSc,T01,haiku,0
MSc,T01,opus,0
MSc,T01,sonnet,0
MSc,T02,haiku,1
MSc,T02,opus,1
MSc,T02,sonnet,1
MSc,T03,haiku,0
MSc,T03,opus,0
MSc,T03,sonnet,0
MSc,T04,haiku,0
MSc,T04,opus,0
MSc,T04,sonnet,0
MSc,T05,haiku,0
MSc,T05,opus,0
MSc,T05,sonnet,0
MSc,T06,haiku,1
MSc,T06,opus,1
MSc,T06,sonnet,1
MSc,T07,haiku,0
MSc,T07,opus,0
MSc,T07,sonnet,0
MSc,T08,haiku,0
MSc,T08,opus,0
MSc,T08,sonnet,0
PLe,N01,haiku,4
PLe,N01,opus,4
PLe,N01,sonnet,4
PLe,N02,haiku,0
PLe,N02,opus,0
PLe,N02,sonnet,3
PLe,N03,haiku,0
PLe,N03,opus,0
PLe,N03,sonnet,3
PLe,N04,haiku,0
PLe,N04,opus,0
PLe,N04,sonnet,0
PLe,N05,haiku,2
PLe,N05,opus,4
PLe,N05,sonnet,4
PLe,N06,haiku,1
PLe,N06,opus,1
PLe,N06,sonnet,1
PLe,N07,haiku,3
PLe,N07,opus,3
PLe,N07,sonnet,2
PLe,N08,haiku,5
PLe,N08,opus,4
PLe,N08,sonnet,4
PLe,N09,haiku,5
PLe,N09,opus,3
PLe,N09,sonnet,1
PLe,N10,haiku,2
PLe,N10,opus,3
PLe,N10,sonnet,1
PLe,S01,haiku,5
PLe,S01,opus,5
PLe,S01,sonnet,5
PLe,S02,haiku,4
PLe,S02,opus,4
PLe,S02,sonnet,4
PLe,S03,haiku,0
PLe,S03,opus,0
PLe,S03,sonnet,0
PLe,S04,haiku,2
PLe,S04,opus,1
PLe,S04,sonnet,1
PLe,S05,haiku,4
PLe,S05,opus,4
PLe,S05,sonnet,4
PLe,S06,haiku,4
PLe,S06,opus,4
PLe,S06,sonnet,4
PLe,T01,haiku,0
PLe,T01,opus,0
PLe,T01,sonnet,0
PLe,T02,haiku,3
PLe,T02,opus,3
PLe,T02,sonnet,3
PLe,T03,haiku,3
PLe,T03,opus,4
PLe,T03,sonnet,4
PLe,T04,haiku,4
PLe,T04,opus,4
PLe,T04,sonnet,5
PLe,T05,haiku,2
PLe,T05,opus,4
PLe,T05,sonnet,2
PLe,T06,haiku,4
PLe,T06,opus,0
PLe,T06,sonnet,0
PLe,T07,haiku,0
PLe,T07,opus,0
PLe,T07,sonnet,0
PLe,T08,haiku,0
PLe,T08,opus,0
PLe,T08,sonnet,0
