task,judge,seed,PLp
usaco-0002,haiku,1,3
usaco-0002,haiku,2,3
usaco-0002,haiku,3,3
usaco-0002,sonnet,1,2
usaco-0002,sonnet,2,2
usaco-0002,sonnet,3,2
usaco-0002,opus,1,2
usaco-0002,opus,2,3
usaco-0002,opus,3,3
usaco-0004,haiku,1,2
usaco-0004,haiku,2,3
usaco-0004,haiku,3,2
usaco-0004,sonnet,1,2
usaco-0004,sonnet,2,2
usaco-0004,sonnet,3,2
usaco-0004,opus,1,2
usaco-0004,opus,2,2
usaco-0004,opus,3,2
usaco-0006,haiku,1,2
usaco-0006,haiku,2,3
usaco-0006,haiku,3,3
usaco-0006,sonnet,1,2
usaco-0006,sonnet,2,2
usaco-0006,sonnet,3,2
usaco-0006,opus,1,3
usaco-0006,opus,2,3
usaco-0006,opus,3,2
usaco-0010,haiku,1,2
usaco-0010,haiku,2,3
usaco-0010,haiku,3,3
usaco-0010,sonnet,1,2
usaco-0010,sonnet,2,3
usaco-0010,sonnet,3,2
usaco-0010,opus,1,2
usaco-0010,opus,2,2
usaco-0010,opus,3,2
usaco-0011,haiku,1,3
usaco-0011,haiku,2,3
usaco-0011,haiku,3,3
usaco-0011,sonnet,1,2
usaco-0011,sonnet,2,2
usaco-0011,sonnet,3,2
usaco-0011,opus,1,3
usaco-0011,opus,2,3
usaco-0011,opus,3,3
tau-0007,haiku,1,2
tau-0007,haiku,2,2
tau-0007,haiku,3,2
tau-0007,sonnet,1,2
tau-0007,sonnet,2,2
tau-0007,sonnet,3,2
tau-0007,opus,1,2
tau-0007,opus,2,2
tau-0007,opus,3,2
tau-0089,haiku,1,2
tau-0089,haiku,2,2
tau-0089,haiku,3,2
tau-0089,sonnet,1,2
tau-0089,sonnet,2,2
tau-0089,sonnet,3,2
tau-0089,opus,1,2
tau-0089,opus,2,2
tau-0089,opus,3,2
ab-0011,haiku,1,1
ab-0011,haiku,2,1
ab-0011,haiku,3,1
ab-0011,sonnet,1,1
ab-0011,sonnet,2,1
ab-0011,sonnet,3,1
ab-0011,opus,1,1
ab-0011,opus,2,1
ab-0011,opus,3,1
