custom_id,instance,length,d_phi,cost_to_go_start,cost_to_go_end,min_phi_dip,n_optimal,n_lateral,n_backward,n_recovering,n_fatal,n_illegal,reaches_goal
chain-3-boat-1#seg0-2,chain-3-boat-1,2,2,7,5,0,2,0,0,0,0,1,False
chain-3-boat-1#seg0-3,chain-3-boat-1,3,3,7,4,0,3,0,0,0,0,1,False
chain-3-boat-1#seg0-4,chain-3-boat-1,4,4,7,3,0,4,0,0,0,0,2,False
chain-3-boat-1#seg1-3,chain-3-boat-1,2,2,6,4,0,2,0,0,0,0,0,False
chain-3-boat-1#seg1-4,chain-3-boat-1,3,3,6,3,0,3,0,0,0,0,1,False
chain-3-boat-1#seg1-5,chain-3-boat-1,4,4,6,2,0,4,0,0,0,0,1,False
chain-3-boat-1#seg2-4,chain-3-boat-1,2,2,5,3,0,2,0,0,0,0,1,False
chain-3-boat-1#seg2-5,chain-3-boat-1,3,3,5,2,0,3,0,0,0,0,1,False
chain-3-boat-1#seg2-6,chain-3-boat-1,4,4,5,1,0,4,0,0,0,0,1,False
chain-3-boat-1#seg3-5,chain-3-boat-1,2,2,4,2,0,2,0,0,0,0,1,False
chain-3-boat-1#seg3-6,chain-3-boat-1,3,3,4,1,0,3,0,0,0,0,1,False
chain-3-boat-1#seg3-7,chain-3-boat-1,4,4,4,0,0,4,0,0,0,0,1,True
chain-3-boat-1#seg4-6,chain-3-boat-1,2,2,3,1,0,2,0,0,0,0,0,False
chain-3-boat-1#seg4-7,chain-3-boat-1,3,3,3,0,0,3,0,0,0,0,0,True
chain-3-boat-1#seg5-7,chain-3-boat-1,2,2,2,0,0,2,0,0,0,0,0,True
chain-5-boat-2#seg0-2,chain-5-boat-2,2,2,7,5,0,2,0,0,0,0,6,False
chain-5-boat-2#seg0-3,chain-5-boat-2,3,3,7,4,0,3,0,0,0,0,6,False
chain-5-boat-2#seg0-4,chain-5-boat-2,4,4,7,3,0,4,0,0,0,0,7,False
chain-5-boat-2#seg1-3,chain-5-boat-2,2,2,6,4,0,2,0,0,0,0,0,False
chain-5-boat-2#seg1-4,chain-5-boat-2,3,3,6,3,0,3,0,0,0,0,1,False
chain-5-boat-2#seg1-5,chain-5-boat-2,4,4,6,2,0,4,0,0,0,0,1,False
chain-5-boat-2#seg2-4,chain-5-boat-2,2,2,5,3,0,2,0,0,0,0,1,False
