scoring_dim,item_id,own_dim,own_level,judge,assigned
PLp,E01,PLe,4,haiku,0
PLp,E02,MSc,0,haiku,1
PLp,E03,PLp,1,haiku,1
PLp,E04,PLe,3,haiku,1
PLp,E05,PLs,5,haiku,0
PLp,E06,PLp,0,haiku,0
PLp,E07,PLe,2,haiku,0
PLp,E08,PLs,5,haiku,1
PLp,E09,PLp,0,haiku,0
PLp,E10,PLe,2,haiku,0
PLp,E11,PLs,4,haiku,0
PLp,E12,PLp,0,haiku,0
PLp,E13,PLe,1,haiku,0
PLp,E14,PLs,3,haiku,1
PLp,E15,MSc,5,haiku,3
PLp,E16,PLe,0,haiku,3
PLp,E17,PLs,3,haiku,1
PLp,E18,MSc,4,haiku,1
PLp,E19,PLe,0,haiku,0
PLp,E20,PLs,2,haiku,1
PLp,E21,MSc,4,haiku,3
PLp,E22,PLp,5,haiku,5
PLp,E23,PLs,1,haiku,0
PLp,E24,MSc,3,haiku,1
PLp,E25,PLp,5,haiku,5
PLp,E26,PLs,1,haiku,0
PLp,E27,MSc,3,haiku,0
PLp,E28,PLp,4,haiku,4
PLp,E29,PLs,0,haiku,3
PLp,E30,MSc,2,haiku,1
PLp,E31,PLp,3,haiku,3
PLp,E32,PLe,5,haiku,0
PLp,E33,MSc,1,haiku,1
PLp,E34,PLp,3,haiku,3
PLp,E35,PLe,5,haiku,0
PLp,E36,MSc,1,haiku,0
PLp,E37,PLp,2,haiku,2
PLp,E38,PLe,4,haiku,0
PLp,E39,MSc,0,haiku,1
PLp,E40,PLp,1,haiku,1
PLp,E41,PLe,3,haiku,2
PLp,E42,MSc,0,haiku,1
PLp,E43,PLp,1,haiku,1
PLp,E44,PLe,3,haiku,1
PLp,E45,PLs,5,haiku,1
PLp,E46,PLp,0,haiku,0
PLp,E47,PLe,2,haiku,0
PLp,E48,PLs,4,haiku,1
PLp,E49,PLp,0,haiku,0
PLp,E50,PLe,1,haiku,0
PLp,E51,PLs,4,haiku,0
PLp,E52,MSc,5,haiku,3
PLp,E53,PLe,1,haiku,0
PLp,E54,PLs,3,haiku,1
PLp,E55,MSc,5,haiku,3
PLp,E56,PLe,0,haiku,0
PLp,E57,PLs,2,haiku,0
PLp,E58,MSc,4,haiku,1
PLp,E59,PLe,0,haiku,0
PLp,E60,PLs,2,haiku,1
PLp,E61,MSc,3,haiku,1
PLp,E62,PLp,5,haiku,5
PLp,E63,PLs,1,haiku,0
PLp,E64,MSc,3,haiku,1
PLp,E65,PLp,4,haiku,4
PLp,E66,PLs,0,haiku,0
PLp,E67,MSc,2,haiku,1
PLp,E68,PLp,4,haiku,4
