set,arm,item_id,judge,assigned
N,PLs_new,o3mini:sphinx-doc__sphinx-7748#cp50,haiku,2
N,PLs_new,opus41:django__django-11999#cp50,haiku,2
N,PLs_new,opus41:django__django-12193#cp50,haiku,2
N,PLs_new,opus41:sphinx-doc__sphinx-8551#cp50,haiku,3
N,PLs_new,opus41:sphinx-doc__sphinx-10673#cp50,haiku,2
N,PLs_new,opus41:sphinx-doc__sphinx-9367#cp50,haiku,2
N,PLs_new,o3mini:sphinx-doc__sphinx-8056#cp50,haiku,2
N,PLs_new,o3mini:sphinx-doc__sphinx-9367#cp50,haiku,2
N,PLs_new,gemflash:task30#cp50,haiku,2
N,PLs_new,gemflash:task46#cp50,haiku,3
N,PLs_new,opus41tc:task28#cp50,haiku,2
N,PLs_new,opus41tc:task45#cp50,haiku,2
N,PLs_new,opus41tc:task30#cp50,haiku,2
N,PLs_new,opus41tc:task46#cp50,haiku,2
N,PLs_new,gemflash:task36#cp50,haiku,3
N,PLs_new,gemflash:task37#cp50,haiku,3
N,PLs_new,o3mini:sphinx-doc__sphinx-7748#cp50,sonnet,1
N,PLs_new,opus41:django__django-11999#cp50,sonnet,2
N,PLs_new,opus41:django__django-12193#cp50,sonnet,1
N,PLs_new,opus41:sphinx-doc__sphinx-8551#cp50,sonnet,2
N,PLs_new,opus41:sphinx-doc__sphinx-10673#cp50,sonnet,2
N,PLs_new,opus41:sphinx-doc__sphinx-9367#cp50,sonnet,1
N,PLs_new,o3mini:sphinx-doc__sphinx-8056#cp50,sonnet,2
N,PLs_new,o3mini:sphinx-doc__sphinx-9367#cp50,sonnet,2
N,PLs_new,gemflash:task30#cp50,sonnet,2
N,PLs_new,gemflash:task46#cp50,sonnet,2
N,PLs_new,opus41tc:task28#cp50,sonnet,2
N,PLs_new,opus41tc:task45#cp50,sonnet,2
N,PLs_new,opus41tc:task30#cp50,sonnet,0
N,PLs_new,opus41tc:task46#cp50,sonnet,2
N,PLs_new,gemflash:task36#cp50,sonnet,0
N,PLs_new,gemflash:task37#cp50,sonnet,2
N,PLs_new,o3mini:sphinx-doc__sphinx-7748#cp50,opus,2
N,PLs_new,opus41:django__django-11999#cp50,opus,2
N,PLs_new,opus41:django__django-12193#cp50,opus,2
N,PLs_new,opus41:sphinx-doc__sphinx-8551#cp50,opus,2
N,PLs_new,opus41:sphinx-doc__sphinx-10673#cp50,opus,2
N,PLs_new,opus41:sphinx-doc__sphinx-9367#cp50,opus,2
N,PLs_new,o3mini:sphinx-doc__sphinx-8056#cp50,opus,2
N,PLs_new,o3mini:sphinx-doc__sphinx-9367#cp50,opus,2
N,PLs_new,gemflash:task30#cp50,opus,2
N,PLs_new,gemflash:task46#cp50,opus,2
N,PLs_new,opus41tc:task28#cp50,opus,2
N,PLs_new,opus41tc:task45#cp50,opus,2
N,PLs_new,opus41tc:task30#cp50,opus,2
N,PLs_new,opus41tc:task46#cp50,opus,2
N,PLs_new,gemflash:task36#cp50,opus,1
N,PLs_new,gemflash:task37#cp50,opus,2
N,MSe_old,o3mini:sphinx-doc__sphinx-7748#cp50,haiku,2
N,MSe_old,opus41:django__django-11999#cp50,haiku,2
N,MSe_old,opus41:django__django-12193#cp50,haiku,2
N,MSe_old,opus41:sphinx-doc__sphinx-8551#cp50,haiku,2
N,MSe_old,opus41:sphinx-doc__sphinx-10673#cp50,haiku,2
N,MSe_old,opus41:sphinx-doc__sphinx-9367#cp50,haiku,2
N,MSe_old,o3mini:sphinx-doc__sphinx-8056#cp50,haiku,2
N,MSe_old,o3mini:sphinx-doc__sphinx-9367#cp50,haiku,2
N,MSe_old,gemflash:task30#cp50,haiku,3
N,MSe_old,gemflash:task46#cp50,haiku,3
N,MSe_old,opus41tc:task28#cp50,haiku,3
N,MSe_old,opus41tc:task45#cp50,haiku,3
N,MSe_old,opus41tc:task30#cp50,haiku,3
N,MSe_old,opus41tc:task46#cp50,haiku,3
N,MSe_old,gemflash:task36#cp50,haiku,3
N,MSe_old,gemflash:task37#cp50,haiku,3
N,MSe_old,o3mini:sphinx-doc__sphinx-7748#cp50,sonnet,1
N,MSe_old,opus41:django__django-11999#cp50,sonnet,1
N,MSe_old,opus41:django__django-12193#cp50,sonnet,1
N,MSe_old,opus41:sphinx-doc__sphinx-8551#cp50,sonnet,1
N,MSe_old,opus41:sphinx-doc__sphinx-10673#cp50,sonnet,1
N,MSe_old,opus41:sphinx-doc__sphinx-9367#cp50,sonnet,1
N,MSe_old,o3mini:sphinx-doc__sphinx-8056#cp50,sonnet,1
N,MSe_old,o3mini:sphinx-doc__sphinx-9367#cp50,sonnet,1
N,MSe_old,gemflash:task30#cp50,sonnet,3
N,MSe_old,gemflash:task46#cp50,sonnet,3
N,MSe_old,opus41tc:task28#cp50,sonnet,3
N,MSe_old,opus41tc:task45#cp50,sonnet,3
N,MSe_old,opus41tc:task30#cp50,sonnet,3
N,MSe_old,opus41tc:task46#cp50,sonnet,3
N,MSe_old,gemflash:task36#cp50,sonnet,3
N,MSe_old,gemflash:task37#cp50,sonnet,3
N,MSe_old,o3mini:sphinx-doc__sphinx-7748#cp50,opus,2
N,MSe_old,opus41:django__django-11999#cp50,opus,2
N,MSe_old,opus41:django__django-12193#cp50,opus,2
N,MSe_old,opus41:sphinx-doc__sphinx-8551#cp50,opus,2
N,MSe_old,opus41:sphinx-doc__sphinx-10673#cp50,opus,2
N,MSe_old,opus41:sphinx-doc__sphinx-9367#cp50,opus,2
N,MSe_old,o3mini:sphinx-doc__sphinx-8056#cp50,opus,2
N,MSe_old,o3mini:sphinx-doc__sphinx-9367#cp50,opus,2
N,MSe_old,gemflash:task30#cp50,opus,3
N,MSe_old,gemflash:task46#cp50,opus,3
N,MSe_old,opus41tc:task28#cp50,opus,3
N,MSe_old,opus41tc:task45#cp50,opus,3
N,MSe_old,opus41tc:task30#cp50,opus,3
N,MSe_old,opus41tc:task46#cp50,opus,3
N,MSe_old,gemflash:task36#cp50,opus,3
N,MSe_old,gemflash:task37#cp50,opus,3
C,MSc_new,S1,haiku,2
C,MSc_new,S2,haiku,3
C,MSc_new,S3,haiku,2
C,MSc_new,S4,haiku,3
C,MSc_new,R1,haiku,1
C,MSc_new,R2,haiku,4
C,MSc_new,A1,haiku,1
C,MSc_new,A2,haiku,1
C,MSc_new,S1,sonnet,3
C,MSc_new,S2,sonnet,3
C,MSc_new,S3,sonnet,3
C,MSc_new,S4,sonnet,3
C,MSc_new,R1,sonnet,1
C,MSc_new,R2,sonnet,4
C,MSc_new,A1,sonnet,1
C,MSc_new,A2,sonnet,1
C,MSc_new,S1,opus,3
C,MSc_new,S2,opus,3
C,MSc_new,S3,opus,3
C,MSc_new,S4,opus,3
C,MSc_new,R1,opus,1
C,MSc_new,R2,opus,4
C,MSc_new,A1,opus,1
C,MSc_new,A2,opus,1
C,MSc_old,S1,haiku,1
C,MSc_old,S2,haiku,4
C,MSc_old,S3,haiku,1
C,MSc_old,S4,haiku,4
C,MSc_old,R1,haiku,1
C,MSc_old,R2,haiku,1
C,MSc_old,A1,haiku,1
C,MSc_old,A2,haiku,1
C,MSc_old,S1,sonnet,1
C,MSc_old,S2,sonnet,4
C,MSc_old,S3,sonnet,1
C,MSc_old,S4,sonnet,4
C,MSc_old,R1,sonnet,1
C,MSc_old,R2,sonnet,2
C,MSc_old,A1,sonnet,1
C,MSc_old,A2,sonnet,1
C,MSc_old,S1,opus,1
C,MSc_old,S2,opus,4
C,MSc_old,S3,opus,1
C,MSc_old,S4,opus,4
C,MSc_old,R1,opus,1
C,MSc_old,R2,opus,2
C,MSc_old,A1,opus,1
C,MSc_old,A2,opus,1
