dim,item_id,judge,assigned,arm
PLp,D01,haiku,1,before_fix
PLp,D02,haiku,3,before_fix
PLp,D03,haiku,0,before_fix
PLp,D04,haiku,1,before_fix
PLp,D05,haiku,2,before_fix
PLp,D06,haiku,2,before_fix
PLp,D07,haiku,1,before_fix
PLp,D08,haiku,4,before_fix
PLp,D09,haiku,1,before_fix
PLp,D10,haiku,3,before_fix
PLp,E01,haiku,0,before_fix
PLp,E02,haiku,0,before_fix
PLp,E03,haiku,0,before_fix
PLp,E04,haiku,0,before_fix
PLp,L01,haiku,0,before_fix
PLp,L02,haiku,0,before_fix
PLp,L03,haiku,0,before_fix
PLp,L04,haiku,0,before_fix
PLp,M01,haiku,4,before_fix
PLp,M02,haiku,4,before_fix
PLp,M03,haiku,4,before_fix
PLp,M04,haiku,4,before_fix
PLp,P01,haiku,3,before_fix
PLp,P02,haiku,3,before_fix
PLp,P03,haiku,5,before_fix
PLp,P04,haiku,3,before_fix
PLp,S01,haiku,3,before_fix
PLp,S02,haiku,2,before_fix
PLp,S03,haiku,2,before_fix
PLp,S04,haiku,3,before_fix
PLp,X01,haiku,4,before_fix
PLp,X02,haiku,4,before_fix
PLp,X03,haiku,4,before_fix
PLp,X04,haiku,4,before_fix
PLp,X05,haiku,4,before_fix
PLp,X06,haiku,4,before_fix
PLp,D01,sonnet,0,before_fix
PLp,D02,sonnet,2,before_fix
PLp,D03,sonnet,1,before_fix
PLp,D04,sonnet,1,before_fix
PLp,D05,sonnet,1,before_fix
PLp,D06,sonnet,2,before_fix
PLp,D07,sonnet,1,before_fix
PLp,D08,sonnet,3,before_fix
PLp,D09,sonnet,1,before_fix
PLp,D10,sonnet,2,before_fix
PLp,E01,sonnet,0,before_fix
PLp,E02,sonnet,0,before_fix
PLp,E03,sonnet,0,before_fix
PLp,E04,sonnet,0,before_fix
PLp,L01,sonnet,0,before_fix
PLp,L02,sonnet,0,before_fix
PLp,L03,sonnet,0,before_fix
PLp,L04,sonnet,0,before_fix
PLp,M01,sonnet,1,before_fix
PLp,M02,sonnet,3,before_fix
PLp,M03,sonnet,1,before_fix
PLp,M04,sonnet,3,before_fix
PLp,P01,sonnet,3,before_fix
PLp,P02,sonnet,3,before_fix
PLp,P03,sonnet,4,before_fix
PLp,P04,sonnet,3,before_fix
PLp,S01,sonnet,1,before_fix
PLp,S02,sonnet,1,before_fix
PLp,S03,sonnet,1,before_fix
PLp,S04,sonnet,1,before_fix
PLp,X01,sonnet,4,before_fix
PLp,X02,sonnet,4,before_fix
PLp,X03,sonnet,4,before_fix
PLp,X04,sonnet,4,before_fix
PLp,X05,sonnet,3,before_fix
PLp,X06,sonnet,4,before_fix
PLp,D01,opus,0,before_fix
PLp,D02,opus,2,before_fix
PLp,D03,opus,0,before_fix
PLp,D04,opus,1,before_fix
PLp,D05,opus,1,before_fix
PLp,D06,opus,3,before_fix
PLp,D07,opus,1,before_fix
PLp,D08,opus,2,before_fix
PLp,D09,opus,1,before_fix
PLp,D10,opus,2,before_fix
PLp,E01,opus,0,before_fix
PLp,E02,opus,0,before_fix
PLp,E03,opus,0,before_fix
PLp,E04,opus,0,before_fix
PLp,L01,opus,0,before_fix
PLp,L02,opus,0,before_fix
PLp,L03,opus,0,before_fix
PLp,L04,opus,0,before_fix
PLp,M01,opus,1,before_fix
PLp,M02,opus,3,before_fix
PLp,M03,opus,1,before_fix
PLp,M04,opus,1,before_fix
PLp,P01,opus,3,before_fix
PLp,P02,opus,3,before_fix
PLp,P03,opus,4,before_fix
PLp,P04,opus,3,before_fix
PLp,S01,opus,1,before_fix
PLp,S02,opus,1,before_fix
PLp,S03,opus,1,before_fix
PLp,S04,opus,2,before_fix
PLp,X01,opus,4,before_fix
PLp,X02,opus,4,before_fix
PLp,X03,opus,4,before_fix
PLp,X04,opus,3,before_fix
PLp,X05,opus,3,before_fix
PLp,X06,opus,3,before_fix
PLe,D01,haiku,2,before_fix
PLe,D02,haiku,1,before_fix
PLe,D03,haiku,0,before_fix
PLe,D04,haiku,1,before_fix
PLe,D05,haiku,3,before_fix
PLe,D06,haiku,0,before_fix
PLe,D07,haiku,1,before_fix
PLe,D08,haiku,3,before_fix
PLe,D09,haiku,2,before_fix
PLe,D10,haiku,2,before_fix
PLe,E01,haiku,4,before_fix
PLe,E02,haiku,5,before_fix
PLe,E03,haiku,4,before_fix
PLe,E04,haiku,5,before_fix
PLe,L01,haiku,0,before_fix
PLe,L02,haiku,0,before_fix
PLe,L03,haiku,0,before_fix
PLe,L04,haiku,0,before_fix
PLe,M01,haiku,2,before_fix
PLe,M02,haiku,3,before_fix
PLe,M03,haiku,2,before_fix
