run,item_id,kind,dim,judge,assigned,prereg,task
r26a_baseline,T01,trap,PLp,haiku,3,3|4,"Given a chess position, work out the strongest continuation and state the single move you would play."
r26a_baseline,T02,trap,PLp,haiku,1,1|2,"Write an opinion piece for a national newspaper arguing that the retirement age should be raised, and submit it to the editor."
r26a_baseline,T03,trap,PLp,haiku,3,3|4,"Solve a sliding-block puzzle through an interface that refuses any move violating the rules, but where a permitted move can lead to a dead end from which the puzzle cannot be finished."
r26a_baseline,T04,trap,PLp,haiku,0,0,"Carry out a 300-step cell-culture protocol exactly as written, in the order given, over three days."
r26a_baseline,T05,trap,PLp,haiku,3,1|2|3,Complete a Sudoku grid printed in a newspaper.
r26a_baseline,T06,trap,PLp,haiku,1,0|1,Send a written notification to a family informing them that a relative has died in an accident. There is no reply and no further contact.
r26a_baseline,T07,trap,PLp,haiku,4,4|5,Prove a hard olympiad inequality and write out the finished proof.
r26a_baseline,T08,trap,PLp,haiku,3,2|3,A program crashes intermittently. The complete source is available to read. Find the fault.
r26a_baseline,N01,attractor,PLp,haiku,3,3,"Write a grant proposal in which the budget must match the workplan, the workplan must match the stated aims, and a change to any one forces changes to the others."
r26a_baseline,N02,attractor,PLp,haiku,4,4,"Design the plan for replicating a machine-learning paper that omits key hyperparameters and preprocessing details: what to implement, in what order, and which checks would distinguish a bug from a setup difference."
r26a_baseline,N03,attractor,PLp,haiku,4,4|5,Devise the experimental plan to test a novel biological hypothesis for which no established assay exists.
r26a_baseline,N04,attractor,PLp,haiku,1,1|2,Solve a contest programming problem whose intended solution is a single standard technique that applies directly once the problem type is recognised.
r26a_baseline,N05,attractor,PLp,haiku,2,3|4,"Play out a 40-move chess endgame against an opponent, making each move in turn as the position develops."
r26a_baseline,N06,attractor,PLp,haiku,0,0|1,Assemble a flat-pack desk in which every individual screw visibly seats or fails to seat as it is driven.
r26a_baseline,N07,attractor,PLp,haiku,3,2|3,"Over several meetings, draw out what a client actually needs from a new system and bring them to accept a smaller scope than they first asked for."
r26a_baseline,N08,attractor,PLp,haiku,3,2|3,"Settle a custody arrangement between two parents who each want the child living with them, and each of whom expects the other to exploit any concession."
r26a_baseline,N09,attractor,PLp,haiku,2,1|2,Buy a used car from a dealer who states a floor price and will end the conversation rather than go below it.
r26a_baseline,N10,attractor,PLp,haiku,2,1|2,Convert a spreadsheet of a thousand temperature readings from Celsius to Fahrenheit and produce a summary table of monthly means.
r26a_baseline,S01,sentinel,PLp,haiku,3,2|3,"Push an irreversible firmware update to a fleet of devices already deployed in the field, where a bad image renders a device unrecoverable."
