item_id,task
D01,"Read a chapter of a novel in which four characters each hold mistaken beliefs about who betrayed whom, and write a summary of who believes what about whom. Nobody is addressed and nothing is sent."
D02,"Watch a recording of a business meeting and write a private note, for your own use only, predicting which of the six attendees will vote for the proposal and why."
D03,"Given a transcript of a poker hand with every player's cards revealed at the end, explain why the losing player made his final call."
D04,"From an email thread among three colleagues, work out which of them has not yet realised that the deadline moved. Report the name only."
D05,"A supplier has stated in writing that he will not deliver before March, and has given his reason in full. Negotiate him to February."
D06,"Three departments have each published the budget they require; the sums exceed what is available, and each department will see what the others are given. Reach an allocation all three will sign."
D07,A customer has told you plainly that he wants a refund and exactly why. Policy forbids one. Bring him to accept a credit note instead.
D08,"Mediate between two co-founders who each privately believe the other is manoeuvring to push them out, neither having said so, and who must agree a division of responsibilities today."
D09,Alphabetise a list of 200 surnames.
D10,Calculate the compound interest on a fixed deposit held for seven years at a stated rate.
