run,seed,dim,item_id,true_level,judge,assigned,example
r25,2507,PLp,PLp-01,0,haiku,0,"What year did Darwin publish ""The Origin of Species"": 1856, 1859, 1865 or 1866?"
r25,2507,PLp,PLp-01,0,sonnet,0,"What year did Darwin publish ""The Origin of Species"": 1856, 1859, 1865 or 1866?"
r25,2507,PLp,PLp-01,0,opus,0,"What year did Darwin publish ""The Origin of Species"": 1856, 1859, 1865 or 1866?"
r25,2507,PLp,PLp-02,0,haiku,0,Finish a puzzle from a position in which only one legal continuation remains.
r25,2507,PLp,PLp-02,0,sonnet,0,Finish a puzzle from a position in which only one legal continuation remains.
r25,2507,PLp,PLp-02,0,opus,0,Finish a puzzle from a position in which only one legal continuation remains.
r25,2507,PLp,PLp-03,1,haiku,2,Decide the order in which to run three independent errands across town.
r25,2507,PLp,PLp-03,1,sonnet,2,Decide the order in which to run three independent errands across town.
r25,2507,PLp,PLp-03,1,opus,2,Decide the order in which to run three independent errands across town.
r25,2507,PLp,PLp-04,4,haiku,4,"Design the plan for replicating a machine-learning paper that omits key details: what to implement, in what order, and which checks would show whether a discrepancy is a bug or a difference in setup."
r25,2507,PLp,PLp-04,4,sonnet,4,"Design the plan for replicating a machine-learning paper that omits key details: what to implement, in what order, and which checks would show whether a discrepancy is a bug or a difference in setup."
r25,2507,PLp,PLp-04,4,opus,4,"Design the plan for replicating a machine-learning paper that omits key details: what to implement, in what order, and which checks would show whether a discrepancy is a bug or a difference in setup."
r25,2507,PLp,PLp-05,2,haiku,2,"Build a personal webpage using a template: choose a template, customise the layout, and deploy the site."
r25,2507,PLp,PLp-05,2,sonnet,2,"Build a personal webpage using a template: choose a template, customise the layout, and deploy the site."
r25,2507,PLp,PLp-05,2,opus,2,"Build a personal webpage using a template: choose a template, customise the layout, and deploy the site."
r25,2507,PLp,PLp-06,0,haiku,0,Convert a temperature from Celsius to Fahrenheit.
r25,2507,PLp,PLp-06,0,sonnet,1,Convert a temperature from Celsius to Fahrenheit.
r25,2507,PLp,PLp-06,0,opus,1,Convert a temperature from Celsius to Fahrenheit.
r25,2507,PLp,PLp-07,3,haiku,3,"Plan a multi-city international trip where flight dates, visa processing times and bookings constrain one another. (Contrast the day-trip at the level below, whose choices are independent.)"
r25,2507,PLp,PLp-07,3,sonnet,3,"Plan a multi-city international trip where flight dates, visa processing times and bookings constrain one another. (Contrast the day-trip at the level below, whose choices are independent.)"
r25,2507,PLp,PLp-07,3,opus,3,"Plan a multi-city international trip where flight dates, visa processing times and bookings constrain one another. (Contrast the day-trip at the level below, whose choices are independent.)"
r25,2507,PLp,PLp-08,4,haiku,4,"Plan a mountaineering expedition on a difficult unfamiliar route, where acclimatisation, weather windows, logistics and fallback options must be jointly worked out."
r25,2507,PLp,PLp-08,4,sonnet,4,"Plan a mountaineering expedition on a difficult unfamiliar route, where acclimatisation, weather windows, logistics and fallback options must be jointly worked out."
r25,2507,PLp,PLp-08,4,opus,4,"Plan a mountaineering expedition on a difficult unfamiliar route, where acclimatisation, weather windows, logistics and fallback options must be jointly worked out."
r25,2507,PLp,PLp-09,5,haiku,5,"Devise a synthesis route for a complex, previously unsynthesised natural product, where almost every sequence of reactions fails."
r25,2507,PLp,PLp-09,5,sonnet,5,"Devise a synthesis route for a complex, previously unsynthesised natural product, where almost every sequence of reactions fails."
r25,2507,PLp,PLp-09,5,opus,5,"Devise a synthesis route for a complex, previously unsynthesised natural product, where almost every sequence of reactions fails."
r25,2507,PLp,PLp-10,5,haiku,4,"Plan a multi-year research programme against an unsolved scientific problem — which sub-questions to pose, which to abandon — where whole lines of attack die only once explored."
r25,2507,PLp,PLp-10,5,sonnet,5,"Plan a multi-year research programme against an unsolved scientific problem — which sub-questions to pose, which to abandon — where whole lines of attack die only once explored."
r25,2507,PLp,PLp-10,5,opus,5,"Plan a multi-year research programme against an unsolved scientific problem — which sub-questions to pose, which to abandon — where whole lines of attack die only once explored."
r25,2507,PLp,PLp-11,3,haiku,1,"Solve a contest programming problem whose intended solution is a standard technique — a sweep, or a binary search on the answer — once the problem type is recognised."
r25,2507,PLp,PLp-11,3,sonnet,1,"Solve a contest programming problem whose intended solution is a standard technique — a sweep, or a binary search on the answer — once the problem type is recognised."
r25,2507,PLp,PLp-11,3,opus,1,"Solve a contest programming problem whose intended solution is a standard technique — a sweep, or a binary search on the answer — once the problem type is recognised."
r25,2507,PLp,PLp-12,0,haiku,0,"Execute a 200-step laboratory protocol exactly as written, in the given order. (The plan already exists; carrying it out is execution, not planning.)"
r25,2507,PLp,PLp-12,0,sonnet,0,"Execute a 200-step laboratory protocol exactly as written, in the given order. (The plan already exists; carrying it out is execution, not planning.)"
r25,2507,PLp,PLp-12,0,opus,0,"Execute a 200-step laboratory protocol exactly as written, in the given order. (The plan already exists; carrying it out is execution, not planning.)"
r25,2507,PLp,PLp-13,1,haiku,2,"Combine information from two sources to answer a simple question (e.g., compare the battery life of two smartphone models)."
r25,2507,PLp,PLp-13,1,sonnet,1,"Combine information from two sources to answer a simple question (e.g., compare the battery life of two smartphone models)."
r25,2507,PLp,PLp-13,1,opus,2,"Combine information from two sources to answer a simple question (e.g., compare the battery life of two smartphone models)."
r25,2507,PLp,PLp-14,2,haiku,2,"Plan a day-trip itinerary given preferences (museums, restaurants, location); identify opening hours and schedule visits."
r25,2507,PLp,PLp-14,2,sonnet,2,"Plan a day-trip itinerary given preferences (museums, restaurants, location); identify opening hours and schedule visits."
r25,2507,PLp,PLp-14,2,opus,2,"Plan a day-trip itinerary given preferences (museums, restaurants, location); identify opening hours and schedule visits."
r25,2507,PLp,PLp-15,1,haiku,2,Draft a brief email summarising the key points from a meeting after reading the notes.
r25,2507,PLp,PLp-15,1,sonnet,1,Draft a brief email summarising the key points from a meeting after reading the notes.
r25,2507,PLp,PLp-15,1,opus,1,Draft a brief email summarising the key points from a meeting after reading the notes.
r25,2507,PLp,PLp-16,4,haiku,4,"Solve a contest programming problem for which no standard technique applies: the key idea must be found first, and most approaches that look promising fail only once they are worked through."
r25,2507,PLp,PLp-16,4,sonnet,4,"Solve a contest programming problem for which no standard technique applies: the key idea must be found first, and most approaches that look promising fail only once they are worked through."
r25,2507,PLp,PLp-16,4,opus,4,"Solve a contest programming problem for which no standard technique applies: the key idea must be found first, and most approaches that look promising fail only once they are worked through."
r25,2507,PLp,PLp-17,2,haiku,2,"Plan a small data analysis: download the dataset, clean it, run a statistical analysis and produce a chart — a standard pipeline whose stages do not constrain each other."
r25,2507,PLp,PLp-17,2,sonnet,2,"Plan a small data analysis: download the dataset, clean it, run a statistical analysis and produce a chart — a standard pipeline whose stages do not constrain each other."
r25,2507,PLp,PLp-17,2,opus,2,"Plan a small data analysis: download the dataset, clean it, run a statistical analysis and produce a chart — a standard pipeline whose stages do not constrain each other."
r25,2507,PLp,PLp-18,3,haiku,3,"Find a strong plan in a club-level chess middlegame, where a natural-looking move can fail to a consequence several moves deep. (Nothing is hidden, and the opponent's replies are explored as branches of the same search rather than by modelling a mind.)"
r25,2507,PLp,PLp-18,3,sonnet,3,"Find a strong plan in a club-level chess middlegame, where a natural-looking move can fail to a consequence several moves deep. (Nothing is hidden, and the opponent's replies are explored as branches of the same search rather than by modelling a mind.)"
r25,2507,PLp,PLp-18,3,opus,3,"Find a strong plan in a club-level chess middlegame, where a natural-looking move can fail to a consequence several moves deep. (Nothing is hidden, and the opponent's replies are explored as branches of the same search rather than by modelling a mind.)"
r25,2507,PLp,PLp-19,0,haiku,0,"Implement accurate real-time translation of a conversation between English and Spanish. (Hard, but the difficulty is linguistic; no plan needs to be found.)"
r25,2507,PLp,PLp-19,0,sonnet,0,"Implement accurate real-time translation of a conversation between English and Spanish. (Hard, but the difficulty is linguistic; no plan needs to be found.)"
r25,2507,PLp,PLp-19,0,opus,0,"Implement accurate real-time translation of a conversation between English and Spanish. (Hard, but the difficulty is linguistic; no plan needs to be found.)"
r25,2507,PLp,PLp-20,5,haiku,4,"Devise the proof strategy for a long-standing open conjecture, where the lemmas to aim for must themselves be discovered and restructured as attempts collapse."
r25,2507,PLp,PLp-20,5,sonnet,5,"Devise the proof strategy for a long-standing open conjecture, where the lemmas to aim for must themselves be discovered and restructured as attempts collapse."
r25,2507,PLp,PLp-20,5,opus,5,"Devise the proof strategy for a long-standing open conjecture, where the lemmas to aim for must themselves be discovered and restructured as attempts collapse."
r25,2507,PLe,PLe-01,4,haiku,4,"Manually reconcile a year of a small business's ledger across twelve monthly statements, where a misposted entry in an early month silently unbalances every subsequent account until the final totals are compared. (Contrast the summary at the level below: there an error is fixed in place; here it forces rework of every month that followed.)"
r25,2507,PLe,PLe-01,4,sonnet,4,"Manually reconcile a year of a small business's ledger across twelve monthly statements, where a misposted entry in an early month silently unbalances every subsequent account until the final totals are compared. (Contrast the summary at the level below: there an error is fixed in place; here it forces rework of every month that followed.)"
r25,2507,PLe,PLe-01,4,opus,4,"Manually reconcile a year of a small business's ledger across twelve monthly statements, where a misposted entry in an early month silently unbalances every subsequent account until the final totals are compared. (Contrast the summary at the level below: there an error is fixed in place; here it forces rework of every month that followed.)"
r25,2507,PLe,PLe-02,0,haiku,0,Say whether checkmate can be delivered in one move in a given chess position.
r25,2507,PLe,PLe-02,0,sonnet,0,Say whether checkmate can be delivered in one move in a given chess position.
r25,2507,PLe,PLe-02,0,opus,0,Say whether checkmate can be delivered in one move in a given chess position.
r25,2507,PLe,PLe-03,5,haiku,5,"Carry out a multi-step synthesis of a scarce compound, where a failed step destroys the material."
r25,2507,PLe,PLe-03,5,sonnet,5,"Carry out a multi-step synthesis of a scarce compound, where a failed step destroys the material."
r25,2507,PLe,PLe-03,5,opus,5,"Carry out a multi-step synthesis of a scarce compound, where a failed step destroys the material."
