item_id,judge,assigned
N01,haiku,4
N02,haiku,0
N03,haiku,0
N04,haiku,0
N05,haiku,3
N06,haiku,1
N07,haiku,3
N08,haiku,4
N09,haiku,3
N10,haiku,2
S01,haiku,5
S02,haiku,4
S03,haiku,0
S04,haiku,3
S05,haiku,4
S06,haiku,4
T01,haiku,0
T02,haiku,3
T03,haiku,3
T04,haiku,2
T05,haiku,2
T06,haiku,0
T07,haiku,0
T08,haiku,3
N01,sonnet,4
N02,sonnet,0
N03,sonnet,0
N04,sonnet,0
N05,sonnet,3
N06,sonnet,1
N07,sonnet,2
N08,sonnet,4
N09,sonnet,1
N10,sonnet,1
S01,sonnet,5
S02,sonnet,4
S03,sonnet,0
S04,sonnet,4
S05,sonnet,4
S06,sonnet,4
T01,sonnet,0
T02,sonnet,3
T03,sonnet,3
T04,sonnet,4
T05,sonnet,3
T06,sonnet,5
T07,sonnet,3
T08,sonnet,0
N01,opus,4
N02,opus,0
N03,opus,0
N04,opus,0
N05,opus,1
N06,opus,1
N07,opus,2
N08,opus,2
N09,opus,2
N10,opus,2
S01,opus,5
S02,opus,4
S03,opus,0
S04,opus,2
S05,opus,2
S06,opus,4
T01,opus,0
T02,opus,3
T03,opus,2
T04,opus,4
T05,opus,3
T06,opus,5
T07,opus,3
T08,opus,0
