custom_id,level
chain-3-boat-1#s0,2
chain-3-boat-1#s1,2
chain-3-boat-1#s2,2
chain-3-boat-1#s3,2
chain-3-boat-1#s4,2
chain-3-boat-1#s5,2
chain-3-boat-1#s6,0
chain-5-boat-2#s0,2
chain-5-boat-2#s1,2
chain-5-boat-2#s2,2
chain-5-boat-2#s3,2
chain-5-boat-2#s4,2
chain-5-boat-2#s5,2
chain-5-boat-2#s6,2
chain-5-boat-2#s7,2
chain-5-boat-2#s8,2
chain-5-boat-2#s9,2
chain-5-boat-2#s10,2
chain-5-boat-2#s11,2
complete-4-boat-3#s0,2
complete-4-boat-3#s1,2
complete-4-boat-3#s2,0
complete-4-boat-3#s3,2
complete-4-boat-3#s4,0
complete-4-boat-3#s5,2
complete-4-boat-3#s6,0
complete-4-boat-3#s7,2
complete-4-boat-3#s8,0
cycle-4-boat-2#s0,2
cycle-4-boat-2#s1,2
cycle-4-boat-2#s2,2
cycle-4-boat-2#s3,2
cycle-4-boat-2#s4,0
star-4-boat-2#s0,2
star-4-boat-2#s1,2
star-4-boat-2#s2,2
star-4-boat-2#s3,2
star-4-boat-2#s4,0
missionaries-cannibals-3#s0,3
missionaries-cannibals-3#s1,2
missionaries-cannibals-3#s2,2
missionaries-cannibals-3#s3,2
missionaries-cannibals-3#s4,2
missionaries-cannibals-3#s5,2
missionaries-cannibals-3#s6,2
missionaries-cannibals-3#s7,2
missionaries-cannibals-3#s8,2
missionaries-cannibals-3#s9,2
missionaries-cannibals-3#s10,0
