custom_id,level,reason
chain-3-boat-1#s2,2,horizon is 4 crossings (4-10 range): exceeds Level 1 threshold of ~3 steps; static fully-observable single-agent environment caps at Level 2
chain-3-boat-2#s1,1,horizon is 2 crossings: within Level 1 threshold of ~3 or fewer steps; static fully-observable single-agent goal
chain-3-boat-3#s0,1,horizon is 1 crossing: single sequential action within Level 1 threshold; static fully-observable single-agent goal
chain-3-boat-4#s0,1,horizon is 1 crossing: single sequential action within Level 1 threshold; static fully-observable single-agent goal
chain-4-boat-2#s1,1,horizon is 2 crossings: within Level 1 threshold of ~3 or fewer steps; static fully-observable single-agent goal
chain-4-boat-3#s1,1,horizon is 2 crossings: within Level 1 threshold of ~3 or fewer steps; static fully-observable single-agent goal
chain-4-boat-4#s0,1,horizon is 1 crossing: single sequential action within Level 1 threshold; static fully-observable single-agent goal
chain-5-boat-2#s2,2,horizon is 4 crossings (4-10 range): exceeds Level 1 threshold of ~3 steps; static fully-observable single-agent environment caps at Level 2
chain-5-boat-3#s1,1,horizon is 2 crossings: within Level 1 threshold of ~3 or fewer steps; static fully-observable single-agent goal
chain-5-boat-4#s1,1,horizon is 2 crossings: within Level 1 threshold of ~3 or fewer steps; static fully-observable single-agent goal
chain-6-boat-3#s1,1,horizon is 2 crossings: within Level 1 threshold of ~3 or fewer steps; static fully-observable single-agent goal
chain-6-boat-4#s1,1,horizon is 2 crossings: within Level 1 threshold of ~3 or fewer steps; static fully-observable single-agent goal
star-3-boat-1#s2,2,horizon is 4 crossings (4-10 range): exceeds Level 1 threshold of ~3 steps; static fully-observable single-agent environment caps at Level 2
star-3-boat-2#s1,1,horizon is 2 crossings: within Level 1 threshold of ~3 or fewer steps; static fully-observable single-agent goal
star-3-boat-3#s0,1,horizon is 1 crossing: single sequential action within Level 1 threshold; static fully-observable single-agent goal
star-3-boat-4#s0,1,horizon is 1 crossing: single sequential action within Level 1 threshold; static fully-observable single-agent goal
star-4-boat-2#s2,1,horizon is 3 crossings: at upper bound of Level 1 threshold (~3 or fewer); static fully-observable single-agent goal
star-4-boat-3#s1,1,horizon is 2 crossings: within Level 1 threshold of ~3 or fewer steps; static fully-observable single-agent goal
star-4-boat-4#s0,1,horizon is 1 crossing: single sequential action within Level 1 threshold; static fully-observable single-agent goal
star-5-boat-2#s2,2,horizon is 4 crossings (4-10 range): exceeds Level 1 threshold of ~3 steps; static fully-observable single-agent environment caps at Level 2
star-5-boat-3#s1,1,horizon is 2 crossings: within Level 1 threshold of ~3 or fewer steps; static fully-observable single-agent goal
star-5-boat-4#s1,1,horizon is 2 crossings: within Level 1 threshold of ~3 or fewer steps; static fully-observable single-agent goal
star-6-boat-2#s2,2,horizon is 5 crossings (4-10 range): exceeds Level 1 threshold of ~3 steps; static fully-observable single-agent environment caps at Level 2
star-6-boat-3#s2,1,horizon is 3 crossings: at upper bound of Level 1 threshold (~3 or fewer); static fully-observable single-agent goal
star-6-boat-4#s1,1,horizon is 2 crossings: within Level 1 threshold of ~3 or fewer steps; static fully-observable single-agent goal
cycle-3-boat-2#s1,1,horizon is 2 crossings: within Level 1 threshold of ~3 or fewer steps; static fully-observable single-agent goal
cycle-3-boat-3#s0,1,horizon is 1 crossing: single sequential action within Level 1 threshold; static fully-observable single-agent goal
cycle-3-boat-4#s0,1,horizon is 1 crossing: single sequential action within Level 1 threshold; static fully-observable single-agent goal
cycle-4-boat-2#s1,1,horizon is 2 crossings: within Level 1 threshold of ~3 or fewer steps; static fully-observable single-agent goal
cycle-4-boat-3#s1,1,horizon is 2 crossings: within Level 1 threshold of ~3 or fewer steps; static fully-observable single-agent goal
cycle-4-boat-4#s0,1,horizon is 1 crossing: single sequential action within Level 1 threshold; static fully-observable single-agent goal
cycle-5-boat-3#s1,1,horizon is 2 crossings: within Level 1 threshold of ~3 or fewer steps; static fully-observable single-agent goal
cycle-5-boat-4#s1,1,horizon is 2 crossings: within Level 1 threshold of ~3 or fewer steps; static fully-observable single-agent goal
cycle-6-boat-3#s1,1,horizon is 2 crossings: within Level 1 threshold of ~3 or fewer steps; static fully-observable single-agent goal
cycle-6-boat-4#s1,1,horizon is 2 crossings: within Level 1 threshold of ~3 or fewer steps; static fully-observable single-agent goal
complete-3-boat-2#s1,1,horizon is 2 crossings: within Level 1 threshold of ~3 or fewer steps; static fully-observable single-agent goal
complete-3-boat-3#s0,1,horizon is 1 crossing: single sequential action within Level 1 threshold; static fully-observable single-agent goal
complete-3-boat-4#s0,1,horizon is 1 crossing: single sequential action within Level 1 threshold; static fully-observable single-agent goal
complete-4-boat-3#s1,1,horizon is 2 crossings: within Level 1 threshold of ~3 or fewer steps; static fully-observable single-agent goal
complete-4-boat-4#s0,1,horizon is 1 crossing: single sequential action within Level 1 threshold; static fully-observable single-agent goal
complete-5-boat-4#s1,1,horizon is 2 crossings: within Level 1 threshold of ~3 or fewer steps; static fully-observable single-agent goal
missionaries-cannibals-3#s2,2,horizon is 5 crossings (4-10 range): exceeds Level 1 threshold of ~3 steps; static fully-observable single-agent environment caps at Level 2
missionaries-cannibals-4#s2,2,horizon is 5 crossings (4-10 range): exceeds Level 1 threshold of ~3 steps; static fully-observable single-agent environment caps at Level 2
