arm,item_id,judge,assigned
MSm_old,D01,haiku,3
MSm_old,D02,haiku,4
MSm_old,D03,haiku,3
MSm_old,D04,haiku,3
MSm_old,D05,haiku,4
MSm_old,D06,haiku,5
MSm_old,D07,haiku,4
MSm_old,D08,haiku,5
MSm_old,D09,haiku,0
MSm_old,D10,haiku,0
MSm_old,D01,sonnet,5
MSm_old,D02,sonnet,4
MSm_old,D03,sonnet,4
MSm_old,D04,sonnet,4
MSm_old,D05,sonnet,3
MSm_old,D06,sonnet,5
MSm_old,D07,sonnet,3
MSm_old,D08,sonnet,5
MSm_old,D09,sonnet,0
MSm_old,D10,sonnet,0
MSm_old,D01,opus,5
MSm_old,D02,opus,4
MSm_old,D03,opus,4
MSm_old,D04,opus,4
MSm_old,D05,opus,4
MSm_old,D06,opus,5
MSm_old,D07,opus,4
MSm_old,D08,opus,5
MSm_old,D09,opus,0
MSm_old,D10,opus,0
MSc_final,D01,haiku,0
MSc_final,D02,haiku,0
MSc_final,D03,haiku,0
MSc_final,D04,haiku,0
MSc_final,D05,haiku,4
MSc_final,D06,haiku,5
MSc_final,D07,haiku,4
MSc_final,D08,haiku,4
MSc_final,D09,haiku,0
MSc_final,D10,haiku,0
MSc_final,D01,sonnet,0
MSc_final,D02,sonnet,0
MSc_final,D03,sonnet,0
MSc_final,D04,sonnet,0
MSc_final,D05,sonnet,4
MSc_final,D06,sonnet,5
MSc_final,D07,sonnet,4
MSc_final,D08,sonnet,5
MSc_final,D09,sonnet,0
MSc_final,D10,sonnet,0
MSc_final,D01,opus,0
MSc_final,D02,opus,0
MSc_final,D03,opus,0
MSc_final,D04,opus,0
MSc_final,D05,opus,4
MSc_final,D06,opus,5
MSc_final,D07,opus,4
MSc_final,D08,opus,5
MSc_final,D09,opus,0
MSc_final,D10,opus,0
PLe_tight_only,N01,haiku,3
PLe_tight_only,N02,haiku,0
PLe_tight_only,N03,haiku,0
PLe_tight_only,N04,haiku,0
PLe_tight_only,N05,haiku,1
PLe_tight_only,N06,haiku,1
PLe_tight_only,N07,haiku,2
PLe_tight_only,N08,haiku,5
PLe_tight_only,N09,haiku,1
PLe_tight_only,N10,haiku,0
PLe_tight_only,S01,haiku,5
PLe_tight_only,S02,haiku,4
PLe_tight_only,S03,haiku,0
PLe_tight_only,S04,haiku,1
PLe_tight_only,S05,haiku,4
PLe_tight_only,S06,haiku,4
PLe_tight_only,T01,haiku,0
PLe_tight_only,T02,haiku,3
PLe_tight_only,T03,haiku,2
PLe_tight_only,T04,haiku,4
PLe_tight_only,T05,haiku,0
PLe_tight_only,T06,haiku,0
PLe_tight_only,T07,haiku,0
PLe_tight_only,T08,haiku,3
PLe_tight_only,N01,sonnet,4
PLe_tight_only,N02,sonnet,0
PLe_tight_only,N03,sonnet,0
PLe_tight_only,N04,sonnet,0
PLe_tight_only,N05,sonnet,4
PLe_tight_only,N06,sonnet,1
PLe_tight_only,N07,sonnet,3
PLe_tight_only,N08,sonnet,5
PLe_tight_only,N09,sonnet,2
PLe_tight_only,N10,sonnet,0
PLe_tight_only,S01,sonnet,5
PLe_tight_only,S02,sonnet,4
PLe_tight_only,S03,sonnet,0
PLe_tight_only,S04,sonnet,1
PLe_tight_only,S05,sonnet,5
PLe_tight_only,S06,sonnet,4
PLe_tight_only,T01,sonnet,0
PLe_tight_only,T02,sonnet,3
PLe_tight_only,T03,sonnet,4
PLe_tight_only,T04,sonnet,4
PLe_tight_only,T05,sonnet,3
PLe_tight_only,T06,sonnet,0
PLe_tight_only,T07,sonnet,0
PLe_tight_only,T08,sonnet,0
PLe_tight_only,N01,opus,4
PLe_tight_only,N02,opus,2
PLe_tight_only,N03,opus,2
PLe_tight_only,N04,opus,2
PLe_tight_only,N05,opus,4
PLe_tight_only,N06,opus,1
PLe_tight_only,N07,opus,3
PLe_tight_only,N08,opus,4
PLe_tight_only,N09,opus,4
PLe_tight_only,N10,opus,2
PLe_tight_only,S01,opus,5
PLe_tight_only,S02,opus,4
PLe_tight_only,S03,opus,0
PLe_tight_only,S04,opus,1
PLe_tight_only,S05,opus,4
PLe_tight_only,S06,opus,4
PLe_tight_only,T01,opus,0
PLe_tight_only,T02,opus,3
PLe_tight_only,T03,opus,4
PLe_tight_only,T04,opus,4
PLe_tight_only,T05,opus,4
PLe_tight_only,T06,opus,0
PLe_tight_only,T07,opus,3
PLe_tight_only,T08,opus,2
MSm_carveout,D01,haiku,3
MSm_carveout,D02,haiku,4
MSm_carveout,D03,haiku,3
MSm_carveout,D04,haiku,3
MSm_carveout,D05,haiku,2
MSm_carveout,D06,haiku,5
MSm_carveout,D07,haiku,2
MSm_carveout,D08,haiku,4
MSm_carveout,D09,haiku,0
MSm_carveout,D10,haiku,0
MSm_carveout,D01,sonnet,5
MSm_carveout,D02,sonnet,4
MSm_carveout,D03,sonnet,4
MSm_carveout,D04,sonnet,4
MSm_carveout,D05,sonnet,2
MSm_carveout,D06,sonnet,2
MSm_carveout,D07,sonnet,2
MSm_carveout,D08,sonnet,5
MSm_carveout,D09,sonnet,0
MSm_carveout,D10,sonnet,0
MSm_carveout,D01,opus,5
MSm_carveout,D02,opus,5
MSm_carveout,D03,opus,4
MSm_carveout,D04,opus,4
MSm_carveout,D05,opus,2
MSm_carveout,D06,opus,3
MSm_carveout,D07,opus,2
MSm_carveout,D08,opus,5
MSm_carveout,D09,opus,0
MSm_carveout,D10,opus,0
