custom_id,level,reason
chain-3-boat-1#s2,2,"horizon ~4 crossings (4-10 range), single-agent, static & fully-observable, simple sequencing -> L2"
chain-3-boat-2#s1,1,"horizon ~2 crossings, single-agent, static & fully-observable, no subtask split -> L1"
chain-3-boat-3#s0,1,"horizon ~1 crossings, single-agent, static & fully-observable, no subtask split -> L1"
chain-3-boat-4#s0,1,"horizon ~1 crossings, single-agent, static & fully-observable, no subtask split -> L1"
chain-4-boat-2#s1,1,"horizon ~2 crossings, single-agent, static & fully-observable, no subtask split -> L1"
chain-4-boat-3#s1,1,"horizon ~2 crossings, single-agent, static & fully-observable, no subtask split -> L1"
chain-4-boat-4#s0,1,"horizon ~1 crossings, single-agent, static & fully-observable, no subtask split -> L1"
chain-5-boat-2#s2,2,"horizon ~4 crossings (4-10 range), single-agent, static & fully-observable, simple sequencing -> L2"
chain-5-boat-3#s1,1,"horizon ~2 crossings, single-agent, static & fully-observable, no subtask split -> L1"
chain-5-boat-4#s1,1,"horizon ~2 crossings, single-agent, static & fully-observable, no subtask split -> L1"
chain-6-boat-3#s1,1,"horizon ~2 crossings, single-agent, static & fully-observable, no subtask split -> L1"
chain-6-boat-4#s1,1,"horizon ~2 crossings, single-agent, static & fully-observable, no subtask split -> L1"
star-3-boat-1#s2,2,"horizon ~4 crossings (4-10 range), single-agent, static & fully-observable, simple sequencing -> L2"
star-3-boat-2#s1,1,"horizon ~2 crossings, single-agent, static & fully-observable, no subtask split -> L1"
star-3-boat-3#s0,1,"horizon ~1 crossings, single-agent, static & fully-observable, no subtask split -> L1"
star-3-boat-4#s0,1,"horizon ~1 crossings, single-agent, static & fully-observable, no subtask split -> L1"
star-4-boat-2#s2,1,"horizon ~3 crossings, single-agent, static & fully-observable, no subtask split -> L1"
star-4-boat-3#s1,1,"horizon ~2 crossings, single-agent, static & fully-observable, no subtask split -> L1"
star-4-boat-4#s0,1,"horizon ~1 crossings, single-agent, static & fully-observable, no subtask split -> L1"
star-5-boat-2#s2,2,"horizon ~4 crossings (4-10 range), single-agent, static & fully-observable, simple sequencing -> L2"
star-5-boat-3#s1,1,"horizon ~2 crossings, single-agent, static & fully-observable, no subtask split -> L1"
star-5-boat-4#s1,1,"horizon ~2 crossings, single-agent, static & fully-observable, no subtask split -> L1"
star-6-boat-2#s2,2,"horizon ~5 crossings (4-10 range), single-agent, static & fully-observable, simple sequencing -> L2"
star-6-boat-3#s2,1,"horizon ~3 crossings, single-agent, static & fully-observable, no subtask split -> L1"
star-6-boat-4#s1,1,"horizon ~2 crossings, single-agent, static & fully-observable, no subtask split -> L1"
cycle-3-boat-2#s1,1,"horizon ~2 crossings, single-agent, static & fully-observable, no subtask split -> L1"
cycle-3-boat-3#s0,1,"horizon ~1 crossings, single-agent, static & fully-observable, no subtask split -> L1"
cycle-3-boat-4#s0,1,"horizon ~1 crossings, single-agent, static & fully-observable, no subtask split -> L1"
cycle-4-boat-2#s1,1,"horizon ~2 crossings, single-agent, static & fully-observable, no subtask split -> L1"
cycle-4-boat-3#s1,1,"horizon ~2 crossings, single-agent, static & fully-observable, no subtask split -> L1"
cycle-4-boat-4#s0,1,"horizon ~1 crossings, single-agent, static & fully-observable, no subtask split -> L1"
cycle-5-boat-3#s1,1,"horizon ~2 crossings, single-agent, static & fully-observable, no subtask split -> L1"
cycle-5-boat-4#s1,1,"horizon ~2 crossings, single-agent, static & fully-observable, no subtask split -> L1"
cycle-6-boat-3#s1,1,"horizon ~2 crossings, single-agent, static & fully-observable, no subtask split -> L1"
cycle-6-boat-4#s1,1,"horizon ~2 crossings, single-agent, static & fully-observable, no subtask split -> L1"
complete-3-boat-2#s1,1,"horizon ~2 crossings, single-agent, static & fully-observable, no subtask split -> L1"
complete-3-boat-3#s0,1,"horizon ~1 crossings, single-agent, static & fully-observable, no subtask split -> L1"
complete-3-boat-4#s0,1,"horizon ~1 crossings, single-agent, static & fully-observable, no subtask split -> L1"
complete-4-boat-3#s1,1,"horizon ~2 crossings, single-agent, static & fully-observable, no subtask split -> L1"
complete-4-boat-4#s0,1,"horizon ~1 crossings, single-agent, static & fully-observable, no subtask split -> L1"
complete-5-boat-4#s1,1,"horizon ~2 crossings, single-agent, static & fully-observable, no subtask split -> L1"
missionaries-cannibals-3#s2,2,"horizon ~5 crossings (4-10 range), single-agent, static & fully-observable, simple sequencing -> L2"
missionaries-cannibals-4#s2,2,"horizon ~5 crossings (4-10 range), single-agent, static & fully-observable, simple sequencing -> L2"
