You are an ADeLe demand-level annotator for PLp - Planning (a v2-draft rubric). For EACH of the 43 items below, score ONLY this dimension: the demand to COMPLETE the task from the situation shown.

STRICT RUBRIC ADHERENCE - assign by ELIMINATION against the rubric's stated conditions, NOT by perceived difficulty:
1. First note the task's decisive structural facts: planning horizon (how many crossings/actions to finish), number of subtasks, whether OTHER AGENTS are involved, whether the environment is static & fully-observable vs dynamic/partially-observable, whether the goal is open-ended.
2. Choose the level by checking from the TOP down whether the task meets that level's REQUIRED conditions. A level may be assigned ONLY if ALL its defining conditions hold. If a level requires a condition the task lacks (e.g. Level 3 needs ~50-100 actions and/or other agents; Levels 4-5 need open-ended goals and dynamic/multi-agent environments), you may NOT assign that level OR ANY HIGHER, no matter how intricate it feels.
3. Assign the HIGHEST level whose conditions are ALL satisfied. Difficulty cues (tricky ordering, traps, dense constraints) do NOT raise the level beyond what the structure permits.


=== PLp RUBRIC ===
# Planning

This rubric assesses the ability to envision desired outcomes and devise a series of actions or strategies to achieve them: setting clear instrumental goals, anticipating challenges, allocating resources, dividing tasks into subtasks, sequencing actions, and, at higher levels, allocating work among collaborators. The difficulty of a planning task increases with a longer temporal horizon, a greater number of subtasks, the presence of other agents, the open-endedness of the goal, and the unpredictability of the environment.

Level 0: No planning needed. Reactive or retrieval tasks that can be completed through a single cognitive operation (retrieval, recognition, straightforward mapping). No sequencing or subgoal generation is required; the environment is static and fully specified.
Examples:
* What year did Darwin publish "The Origin of Species": 1856, 1859, 1865 or 1866?
* Implement accurate real-time translation of a conversation between English and Spanish.
* Convert a temperature from Celsius to Fahrenheit.
* Select the figure that fits the pattern from A to E.

Level 1: Simple short-term planning. The task requires a very small number of steps (a horizon of about three or fewer). There is no need to divide the task into subtasks or to consider other agents; the goal is clearly specified and the environment is static and predictable.
Examples:
* Combine information from two sources to answer a simple question (e.g., compare the battery life of two smartphone models).
* Draft a brief email summarising the key points from a meeting after reading the notes.
* By what percentage did the number of history books published in Estonia fall from 1995 to 1996?

Level 2: Intermediate-term planning with simple decomposition. The task requires planning with a slightly longer horizon (roughly 4–10 sequential actions) and involves a few well-defined, simple subtasks. The environment is static and fully observable with no other agents; the goal is clear, though it may include multiple criteria (e.g., cost, dates, quality).
Examples:
* Build a personal webpage using a template: choose a template, customise the layout, and deploy the site.
* Plan a day-trip itinerary given preferences (museums, restaurants, location); identify opening hours and schedule visits.
* Provide a detailed scientific review for a research paper.
* Download a dataset, clean it, run a statistical analysis and produce a chart.

Level 3: Medium-horizon planning with multi-agent coordination. The task involves a longer temporal horizon (up to about 50–100 actions or interactions) and several hierarchical subtasks requiring sequencing and dependency management. It may require coordinating with other agents whose goals are known. The environment is largely static and predictable, with minimal re-planning.
Examples:
* Playing chess at international-tournament level, where sub-plans (opening, mid-game, end-game) are sequenced and opponent moves are predictable within known strategies.
* Organise a small academic workshop: invite speakers, arrange the schedule, manage registrations and communicate logistics.
* Plan a didactic unit spanning nine sessions for a primary-school English-as-a-foreign-language class where the students are known beforehand.
* Replicate a research paper by organising a literature review, implementing algorithms, running experiments and writing results.

Level 4: Long-horizon, open-ended static planning. Broad or open-ended goals whose evaluation criteria may be qualitative (e.g., "organise a successful conference"); tasks may span months or years. Numerous interdependent subtasks make hierarchical decomposition essential, and the task requires coordinating with multiple agents whose goals are known but whose actions may be unpredictable. The environment is static or slowly evolving, with occasional re-planning.
Examples:
* Plan a large-scale training pipeline for an LLM: schedule data collection, pre-training, hyperparameter search, evaluation and release.
* Design the legal strategy for a class-action lawsuit: coordinate legal research, evidence gathering, filings and negotiations with known parties.
* Organise an international conference (e.g., ICML): secure venues, negotiate with sponsors, select papers, schedule sessions, coordinate volunteers and manage budgets.

Level 5: Open-ended planning in dynamic, partially observable, multi-agent environments. The goal may be ambiguous, evolving or contested, and the horizon is arbitrary, potentially spanning years with ongoing feedback loops. Subtasks are complex and interdependent, and hierarchical decomposition must be revisited as conditions change. Multiple agents have diverse or partially unknown goals; the environment is dynamic and partially observable, so new information arrives, plans fail unexpectedly, and re-planning is frequent.
Examples:
* Create emergency-response protocols for large natural disasters: allocate resources and coordinate multiple teams (firefighters, medical, logistics, government) under rapidly changing conditions and incomplete information.
* Plan a multi-year international scientific project, such as the ITER nuclear-fusion reactor, where goals may evolve and partners have different agendas.
* Plan the development of an extreme-ultraviolet semiconductor fabrication plant, including procurement of specialised machinery, workforce training, supply-chain management and adaptation to market shifts.

=== 43 ITEMS (custom_id ||| situation) ===
chain-3-boat-1#s2 ||| You are partway through a river-crossing puzzle. The boat carries the farmer and at most 1 item per crossing. The item1 and the item2 must not be left together without the farmer. The item2 and the item3 must not be left together without the farmer. Current situation -- Left bank: item1. Right bank: farmer, item2, item3. The boat is on the right bank. Find a sequence of crossings that gets everything to the right bank from here.
chain-3-boat-2#s1 ||| You are partway through a river-crossing puzzle. The boat carries the farmer and at most 2 items per crossing. The item1 and the item2 must not be left together without the farmer. The item2 and the item3 must not be left together without the farmer. Current situation -- Left bank: item2. Right bank: farmer, item1, item3. The boat is on the right bank. Find a sequence of crossings that gets everything to the right bank from here.
chain-3-boat-3#s0 ||| You are partway through a river-crossing puzzle. The boat carries the farmer and at most 3 items per crossing. The item1 and the item2 must not be left together without the farmer. The item2 and the item3 must not be left together without the farmer. Current situation -- Left bank: farmer, item2. Right bank: item1, item3. The boat is on the left bank. Find a sequence of crossings that gets everything to the right bank from here.
chain-3-boat-4#s0 ||| You are partway through a river-crossing puzzle. The boat carries the farmer and at most 4 items per crossing. The item1 and the item2 must not be left together without the farmer. The item2 and the item3 must not be left together without the farmer. Current situation -- Left bank: farmer, item2. Right bank: item1, item3. The boat is on the left bank. Find a sequence of crossings that gets everything to the right bank from here.
chain-4-boat-2#s1 ||| You are partway through a river-crossing puzzle. The boat carries the farmer and at most 2 items per crossing. The item1 and the item2 must not be left together without the farmer. The item2 and the item3 must not be left together without the farmer. The item3 and the item4 must not be left together without the farmer. Current situation -- Left bank: item1, item3. Right bank: farmer, item2, item4. The boat is on the right bank. Find a sequence of crossings that gets everything to the right bank from here.
chain-4-boat-3#s1 ||| You are partway through a river-crossing puzzle. The boat carries the farmer and at most 3 items per crossing. The item1 and the item2 must not be left together without the farmer. The item2 and the item3 must not be left together without the farmer. The item3 and the item4 must not be left together without the farmer. Current situation -- Left bank: item1, item3. Right bank: farmer, item2, item4. The boat is on the right bank. Find a sequence of crossings that gets everything to the right bank from here.
chain-4-boat-4#s0 ||| You are partway through a river-crossing puzzle. The boat carries the farmer and at most 4 items per crossing. The item1 and the item2 must not be left together without the farmer. The item2 and the item3 must not be left together without the farmer. The item3 and the item4 must not be left together without the farmer. Current situation -- Left bank: farmer, item1, item3. Right bank: item2, item4. The boat is on the left bank. Find a sequence of crossings that gets everything to the right bank from here.
chain-5-boat-2#s2 ||| You are partway through a river-crossing puzzle. The boat carries the farmer and at most 2 items per crossing. The item1 and the item2 must not be left together without the farmer. The item2 and the item3 must not be left together without the farmer. The item3 and the item4 must not be left together without the farmer. The item4 and the item5 must not be left together without the farmer. Current situation -- Left bank: item1, item4. Right bank: farmer, item2, item3, item5. The boat is on the right bank. Find a sequence of crossings that gets everything to the right bank from here.
chain-5-boat-3#s1 ||| You are partway through a river-crossing puzzle. The boat carries the farmer and at most 3 items per crossing. The item1 and the item2 must not be left together without the farmer. The item2 and the item3 must not be left together without the farmer. The item3 and the item4 must not be left together without the farmer. The item4 and the item5 must not be left together without the farmer. Current situation -- Left bank: item2, item4. Right bank: farmer, item1, item3, item5. The boat is on the right bank. Find a sequence of crossings that gets everything to the right bank from here.
chain-5-boat-4#s1 ||| You are partway through a river-crossing puzzle. The boat carries the farmer and at most 4 items per crossing. The item1 and the item2 must not be left together without the farmer. The item2 and the item3 must not be left together without the farmer. The item3 and the item4 must not be left together without the farmer. The item4 and the item5 must not be left together without the farmer. Current situation -- Left bank: item2, item4. Right bank: farmer, item1, item3, item5. The boat is on the right bank. Find a sequence of crossings that gets everything to the right bank from here.
chain-6-boat-3#s1 ||| You are partway through a river-crossing puzzle. The boat carries the farmer and at most 3 items per crossing. The item1 and the item2 must not be left together without the farmer. The item2 and the item3 must not be left together without the farmer. The item3 and the item4 must not be left together without the farmer. The item4 and the item5 must not be left together without the farmer. The item5 and the item6 must not be left together without the farmer. Current situation -- Left bank: item1, item3, item5. Right bank: farmer, item2, item4, item6. The boat is on the right bank. Find a sequence of crossings that gets everything to the right bank from here.
chain-6-boat-4#s1 ||| You are partway through a river-crossing puzzle. The boat carries the farmer and at most 4 items per crossing. The item1 and the item2 must not be left together without the farmer. The item2 and the item3 must not be left together without the farmer. The item3 and the item4 must not be left together without the farmer. The item4 and the item5 must not be left together without the farmer. The item5 and the item6 must not be left together without the farmer. Current situation -- Left bank: item1, item3, item5. Right bank: farmer, item2, item4, item6. The boat is on the right bank. Find a sequence of crossings that gets everything to the right bank from here.
