pair_id,underlying_state_id,custom_id_state_visible,custom_id_history_only,puzzle_id,step_idx,true_left,true_right,true_boat,cost_to_go,history_length,boat_side_updates,object_location_updates,num_unique_objects_moved,num_reversals,interference_count,num_object_moves,num_location_updates,num_repeated_moves
chain-3-boat-1#s2,chain-3-boat-1#s2,chain-3-boat-1#s2,chain-3-boat-1#s2__history_only,chain-3-boat-1,2,item1,farmer;item2;item3,right,4,3,3,2,2,0,0,2,8,2
chain-3-boat-2#s1,chain-3-boat-2#s1,chain-3-boat-2#s1,chain-3-boat-2#s1__history_only,chain-3-boat-2,1,item2,farmer;item1;item3,right,2,1,1,2,2,0,0,2,4,0
chain-3-boat-3#s0,chain-3-boat-3#s0,chain-3-boat-3#s0,chain-3-boat-3#s0__history_only,chain-3-boat-3,0,farmer;item2,item1;item3,left,1,2,2,2,2,0,0,2,6,1
chain-3-boat-4#s0,chain-3-boat-4#s0,chain-3-boat-4#s0,chain-3-boat-4#s0__history_only,chain-3-boat-4,0,farmer;item2,item1;item3,left,1,2,2,2,2,0,0,2,6,1
chain-4-boat-2#s1,chain-4-boat-2#s1,chain-4-boat-2#s1,chain-4-boat-2#s1__history_only,chain-4-boat-2,1,item1;item3,farmer;item2;item4,right,2,1,1,2,2,0,0,2,4,0
chain-4-boat-3#s1,chain-4-boat-3#s1,chain-4-boat-3#s1,chain-4-boat-3#s1__history_only,chain-4-boat-3,1,item1;item3,farmer;item2;item4,right,2,1,1,2,2,0,0,2,4,0
chain-4-boat-4#s0,chain-4-boat-4#s0,chain-4-boat-4#s0,chain-4-boat-4#s0__history_only,chain-4-boat-4,0,farmer;item1;item3,item2;item4,left,1,2,2,2,2,0,0,2,6,1
chain-5-boat-2#s2,chain-5-boat-2#s2,chain-5-boat-2#s2,chain-5-boat-2#s2__history_only,chain-5-boat-2,2,item1;item4,farmer;item2;item3;item5,right,4,3,3,5,4,1,1,5,11,3
chain-5-boat-3#s1,chain-5-boat-3#s1,chain-5-boat-3#s1,chain-5-boat-3#s1__history_only,chain-5-boat-3,1,item2;item4,farmer;item1;item3;item5,right,2,1,1,3,3,0,0,3,5,0
chain-5-boat-4#s1,chain-5-boat-4#s1,chain-5-boat-4#s1,chain-5-boat-4#s1__history_only,chain-5-boat-4,1,item2;item4,farmer;item1;item3;item5,right,2,1,1,3,3,0,0,3,5,0
chain-6-boat-3#s1,chain-6-boat-3#s1,chain-6-boat-3#s1,chain-6-boat-3#s1__history_only,chain-6-boat-3,1,item1;item3;item5,farmer;item2;item4;item6,right,2,1,1,3,3,0,0,3,5,0
chain-6-boat-4#s1,chain-6-boat-4#s1,chain-6-boat-4#s1,chain-6-boat-4#s1__history_only,chain-6-boat-4,1,item1;item3;item5,farmer;item2;item4;item6,right,2,1,1,3,3,0,0,3,5,0
star-3-boat-1#s2,star-3-boat-1#s2,star-3-boat-1#s2,star-3-boat-1#s2__history_only,star-3-boat-1,2,item2,farmer;item1;item3,right,4,3,3,2,2,0,0,2,8,2
star-3-boat-2#s1,star-3-boat-2#s1,star-3-boat-2#s1,star-3-boat-2#s1__history_only,star-3-boat-2,1,item1,farmer;item2;item3,right,2,1,1,2,2,0,0,2,4,0
star-3-boat-3#s0,star-3-boat-3#s0,star-3-boat-3#s0,star-3-boat-3#s0__history_only,star-3-boat-3,0,farmer;item1,item2;item3,left,1,2,2,2,2,0,0,2,6,1
star-3-boat-4#s0,star-3-boat-4#s0,star-3-boat-4#s0,star-3-boat-4#s0__history_only,star-3-boat-4,0,farmer;item1,item2;item3,left,1,2,2,2,2,0,0,2,6,1
star-4-boat-2#s2,star-4-boat-2#s2,star-4-boat-2#s2,star-4-boat-2#s2__history_only,star-4-boat-2,2,farmer;item1;item2;item3,item4,left,3,2,2,3,2,1,1,3,7,2
star-4-boat-3#s1,star-4-boat-3#s1,star-4-boat-3#s1,star-4-boat-3#s1__history_only,star-4-boat-3,1,item1,farmer;item2;item3;item4,right,2,1,1,3,3,0,0,3,5,0
star-4-boat-4#s0,star-4-boat-4#s0,star-4-boat-4#s0,star-4-boat-4#s0__history_only,star-4-boat-4,0,farmer;item1,item2;item3;item4,left,1,2,2,3,3,0,0,3,7,1
star-5-boat-2#s2,star-5-boat-2#s2,star-5-boat-2#s2,star-5-boat-2#s2__history_only,star-5-boat-2,2,item2;item3,farmer;item1;item4;item5,right,4,3,3,3,3,0,0,3,9,2
star-5-boat-3#s1,star-5-boat-3#s1,star-5-boat-3#s1,star-5-boat-3#s1__history_only,star-5-boat-3,1,item1,farmer;item2;item3;item4;item5,right,2,3,3,6,5,1,1,6,12,3
