item,design,pair,dim,judge,level,task
A1,A,PLp/MCr,PLp,sonnet,3,"You are given the complete specification of a timetabling problem: 12 lectures, 4 rooms, the stated availability window of each lecturer, and 9 precedence constraints. Nothing is missing and nothing irrelevant is included. Produce a valid timetable."
B1,B,PLp/MCr,PLp,sonnet,1,"A 40-page incident log contains three lines that bear on the question, buried among unrelated entries. Identify which lines matter and answer: did the outage affect EU customers? Once the right lines are found the answer is immediate."
C1,C,PLp/MCr,PLp,sonnet,4,"Solve a competition programming problem for which no standard technique applies: the key idea must be found first, and most approaches that look promising fail only once worked through."
A2,A,PLs/MCu,PLp,sonnet,0,Others keep editing a shared whiteboard while you work. Report what is written on it at the end of the session.
B2,B,PLs/MCu,PLp,sonnet,2,"You are given a complete, fully documented dataset. State which of five proposed conclusions it can support and which would require data you do not have."
C2,C,PLs/MCu,PLp,sonnet,2,"A patient presents with fever, fatigue and joint pain. Decide which diagnoses can be ruled out and which tests to order."
A3,A,PLp/AT,PLp,sonnet,3,"Plan a multi-city international trip where flight dates, visa processing times and hotel bookings constrain one another."
B3,B,PLp/AT,PLp,sonnet,1,"If the letter Q were removed from the English alphabet, list three common words that would need respelling and say how. The method is obvious as soon as the question is read."
C3,C,PLp/AT,PLp,sonnet,5,"Devise a synthesis route for a complex, previously unsynthesised natural product, where almost every sequence of reactions fails."
A4,A,PLp/CL,PLp,sonnet,2,"Order 30 construction subtasks whose dependencies are fully specified and whose methods are all standard, so that no task begins before its prerequisites finish and the site is never overcrowded."
B4,B,PLp/CL,PLp,sonnet,1,Here are five sentences obeying an invented grammatical rule. Work out the rule and apply it to a sixth sentence.
C4,C,PLp/CL,PLp,sonnet,4,Solve a competition programming problem whose key idea is an analogy to a completely different class of problem.
A5,A,PLp/QLl,PLp,sonnet,2,"Plan a week of meals so that ingredients bought early are used before they spoil and the weekly shop is done once. No formal deduction is required, but each choice constrains the later ones."
B5,B,PLp/QLl,PLp,sonnet,1,Seven statements describe who sits where at a round table. Deduce the seating. Systematic elimination is the standard method and you may use it directly.
C5,C,PLp/QLl,PLp,sonnet,1,Seven albums must be recorded in some order subject to five ordering constraints. Produce a valid schedule.
S1,S,-,PLp,sonnet,0,What is the boiling point of water at sea level?
S2,S,-,PLp,sonnet,5,"Devise the proof strategy for a long-standing open conjecture, where the lemmas to aim for must themselves be discovered and restructured as attempts collapse."
S3,S,-,PLp,sonnet,3,A program you did not write crashes intermittently. The whole source is available to read. Find the fault.
S4,S,-,PLp,sonnet,1,Summarise a 600-word news article in three sentences.
S5,S,-,PLp,sonnet,1,Prove that there are infinitely many prime numbers.
A1,A,PLp/MCr,PLp,opus,3,"You are given the complete specification of a timetabling problem: 12 lectures, 4 rooms, the stated availability window of each lecturer, and 9 precedence constraints. Nothing is missing and nothing irrelevant is included. Produce a valid timetable."
B1,B,PLp/MCr,PLp,opus,1,"A 40-page incident log contains three lines that bear on the question, buried among unrelated entries. Identify which lines matter and answer: did the outage affect EU customers? Once the right lines are found the answer is immediate."
C1,C,PLp/MCr,PLp,opus,4,"Solve a competition programming problem for which no standard technique applies: the key idea must be found first, and most approaches that look promising fail only once worked through."
A2,A,PLs/MCu,PLp,opus,0,Others keep editing a shared whiteboard while you work. Report what is written on it at the end of the session.
B2,B,PLs/MCu,PLp,opus,1,"You are given a complete, fully documented dataset. State which of five proposed conclusions it can support and which would require data you do not have."
C2,C,PLs/MCu,PLp,opus,2,"A patient presents with fever, fatigue and joint pain. Decide which diagnoses can be ruled out and which tests to order."
A3,A,PLp/AT,PLp,opus,3,"Plan a multi-city international trip where flight dates, visa processing times and hotel bookings constrain one another."
B3,B,PLp/AT,PLp,opus,1,"If the letter Q were removed from the English alphabet, list three common words that would need respelling and say how. The method is obvious as soon as the question is read."
C3,C,PLp/AT,PLp,opus,5,"Devise a synthesis route for a complex, previously unsynthesised natural product, where almost every sequence of reactions fails."
A4,A,PLp/CL,PLp,opus,3,"Order 30 construction subtasks whose dependencies are fully specified and whose methods are all standard, so that no task begins before its prerequisites finish and the site is never overcrowded."
B4,B,PLp/CL,PLp,opus,1,Here are five sentences obeying an invented grammatical rule. Work out the rule and apply it to a sixth sentence.
C4,C,PLp/CL,PLp,opus,4,Solve a competition programming problem whose key idea is an analogy to a completely different class of problem.
A5,A,PLp/QLl,PLp,opus,3,"Plan a week of meals so that ingredients bought early are used before they spoil and the weekly shop is done once. No formal deduction is required, but each choice constrains the later ones."
B5,B,PLp/QLl,PLp,opus,1,Seven statements describe who sits where at a round table. Deduce the seating. Systematic elimination is the standard method and you may use it directly.
C5,C,PLp/QLl,PLp,opus,2,Seven albums must be recorded in some order subject to five ordering constraints. Produce a valid schedule.
S1,S,-,PLp,opus,0,What is the boiling point of water at sea level?
S2,S,-,PLp,opus,5,"Devise the proof strategy for a long-standing open conjecture, where the lemmas to aim for must themselves be discovered and restructured as attempts collapse."
S3,S,-,PLp,opus,3,A program you did not write crashes intermittently. The whole source is available to read. Find the fault.
S4,S,-,PLp,opus,1,Summarise a 600-word news article in three sentences.
S5,S,-,PLp,opus,1,Prove that there are infinitely many prime numbers.
