custom_id,level,note
chain-3-boat-1#s2,1,
chain-3-boat-2#s1,1,
chain-3-boat-3#s0,1,
chain-3-boat-4#s0,1,
chain-4-boat-2#s1,1,
chain-4-boat-3#s1,1,
chain-4-boat-4#s0,1,
chain-5-boat-2#s2,3,
chain-5-boat-3#s1,1,
chain-5-boat-4#s1,1,
chain-6-boat-3#s1,1,
chain-6-boat-4#s1,1,
star-3-boat-1#s2,1,
star-3-boat-2#s1,1,
star-3-boat-3#s0,1,
star-3-boat-4#s0,1,
star-4-boat-2#s2,2,
star-4-boat-3#s1,1,
star-4-boat-4#s0,1,
star-5-boat-2#s2,1,
star-5-boat-3#s1,1,
star-5-boat-4#s1,1,
star-6-boat-2#s2,1,
star-6-boat-3#s2,1,
star-6-boat-4#s1,1,
cycle-3-boat-2#s1,1,
cycle-3-boat-3#s0,1,
cycle-3-boat-4#s0,1,
cycle-4-boat-2#s1,1,
cycle-4-boat-3#s1,1,
cycle-4-boat-4#s0,1,
cycle-5-boat-3#s1,1,
cycle-5-boat-4#s1,1,
cycle-6-boat-3#s1,1,
cycle-6-boat-4#s1,1,
complete-3-boat-2#s1,1,
complete-3-boat-3#s0,1,
complete-3-boat-4#s0,1,
complete-4-boat-3#s1,1,
complete-4-boat-4#s0,1,
complete-5-boat-4#s1,1,
missionaries-cannibals-3#s2,3,
missionaries-cannibals-4#s2,3,
