item_id,ex_id,dim,level
E01,PLe-L4-00,PLe,4
E02,MSc-L0-01,MSc,0
E03,PLp-L1-01,PLp,1
E04,PLe-L3-01,PLe,3
E05,PLs-L5-02,PLs,5
E06,PLp-L0-04,PLp,0
E07,PLe-L2-02,PLe,2
E08,PLs-L5-00,PLs,5
E09,PLp-L0-02,PLp,0
E10,PLe-L2-00,PLe,2
E11,PLs-L4-01,PLs,4
E12,PLp-L0-00,PLp,0
E13,PLe-L1-01,PLe,1
E14,PLs-L3-02,PLs,3
E15,MSc-L5-01,MSc,5
E16,PLe-L0-03,PLe,0
E17,PLs-L3-00,PLs,3
E18,MSc-L4-02,MSc,4
E19,PLe-L0-01,PLe,0
E20,PLs-L2-01,PLs,2
E21,MSc-L4-00,MSc,4
E22,PLp-L5-02,PLp,5
E23,PLs-L1-02,PLs,1
E24,MSc-L3-02,MSc,3
E25,PLp-L5-00,PLp,5
E26,PLs-L1-00,PLs,1
E27,MSc-L3-00,MSc,3
E28,PLp-L4-01,PLp,4
E29,PLs-L0-01,PLs,0
E30,MSc-L2-01,MSc,2
E31,PLp-L3-02,PLp,3
E32,PLe-L5-02,PLe,5
E33,MSc-L1-03,MSc,1
E34,PLp-L3-00,PLp,3
E35,PLe-L5-00,PLe,5
E36,MSc-L1-01,MSc,1
E37,PLp-L2-01,PLp,2
E38,PLe-L4-01,PLe,4
E39,MSc-L0-02,MSc,0
E40,PLp-L1-02,PLp,1
E41,PLe-L3-02,PLe,3
E42,MSc-L0-00,MSc,0
E43,PLp-L1-00,PLp,1
E44,PLe-L3-00,PLe,3
E45,PLs-L5-01,PLs,5
E46,PLp-L0-03,PLp,0
E47,PLe-L2-01,PLe,2
E48,PLs-L4-02,PLs,4
E49,PLp-L0-01,PLp,0
E50,PLe-L1-02,PLe,1
E51,PLs-L4-00,PLs,4
E52,MSc-L5-02,MSc,5
E53,PLe-L1-00,PLe,1
E54,PLs-L3-01,PLs,3
E55,MSc-L5-00,MSc,5
E56,PLe-L0-02,PLe,0
E57,PLs-L2-02,PLs,2
E58,MSc-L4-01,MSc,4
E59,PLe-L0-00,PLe,0
E60,PLs-L2-00,PLs,2
E61,MSc-L3-03,MSc,3
E62,PLp-L5-01,PLp,5
E63,PLs-L1-01,PLs,1
E64,MSc-L3-01,MSc,3
E65,PLp-L4-02,PLp,4
E66,PLs-L0-02,PLs,0
E67,MSc-L2-02,MSc,2
E68,PLp-L4-00,PLp,4
E69,PLs-L0-00,PLs,0
E70,MSc-L2-00,MSc,2
E71,PLp-L3-01,PLp,3
E72,PLe-L5-01,PLe,5
E73,MSc-L1-02,MSc,1
E74,PLp-L2-02,PLp,2
E75,PLe-L4-02,PLe,4
E76,MSc-L1-00,MSc,1
E77,PLp-L2-00,PLp,2
