custom_id,agent,task,kind,depth_frac,k,n_steps,success
opus41:django__django-11999#cp25,opus41,django__django-11999,cp,0.27,8,30,1
opus41:django__django-11999#cp50,opus41,django__django-11999,cp,0.5,15,30,1
opus41:django__django-11999#cp75,opus41,django__django-11999,cp,0.77,23,30,1
opus41:django__django-11999#segA,opus41,django__django-11999,seg,0.3,10,30,1
opus41:django__django-11999#segB,opus41,django__django-11999,seg,0.7,10,30,1
opus41:django__django-11951#cp25,opus41,django__django-11951,cp,0.27,8,30,1
opus41:django__django-11951#cp50,opus41,django__django-11951,cp,0.5,15,30,1
opus41:django__django-11951#cp75,opus41,django__django-11951,cp,0.77,23,30,1
opus41:django__django-11951#segA,opus41,django__django-11951,seg,0.3,10,30,1
opus41:django__django-11951#segB,opus41,django__django-11951,seg,0.7,10,30,1
opus41:django__django-12193#cp25,opus41,django__django-12193,cp,0.26,8,31,1
opus41:django__django-12193#cp50,opus41,django__django-12193,cp,0.52,16,31,1
opus41:django__django-12193#cp75,opus41,django__django-12193,cp,0.77,24,31,1
opus41:django__django-12193#segA,opus41,django__django-12193,seg,0.29,10,31,1
opus41:django__django-12193#segB,opus41,django__django-12193,seg,0.68,10,31,1
opus41:sphinx-doc__sphinx-9367#cp25,opus41,sphinx-doc__sphinx-9367,cp,0.25,7,28,1
opus41:sphinx-doc__sphinx-9367#cp50,opus41,sphinx-doc__sphinx-9367,cp,0.5,14,28,1
opus41:sphinx-doc__sphinx-9367#cp75,opus41,sphinx-doc__sphinx-9367,cp,0.75,21,28,1
opus41:sphinx-doc__sphinx-9367#segA,opus41,sphinx-doc__sphinx-9367,seg,0.3,9,28,1
opus41:sphinx-doc__sphinx-9367#segB,opus41,sphinx-doc__sphinx-9367,seg,0.7,9,28,1
opus41:sphinx-doc__sphinx-8056#cp25,opus41,sphinx-doc__sphinx-8056,cp,0.25,7,28,0
opus41:sphinx-doc__sphinx-8056#cp50,opus41,sphinx-doc__sphinx-8056,cp,0.5,14,28,0
opus41:sphinx-doc__sphinx-8056#cp75,opus41,sphinx-doc__sphinx-8056,cp,0.75,21,28,0
opus41:sphinx-doc__sphinx-8056#segA,opus41,sphinx-doc__sphinx-8056,seg,0.3,9,28,0
opus41:sphinx-doc__sphinx-8056#segB,opus41,sphinx-doc__sphinx-8056,seg,0.7,9,28,0
opus41:sphinx-doc__sphinx-7748#cp25,opus41,sphinx-doc__sphinx-7748,cp,0.27,9,33,0
opus41:sphinx-doc__sphinx-7748#cp50,opus41,sphinx-doc__sphinx-7748,cp,0.52,17,33,0
opus41:sphinx-doc__sphinx-7748#cp75,opus41,sphinx-doc__sphinx-7748,cp,0.76,25,33,0
opus41:sphinx-doc__sphinx-7748#segA,opus41,sphinx-doc__sphinx-7748,seg,0.27,10,33,0
opus41:sphinx-doc__sphinx-7748#segB,opus41,sphinx-doc__sphinx-7748,seg,0.7,10,33,0
opus41:sphinx-doc__sphinx-10673#cp25,opus41,sphinx-doc__sphinx-10673,cp,0.26,7,27,0
opus41:sphinx-doc__sphinx-10673#cp50,opus41,sphinx-doc__sphinx-10673,cp,0.52,14,27,0
opus41:sphinx-doc__sphinx-10673#cp75,opus41,sphinx-doc__sphinx-10673,cp,0.78,21,27,0
opus41:sphinx-doc__sphinx-10673#segA,opus41,sphinx-doc__sphinx-10673,seg,0.31,9,27,0
opus41:sphinx-doc__sphinx-10673#segB,opus41,sphinx-doc__sphinx-10673,seg,0.69,9,27,0
opus41:sphinx-doc__sphinx-8551#cp25,opus41,sphinx-doc__sphinx-8551,cp,0.28,7,25,0
opus41:sphinx-doc__sphinx-8551#cp50,opus41,sphinx-doc__sphinx-8551,cp,0.52,13,25,0
opus41:sphinx-doc__sphinx-8551#cp75,opus41,sphinx-doc__sphinx-8551,cp,0.76,19,25,0
opus41:sphinx-doc__sphinx-8551#segA,opus41,sphinx-doc__sphinx-8551,seg,0.28,8,25,0
