custom_id,level
chain-3-boat-1#t1,1
chain-3-boat-1#t2,1
chain-3-boat-1#t3,1
chain-3-boat-1#t4,1
chain-3-boat-1#t5,1
chain-3-boat-1#t6,1
chain-3-boat-1#t7,1
chain-5-boat-2#t1,1
chain-5-boat-2#t2,1
chain-5-boat-2#t3,1
chain-5-boat-2#t4,1
chain-5-boat-2#t5,1
chain-5-boat-2#t6,1
chain-5-boat-2#t7,1
chain-5-boat-2#t8,1
chain-5-boat-2#t9,1
chain-5-boat-2#t10,1
chain-5-boat-2#t11,1
complete-4-boat-3#t1,1
complete-4-boat-3#t2,1
complete-4-boat-3#t3,1
complete-4-boat-3#t4,1
complete-4-boat-3#t5,1
complete-4-boat-3#t6,1
complete-4-boat-3#t7,1
complete-4-boat-3#t8,1
complete-4-boat-3#t9,1
cycle-4-boat-2#t1,1
cycle-4-boat-2#t2,1
cycle-4-boat-2#t3,1
cycle-4-boat-2#t4,1
cycle-4-boat-2#t5,1
star-4-boat-2#t1,1
star-4-boat-2#t2,1
star-4-boat-2#t3,1
star-4-boat-2#t4,1
star-4-boat-2#t5,1
missionaries-cannibals-3#t1,1
missionaries-cannibals-3#t2,1
missionaries-cannibals-3#t3,1
missionaries-cannibals-3#t4,1
missionaries-cannibals-3#t5,1
missionaries-cannibals-3#t6,1
missionaries-cannibals-3#t7,1
missionaries-cannibals-3#t8,1
missionaries-cannibals-3#t9,1
missionaries-cannibals-3#t10,1
missionaries-cannibals-3#t11,1
