custom_id,prompt
memc-L3-low-01__state_visible,"You are partway through a river-crossing puzzle. The boat carries the farmer and at most 2 items per crossing. The item1 and the item2 must not be left together without the farmer. The item2 and the item3 must not be left together without the farmer. Current situation -- Left bank: item1, item3. Right bank: farmer, item2. The boat is on the right bank. Find a sequence of crossings that gets everything to the right bank from here."
memc-L3-low-02__state_visible,"You are partway through a river-crossing puzzle. The boat carries the farmer and at most 3 items per crossing. The item1 and the item2 must not be left together without the farmer. The item2 and the item3 must not be left together without the farmer. Current situation -- Left bank: item1, item3. Right bank: farmer, item2. The boat is on the right bank. Find a sequence of crossings that gets everything to the right bank from here."
memc-L3-medium-01__state_visible,"You are partway through a river-crossing puzzle. The boat carries the farmer and at most 4 items per crossing. The item1 and the item2 must not be left together without the farmer. The item1 and the item3 must not be left together without the farmer. The item1 and the item4 must not be left together without the farmer. The item1 and the item5 must not be left together without the farmer. Current situation -- Left bank: item5. Right bank: farmer, item1, item2, item3, item4. The boat is on the right bank. Find a sequence of crossings that gets everything to the right bank from here."
memc-L3-medium-02__state_visible,"You are partway through a river-crossing puzzle. The boat carries the farmer and at most 3 items per crossing. The item1 and the item2 must not be left together without the farmer. The item1 and the item3 must not be left together without the farmer. The item1 and the item4 must not be left together without the farmer. The item1 and the item5 must not be left together without the farmer. Current situation -- Left bank: item5. Right bank: farmer, item1, item2, item3, item4. The boat is on the right bank. Find a sequence of crossings that gets everything to the right bank from here."
memc-L3-high-01__state_visible,"You are partway through a river-crossing puzzle. The boat carries the farmer and at most 4 items per crossing. The item1 and the item2 must not be left together without the farmer. The item1 and the item3 must not be left together without the farmer. The item1 and the item4 must not be left together without the farmer. The item1 and the item5 must not be left together without the farmer. Current situation -- Left bank: item5. Right bank: farmer, item1, item2, item3, item4. The boat is on the right bank. Find a sequence of crossings that gets everything to the right bank from here."
memc-L3-high-02__state_visible,"You are partway through a river-crossing puzzle. The boat carries the farmer and at most 4 items per crossing. The item1 and the item2 must not be left together without the farmer. The item1 and the item5 must not be left together without the farmer. The item2 and the item3 must not be left together without the farmer. The item3 and the item4 must not be left together without the farmer. The item4 and the item5 must not be left together without the farmer. Current situation -- Left bank: item5. Right bank: farmer, item1, item2, item3, item4. The boat is on the right bank. Find a sequence of crossings that gets everything to the right bank from here."
memc-L4-low-01__state_visible,"You are partway through a river-crossing puzzle. The boat carries the farmer and at most 2 items per crossing. The item1 and the item2 must not be left together without the farmer. The item2 and the item3 must not be left together without the farmer. Current situation -- Left bank: farmer, item1, item3. Right bank: item2. The boat is on the left bank. Find a sequence of crossings that gets everything to the right bank from here."
memc-L4-low-02__state_visible,"You are partway through a river-crossing puzzle. The boat carries the farmer and at most 3 items per crossing. The item1 and the item2 must not be left together without the farmer. The item2 and the item3 must not be left together without the farmer. Current situation -- Left bank: farmer, item1, item3. Right bank: item2. The boat is on the left bank. Find a sequence of crossings that gets everything to the right bank from here."
memc-L4-medium-01__state_visible,"You are partway through a river-crossing puzzle. The boat carries the farmer and at most 4 items per crossing. The item1 and the item2 must not be left together without the farmer. The item1 and the item3 must not be left together without the farmer. The item1 and the item4 must not be left together without the farmer. The item1 and the item5 must not be left together without the farmer. Current situation -- Left bank: farmer, item1. Right bank: item2, item3, item4, item5. The boat is on the left bank. Find a sequence of crossings that gets everything to the right bank from here."
memc-L4-medium-02__state_visible,"You are partway through a river-crossing puzzle. The boat carries the farmer and at most 4 items per crossing. The item1 and the item2 must not be left together without the farmer. The item1 and the item3 must not be left together without the farmer. The item1 and the item4 must not be left together without the farmer. Current situation -- Left bank: farmer, item1. Right bank: item2, item3, item4. The boat is on the left bank. Find a sequence of crossings that gets everything to the right bank from here."
memc-L4-high-01__state_visible,"You are partway through a river-crossing puzzle. The boat carries the farmer and at most 4 items per crossing. The item1 and the item2 must not be left together without the farmer. The item1 and the item3 must not be left together without the farmer. The item1 and the item4 must not be left together without the farmer. Current situation -- Left bank: farmer, item1, item2, item3, item4. Right bank: nothing. The boat is on the left bank. Find a sequence of crossings that gets everything to the right bank from here."
memc-L4-high-02__state_visible,"You are partway through a river-crossing puzzle. The boat carries the farmer and at most 4 items per crossing. The item1 and the item2 must not be left together without the farmer. The item1 and the item4 must not be left together without the farmer. The item2 and the item3 must not be left together without the farmer. The item3 and the item4 must not be left together without the farmer. Current situation -- Left bank: farmer, item1, item2, item3, item4. Right bank: nothing. The boat is on the left bank. Find a sequence of crossings that gets everything to the right bank from here."
memc-L5-low-01__state_visible,"You are partway through a river-crossing puzzle. The boat carries the farmer and at most 2 items per crossing. The item1 and the item2 must not be left together without the farmer. The item2 and the item3 must not be left together without the farmer. Current situation -- Left bank: item1, item3. Right bank: farmer, item2. The boat is on the right bank. Find a sequence of crossings that gets everything to the right bank from here."
memc-L5-low-02__state_visible,"You are partway through a river-crossing puzzle. The boat carries the farmer and at most 3 items per crossing. The item1 and the item2 must not be left together without the farmer. The item2 and the item3 must not be left together without the farmer. Current situation -- Left bank: item1, item3. Right bank: farmer, item2. The boat is on the right bank. Find a sequence of crossings that gets everything to the right bank from here."
memc-L5-medium-01__state_visible,"You are partway through a river-crossing puzzle. The boat carries the farmer and at most 4 items per crossing. The item1 and the item2 must not be left together without the farmer. The item1 and the item3 must not be left together without the farmer. The item1 and the item4 must not be left together without the farmer. The item1 and the item5 must not be left together without the farmer. Current situation -- Left bank: item5. Right bank: farmer, item1, item2, item3, item4. The boat is on the right bank. Find a sequence of crossings that gets everything to the right bank from here."
memc-L5-medium-02__state_visible,"You are partway through a river-crossing puzzle. The boat carries the farmer and at most 3 items per crossing. The item1 and the item2 must not be left together without the farmer. The item1 and the item3 must not be left together without the farmer. The item1 and the item4 must not be left together without the farmer. The item1 and the item5 must not be left together without the farmer. Current situation -- Left bank: item5. Right bank: farmer, item1, item2, item3, item4. The boat is on the right bank. Find a sequence of crossings that gets everything to the right bank from here."
memc-L5-high-01__state_visible,"You are partway through a river-crossing puzzle. The boat carries the farmer and at most 4 items per crossing. The item1 and the item2 must not be left together without the farmer. The item1 and the item3 must not be left together without the farmer. The item1 and the item4 must not be left together without the farmer. The item1 and the item5 must not be left together without the farmer. Current situation -- Left bank: item5. Right bank: farmer, item1, item2, item3, item4. The boat is on the right bank. Find a sequence of crossings that gets everything to the right bank from here."
memc-L5-high-02__state_visible,"You are partway through a river-crossing puzzle. The boat carries the farmer and at most 4 items per crossing. The item1 and the item2 must not be left together without the farmer. The item1 and the item5 must not be left together without the farmer. The item2 and the item3 must not be left together without the farmer. The item3 and the item4 must not be left together without the farmer. The item4 and the item5 must not be left together without the farmer. Current situation -- Left bank: item5. Right bank: farmer, item1, item2, item3, item4. The boat is on the right bank. Find a sequence of crossings that gets everything to the right bank from here."
