custom_id,instance,length,d_phi,cost_to_go_start,cost_to_go_end,min_phi_dip,n_optimal,n_lateral,n_backward,n_recovering,n_fatal,n_illegal,reaches_goal
chain-3-boat-1#seg0-1,chain-3-boat-1,1,1,7,6,0,1,0,0,0,0,1,False
chain-3-boat-1#seg1-2,chain-3-boat-1,1,1,6,5,0,1,0,0,0,0,0,False
chain-3-boat-1#seg2-3,chain-3-boat-1,1,1,5,4,0,1,0,0,0,0,0,False
chain-3-boat-1#seg3-4,chain-3-boat-1,1,1,4,3,0,1,0,0,0,0,1,False
chain-3-boat-1#seg4-5,chain-3-boat-1,1,1,3,2,0,1,0,0,0,0,0,False
chain-3-boat-1#seg5-6,chain-3-boat-1,1,1,2,1,0,1,0,0,0,0,0,False
chain-3-boat-1#seg6-7,chain-3-boat-1,1,1,1,0,0,1,0,0,0,0,0,True
chain-5-boat-2#seg0-1,chain-5-boat-2,1,1,7,6,0,1,0,0,0,0,6,False
chain-5-boat-2#seg1-2,chain-5-boat-2,1,1,6,5,0,1,0,0,0,0,0,False
chain-5-boat-2#seg2-3,chain-5-boat-2,1,1,5,4,0,1,0,0,0,0,0,False
chain-5-boat-2#seg3-4,chain-5-boat-2,1,1,4,3,0,1,0,0,0,0,1,False
chain-5-boat-2#seg4-5,chain-5-boat-2,1,1,3,2,0,1,0,0,0,0,0,False
chain-5-boat-2#seg5-11,chain-5-boat-2,6,-2,2,4,3,2,0,4,0,0,5,True
complete-4-boat-3#seg0-1,complete-4-boat-3,1,1,3,2,0,1,0,0,0,0,1,False
complete-4-boat-3#seg1-2,complete-4-boat-3,1,1,2,1,0,1,0,0,0,0,0,False
complete-4-boat-3#seg2-9,complete-4-boat-3,7,1,1,0,1,4,0,3,0,0,0,True
cycle-4-boat-2#seg0-1,cycle-4-boat-2,1,1,3,2,0,1,0,0,0,0,0,False
cycle-4-boat-2#seg1-4,cycle-4-boat-2,3,1,2,1,1,2,0,1,0,0,1,False
cycle-4-boat-2#seg4-5,cycle-4-boat-2,1,1,1,0,0,1,0,0,0,0,0,True
star-4-boat-2#seg0-1,star-4-boat-2,1,1,5,4,0,1,0,0,0,0,0,False
star-4-boat-2#seg1-2,star-4-boat-2,1,1,4,3,0,1,0,0,0,0,1,False
star-4-boat-2#seg2-3,star-4-boat-2,1,1,3,2,0,1,0,0,0,0,0,False
star-4-boat-2#seg3-4,star-4-boat-2,1,1,2,1,0,1,0,0,0,0,0,False
star-4-boat-2#seg4-5,star-4-boat-2,1,1,1,0,0,1,0,0,0,0,0,True
missionaries-cannibals-3#seg0-1,missionaries-cannibals-3,1,1,11,10,0,1,0,0,0,0,0,False
missionaries-cannibals-3#seg1-2,missionaries-cannibals-3,1,1,10,9,0,1,0,0,0,0,0,False
missionaries-cannibals-3#seg2-3,missionaries-cannibals-3,1,1,9,8,0,1,0,0,0,0,1,False
missionaries-cannibals-3#seg3-4,missionaries-cannibals-3,1,1,8,7,0,1,0,0,0,0,0,False
missionaries-cannibals-3#seg4-5,missionaries-cannibals-3,1,1,7,6,0,1,0,0,0,0,0,False
missionaries-cannibals-3#seg5-6,missionaries-cannibals-3,1,1,6,5,0,1,0,0,0,0,0,False
missionaries-cannibals-3#seg6-7,missionaries-cannibals-3,1,1,5,4,0,1,0,0,0,0,1,False
missionaries-cannibals-3#seg7-8,missionaries-cannibals-3,1,1,4,3,0,1,0,0,0,0,0,False
missionaries-cannibals-3#seg8-9,missionaries-cannibals-3,1,1,3,2,0,1,0,0,0,0,0,False
missionaries-cannibals-3#seg9-10,missionaries-cannibals-3,1,1,2,1,0,1,0,0,0,0,0,False
missionaries-cannibals-3#seg10-11,missionaries-cannibals-3,1,1,1,0,0,1,0,0,0,0,0,True
