custom_id,level,reason
memw-L7-nrev-01__history_only,2,Track item2 and item4 moved right
memw-L7-nrev-02__history_only,2,Track items 2
memw-L7-rev-01__history_only,3,Item2 crosses back-and-forth multiple times; must remember final location.
memw-L7-rev-02__history_only,3,Item1 repeatedly reverses sides; maintain correct final side after toggles.
memw-L3-low-01__history_only,1,Only item2 moved once; simple one-way update to recall.
memw-L3-low-02__history_only,1,Only item1 moved once; single straightforward update.
memw-L3-medium-01__history_only,2,Track two crossings moving items 2
memw-L3-medium-02__history_only,2,Items 1
memw-L3-high-01__history_only,3,Group 2–5 moved right
memw-L3-high-02__history_only,3,C2–C4 shuttled right
memw-L7-low-01__history_only,1,Only item2 moved once; many farmer-only crossings irrelevant.
memw-L7-low-02__history_only,2,Items 2 then 1 moved one-way; simple multi-item tracking.
memw-L7-medium-01__history_only,4,Items 2 and 3 reversed; item1 moved; disentangle multiple toggles.
memw-L7-medium-02__history_only,4,Items 1 and 2 repeatedly reversed; overlapping subsets cause interference.
memw-L7-high-01__history_only,4,Many items moved in varying groups with several reversals to track.
memw-L7-high-02__history_only,4,Multiple M/C subsets cross back and forth; extensive reversals tracking required.
memw-L10-low-01__history_only,1,Only item2 moved once; numerous farmer-only moves add minimal memory.
memw-L10-low-02__history_only,3,Item2 reversed after earlier move; item3 moved; remember final sides.
memw-L10-medium-01__history_only,4,Items 1–3 move in changing pairs; many reversals and interference.
memw-L10-medium-02__history_only,4,Four items shuffled across in varied pairs; repeated reversals to track.
memw-L10-high-01__history_only,4,Large groups repeatedly reversed with overlapping subsets; heavy state-updating.
memw-L10-high-02__history_only,4,Complex multi-item group changes with several reversals and subset interference.
