dim,item_id,judge,assigned
PLp,D01,haiku,0
PLp,D02,haiku,1
PLp,D03,haiku,0
PLp,D04,haiku,1
PLp,D05,haiku,1
PLp,D06,haiku,2
PLp,D07,haiku,1
PLp,D08,haiku,3
PLp,D09,haiku,1
PLp,D10,haiku,3
PLp,E01,haiku,0
PLp,E02,haiku,0
PLp,E03,haiku,0
PLp,E04,haiku,0
PLp,L01,haiku,0
PLp,L02,haiku,0
PLp,L03,haiku,0
PLp,L04,haiku,0
PLp,M01,haiku,4
PLp,M02,haiku,4
PLp,M03,haiku,4
PLp,M04,haiku,4
PLp,P01,haiku,3
PLp,P02,haiku,3
PLp,P03,haiku,5
PLp,P04,haiku,3
PLp,S01,haiku,2
PLp,S02,haiku,1
PLp,S03,haiku,1
PLp,S04,haiku,3
PLp,X01,haiku,4
PLp,X02,haiku,4
PLp,X03,haiku,4
PLp,X04,haiku,4
PLp,X05,haiku,4
PLp,X06,haiku,4
PLp,D01,sonnet,0
PLp,D02,sonnet,2
PLp,D03,sonnet,0
PLp,D04,sonnet,1
PLp,D05,sonnet,1
PLp,D06,sonnet,2
PLp,D07,sonnet,1
PLp,D08,sonnet,3
PLp,D09,sonnet,1
PLp,D10,sonnet,2
PLp,E01,sonnet,0
PLp,E02,sonnet,0
PLp,E03,sonnet,0
PLp,E04,sonnet,0
PLp,L01,sonnet,0
PLp,L02,sonnet,0
PLp,L03,sonnet,0
PLp,L04,sonnet,0
PLp,M01,sonnet,2
PLp,M02,sonnet,3
PLp,M03,sonnet,2
PLp,M04,sonnet,3
PLp,P01,sonnet,3
PLp,P02,sonnet,3
PLp,P03,sonnet,4
PLp,P04,sonnet,3
PLp,S01,sonnet,1
PLp,S02,sonnet,1
PLp,S03,sonnet,1
PLp,S04,sonnet,2
PLp,X01,sonnet,4
PLp,X02,sonnet,4
PLp,X03,sonnet,4
PLp,X04,sonnet,2
PLp,X05,sonnet,3
PLp,X06,sonnet,4
PLp,D01,opus,0
PLp,D02,opus,2
PLp,D03,opus,1
PLp,D04,opus,1
PLp,D05,opus,1
PLp,D06,opus,2
PLp,D07,opus,1
PLp,D08,opus,3
PLp,D09,opus,1
PLp,D10,opus,2
PLp,E01,opus,0
PLp,E02,opus,0
PLp,E03,opus,0
PLp,E04,opus,0
PLp,L01,opus,1
PLp,L02,opus,0
PLp,L03,opus,0
PLp,L04,opus,0
PLp,M01,opus,2
PLp,M02,opus,3
PLp,M03,opus,2
PLp,M04,opus,2
PLp,P01,opus,3
PLp,P02,opus,3
PLp,P03,opus,4
PLp,P04,opus,3
PLp,S01,opus,1
PLp,S02,opus,1
PLp,S03,opus,1
PLp,S04,opus,2
PLp,X01,opus,4
PLp,X02,opus,3
PLp,X03,opus,4
PLp,X04,opus,3
PLp,X05,opus,3
PLp,X06,opus,3
PLe,D01,haiku,2
PLe,D02,haiku,0
