pair_id,underlying_state_id,contrast_level,custom_id_state_visible,custom_id_history_only,puzzle_id,step_idx,trace_idx,true_left,true_right,true_boat,cost_to_go,history_length,boat_side_updates,object_location_updates,num_unique_objects_moved,num_reversals,interference_count,object_complexity,num_object_moves,num_location_updates,num_repeated_moves
memc-L3-low-01,memc-L3-low-01,low,memc-L3-low-01__state_visible,memc-L3-low-01__history_only,chain-3-boat-2,3,1,item1;item3,farmer;item2,right,2,3,3,1,1,0,0,1,1,7,2
memc-L3-low-02,memc-L3-low-02,low,memc-L3-low-02__state_visible,memc-L3-low-02__history_only,chain-3-boat-3,3,2,item1;item3,farmer;item2,right,2,3,3,1,1,0,0,1,1,7,2
memc-L3-medium-01,memc-L3-medium-01,medium,memc-L3-medium-01__state_visible,memc-L3-medium-01__history_only,star-5-boat-4,3,1,item5,farmer;item1;item2;item3;item4,right,2,3,3,4,4,0,0,4,4,10,2
memc-L3-medium-02,memc-L3-medium-02,medium,memc-L3-medium-02__state_visible,memc-L3-medium-02__history_only,star-5-boat-3,3,2,item5,farmer;item1;item2;item3;item4,right,2,3,3,4,4,0,0,4,4,10,2
memc-L3-high-01,memc-L3-high-01,high,memc-L3-high-01__state_visible,memc-L3-high-01__history_only,star-5-boat-4,3,1,item5,farmer;item1;item2;item3;item4,right,2,3,3,12,4,8,4,24,12,18,10
memc-L3-high-02,memc-L3-high-02,high,memc-L3-high-02__state_visible,memc-L3-high-02__history_only,cycle-5-boat-4,3,2,item5,farmer;item1;item2;item3;item4,right,2,3,3,12,4,8,4,24,12,18,10
memc-L4-low-01,memc-L4-low-01,low,memc-L4-low-01__state_visible,memc-L4-low-01__history_only,chain-3-boat-2,4,1,farmer;item1;item3,item2,left,1,4,4,1,1,0,0,1,1,9,3
memc-L4-low-02,memc-L4-low-02,low,memc-L4-low-02__state_visible,memc-L4-low-02__history_only,chain-3-boat-3,4,2,farmer;item1;item3,item2,left,1,4,4,1,1,0,0,1,1,9,3
memc-L4-medium-01,memc-L4-medium-01,medium,memc-L4-medium-01__state_visible,memc-L4-medium-01__history_only,star-5-boat-4,4,1,farmer;item1,item2;item3;item4;item5,left,1,4,4,4,4,0,0,4,4,12,3
memc-L4-medium-02,memc-L4-medium-02,medium,memc-L4-medium-02__state_visible,memc-L4-medium-02__history_only,star-4-boat-4,4,2,farmer;item1,item2;item3;item4,left,1,4,4,3,3,0,0,3,3,11,3
memc-L4-high-01,memc-L4-high-01,high,memc-L4-high-01__state_visible,memc-L4-high-01__history_only,star-4-boat-4,4,1,farmer;item1;item2;item3;item4,nothing,left,1,4,4,16,4,12,4,32,16,24,15
memc-L4-high-02,memc-L4-high-02,high,memc-L4-high-02__state_visible,memc-L4-high-02__history_only,cycle-4-boat-4,4,2,farmer;item1;item2;item3;item4,nothing,left,1,4,4,16,4,12,4,32,16,24,15
memc-L5-low-01,memc-L5-low-01,low,memc-L5-low-01__state_visible,memc-L5-low-01__history_only,chain-3-boat-2,5,1,item1;item3,farmer;item2,right,2,5,5,1,1,0,0,1,1,11,4
memc-L5-low-02,memc-L5-low-02,low,memc-L5-low-02__state_visible,memc-L5-low-02__history_only,chain-3-boat-3,5,2,item1;item3,farmer;item2,right,2,5,5,1,1,0,0,1,1,11,4
memc-L5-medium-01,memc-L5-medium-01,medium,memc-L5-medium-01__state_visible,memc-L5-medium-01__history_only,star-5-boat-4,5,1,item5,farmer;item1;item2;item3;item4,right,2,5,5,4,4,0,0,4,4,14,4
memc-L5-medium-02,memc-L5-medium-02,medium,memc-L5-medium-02__state_visible,memc-L5-medium-02__history_only,star-5-boat-3,5,2,item5,farmer;item1;item2;item3;item4,right,2,5,5,4,4,0,0,4,4,14,4
memc-L5-high-01,memc-L5-high-01,high,memc-L5-high-01__state_visible,memc-L5-high-01__history_only,star-5-boat-4,5,1,item5,farmer;item1;item2;item3;item4,right,2,5,5,20,4,16,4,40,20,30,20
memc-L5-high-02,memc-L5-high-02,high,memc-L5-high-02__state_visible,memc-L5-high-02__history_only,cycle-5-boat-4,5,2,item5,farmer;item1;item2;item3;item4,right,2,5,5,20,4,16,4,40,20,30,20
