```csv
custom_id,level,reason
memw-L7-nrev-01__history_only,2,"Two batches of items moved right one-way, no reversal"
memw-L7-nrev-02__history_only,2,"Three items moved right in one batch, one-way, no reversal"
memw-L7-rev-01__history_only,3,"Single item repeatedly moved back and forth, tracking reversals needed"
memw-L7-rev-02__history_only,3,"Item1 toggled across bank multiple times, requiring reversal tracking"
memw-L3-low-01__history_only,1,"Single item crossed once, no reversal, simple location update"
memw-L3-low-02__history_only,1,"Single item crossed once, no reversal, minimal tracking needed"
memw-L3-medium-01__history_only,2,"Four items moved right one-way across two batches, no reversal"
memw-L3-medium-02__history_only,2,"Four items moved right one-way across two batches, no reversal"
memw-L3-high-01__history_only,4,"Four items moved right, reversed back, then moved right again"
memw-L3-high-02__history_only,3,"Three items moved right, reversed back, then moved right again"
memw-L7-low-01__history_only,1,"Single item moved once, no reversal, trivial location tracking"
memw-L7-low-02__history_only,2,"Two items each moved once, one-way, no reversal needed"
memw-L7-medium-01__history_only,4,"Multiple items, item2 toggled many times, needs reversal disentangling"
memw-L7-medium-02__history_only,4,"Item1 and item2 both toggled repeatedly, needing reversal tracking"
memw-L7-high-01__history_only,4,"Five items with many location toggles and interleaved reversals"
memw-L7-high-02__history_only,4,"Multiple animals repeatedly reversed across banks, needing careful disentangling"
memw-L10-low-01__history_only,1,"Single item moved once, rest is shuttling with no changes"
memw-L10-low-02__history_only,3,"Item2 reversed once late, item3 moved one-way, needs disentangling"
memw-L10-medium-01__history_only,4,"Three items repeatedly reversed across ten moves, heavy toggling"
memw-L10-medium-02__history_only,4,"Four items repeatedly reversed across ten moves, needs disentangling"
memw-L10-high-01__history_only,5,"Five items toggled many times across ten moves, extreme entanglement"
memw-L10-high-02__history_only,5,"Five items toggled many times across ten moves, extreme entanglement"
```
