custom_id,level
opus41:django__django-11999#cp25,3
opus41:django__django-11999#cp50,3
opus41:django__django-11999#cp75,2
opus41:django__django-11951#cp25,3
opus41:django__django-11951#cp50,2
opus41:django__django-11951#cp75,2
opus41:django__django-12193#cp25,3
opus41:django__django-12193#cp50,3
opus41:django__django-12193#cp75,2
opus41:sphinx-doc__sphinx-9367#cp25,3
opus41:sphinx-doc__sphinx-9367#cp50,3
opus41:sphinx-doc__sphinx-9367#cp75,2
opus41:sphinx-doc__sphinx-8056#cp25,3
opus41:sphinx-doc__sphinx-8056#cp50,3
opus41:sphinx-doc__sphinx-8056#cp75,3
opus41:sphinx-doc__sphinx-7748#cp25,3
opus41:sphinx-doc__sphinx-7748#cp50,3
opus41:sphinx-doc__sphinx-7748#cp75,3
