task,dim,judge,level,prereg
swe-0090,PLp,haiku,2,2
swe-0090,PLp,sonnet,3,2
swe-0090,PLp,opus,2,2
swe-0090,PLe,haiku,3,2
swe-0090,PLe,sonnet,2,2
swe-0090,PLe,opus,2,2
swe-0090,PLs,haiku,3,2
swe-0090,PLs,sonnet,3,2
swe-0090,PLs,opus,2,2
swe-0090,MSc,sonnet,0,0
tau-0089,PLp,haiku,2,2
tau-0089,PLp,sonnet,2,2
tau-0089,PLp,opus,2,2
tau-0089,PLe,haiku,2,2
tau-0089,PLe,sonnet,1,2
tau-0089,PLe,opus,1,2
tau-0089,PLs,haiku,2,2
tau-0089,PLs,sonnet,2,2
tau-0089,PLs,opus,2,2
tau-0089,MSc,haiku,2,2
tau-0089,MSc,sonnet,2,2
ab-0011,PLp,haiku,1,1
ab-0011,PLp,sonnet,1,1
ab-0011,PLp,opus,1,1
ab-0011,PLe,haiku,2,1
ab-0011,PLe,sonnet,0,1
ab-0011,PLe,opus,2,1
ab-0011,PLs,haiku,2,2
ab-0011,PLs,opus,2,2
ab-0011,MSc,haiku,0,0
