item_id,task
E01,"Manually reconcile a year of a small business's ledger across twelve monthly statements, where a misposted entry in an early month silently unbalances every subsequent account until the final totals are compared. (Contrast the summary at the level below: there an error is fixed in place; here it forces rework of every month that followed.)."
E02,Transcribe a recorded lecture into text.
E03,Draft a brief email summarising the key points from a meeting after reading the notes.
E04,Summarise a long document and extract its main arguments. (A weak paragraph is fixed in place; nothing downstream depends on it.).
E05,"Fight a building fire that spreads unseen behind walls and ceilings, revealing itself only intermittently."
E06,"Execute a 200-step laboratory protocol exactly as written, in the given order. (The plan already exists; carrying it out is execution, not planning.)."
E07,Complete a long structured application form that validates each section on submission.
E08,"Diagnose an intermittent fault that appears and disappears under conditions that cannot be observed directly, such as a race condition."
E09,Finish a puzzle from a position in which only one legal continuation remains.
E10,"Assemble a flat-pack wardrobe, where nothing reveals whether a stage was done right until a whole sub-assembly is stood up and either fits together or does not."
E11,"Monitor a staged software rollout across services, where dashboards show each service's changing state."
E12,"What year did Darwin publish ""The Origin of Species"": 1856, 1859, 1865 or 1866?."
E13,"Navigate to an address following turn-by-turn directions, where any wrong turn is immediately flagged and rerouted."
E14,Work out why a houseplant is dying from its appearance and conditions.
E15,Chair the closing night of a treaty negotiation where three delegations have stated public red lines that cannot all be honoured.
E16,Find the winning line in a given chess position and write it down. (All the difficulty is in finding the plan; carrying it out is a single act of transcription.).
E17,"Debug why a program you did not write crashes: the whole source is there to read, but no line of it announces the fault — only its symptoms are visible, and experiments must be devised to expose it. (Tracing a fault back through work the solver produced itself is not situational understanding, however long it stayed unnoticed.)."
E18,Talk a co-founder out of a launch date they have staked their reputation on and still believe in.
E19,Look up a single fact with one search-engine query.
E20,"Look up a customer's account, orders and reservations across several systems before making a change."
E21,"Persuade a landlord to release you from a lease six months early, when they have no reason to agree and would rather keep collecting the rent."
E22,"Plan a multi-year research programme against an unsolved scientific problem — which sub-questions to pose, which to abandon — where whole lines of attack die only once explored."
E23,Measure the floor of a room with a tape before ordering a carpet for it.
E24,"Settle a dispute between two flatmates over the cleaning rota, where each arrived wanting a different split and both will accept whatever they come to see as fair."
E25,"Devise a synthesis route for a complex, previously unsynthesised natural product, where almost every sequence of reactions fails."
E26,Check a museum's opening hours before planning a visit.
E27,"Tell a colleague that the section they wrote for a shared report has to be rewritten before submission, when they are proud of it but will hear you out."
E28,"Solve a contest programming problem for which no standard technique applies: the key idea must be found first, and most approaches that look promising fail only once they are worked through."
E29,Find the winning plan in a chess position shown on the board. (Nothing is hidden; the demand is Planning.).
E30,"Interview a job candidate about a project on their CV, following up on what they actually say rather than reading out fixed questions."
E31,"Solve a contest programming problem in which several standard techniques could apply and the data structure settled on early decides whether the later queries can be answered in time, so the options must be compared before committing."
E32,"Conduct an archaeological excavation, where each removal destroys context that can never be re-examined."
E33,"Write a newspaper column arguing for a national carbon tax. (However hard the argument is to make, it is composed and sent with no exchange to steer: choosing the words is Verbal Expression, judging what the readership already believes is Mind Modelling (MSm).)."
E34,"Plan a multi-city international trip where flight dates, visa processing times and bookings constrain one another. (Contrast the day-trip at the level below, whose choices are independent.)."
E35,"Migrate a live production database without a rollback mechanism, where a wrong step corrupts data irrecoverably."
E36,Ask a librarian which shelf holds a book you can name.
