item_id,task
N01,"Write a grant proposal in which the budget must match the workplan, the workplan must match the stated aims, and a change to any one forces changes to the others."
N02,"Design the plan for replicating a machine-learning paper that omits key hyperparameters and preprocessing details: what to implement, in what order, and which checks would distinguish a bug from a setup difference."
N03,Devise the experimental plan to test a novel biological hypothesis for which no established assay exists.
N04,Solve a contest programming problem whose intended solution is a single standard technique that applies directly once the problem type is recognised.
N05,"Play out a 40-move chess endgame against an opponent, making each move in turn as the position develops."
N06,Assemble a flat-pack desk in which every individual screw visibly seats or fails to seat as it is driven.
N07,"Over several meetings, draw out what a client actually needs from a new system and bring them to accept a smaller scope than they first asked for."
N08,"Settle a custody arrangement between two parents who each want the child living with them, and each of whom expects the other to exploit any concession."
N09,Buy a used car from a dealer who states a floor price and will end the conversation rather than go below it.
N10,Convert a spreadsheet of a thousand temperature readings from Celsius to Fahrenheit and produce a summary table of monthly means.
S01,"Push an irreversible firmware update to a fleet of devices already deployed in the field, where a bad image renders a device unrecoverable."
S02,"Keep a submarine's position fixed during a long dive using inertial sensors alone, with no external fix available."
S03,Which planet is closest to the Sun?
S04,"Monitor a chemical plant from its control room, where every process variable changes continuously and all of them are displayed on the panel."
S05,"Mediate a three-way dispute over a plot of land between a developer, a residents' association and the local council, whose demands cannot all be met and each of whom watches what the others are given."
S06,"Typeset a 400-page book by hand, where a style defined wrongly in an early chapter silently mis-formats every later chapter that uses it."
T01,"Given a chess position, work out the strongest continuation and state the single move you would play."
T02,"Write an opinion piece for a national newspaper arguing that the retirement age should be raised, and submit it to the editor."
T03,"Solve a sliding-block puzzle through an interface that refuses any move violating the rules, but where a permitted move can lead to a dead end from which the puzzle cannot be finished."
T04,"Carry out a 300-step cell-culture protocol exactly as written, in the order given, over three days."
T05,Complete a Sudoku grid printed in a newspaper.
T06,Send a written notification to a family informing them that a relative has died in an accident. There is no reply and no further contact.
T07,Prove a hard olympiad inequality and write out the finished proof.
T08,A program crashes intermittently. The complete source is available to read. Find the fault.
