custom_id,level,reason
chain-3-boat-1#s2,2,~5 remaining crossings; chain constraints require look-ahead; 10-20% paths valid
chain-3-boat-2#s1,1,2 crossings; farmer alone left then takes item2 right; few choices
chain-3-boat-3#s0,0,single forced crossing; farmer takes item2 right; success guaranteed
chain-3-boat-4#s0,0,single forced crossing; farmer takes item2 right; success guaranteed
chain-4-boat-2#s1,1,2 crossings; farmer alone left then takes item1+item3 right; near-forced
chain-4-boat-3#s1,1,2 crossings; farmer alone left then takes item1+item3 right; near-forced
chain-4-boat-4#s0,0,single forced crossing; farmer takes item1+item3 right immediately
chain-5-boat-2#s2,2,right bank has item2-item3 conflict; farmer can't leave; ~8 crossings needed
chain-5-boat-3#s1,1,2 crossings; farmer alone left then takes item2+item4 right; few choices
chain-5-boat-4#s1,1,2 crossings; farmer alone left then takes item2+item4 right; few choices
chain-6-boat-3#s1,1,2 crossings; alternating items safe together; farmer alone then returns all
chain-6-boat-4#s1,1,2 crossings; alternating items safe together; farmer alone then returns all
star-3-boat-1#s2,2,hub item1 conflicts with item3 on right; boat-1 forces multi-step shuttling
star-3-boat-2#s1,1,2 crossings; farmer alone left then takes item1 right; near-forced
star-3-boat-3#s0,0,single forced crossing; farmer takes item1 right; success guaranteed
star-3-boat-4#s0,0,single forced crossing; farmer takes item1 right; success guaranteed
star-4-boat-2#s2,1,4 crossings; isolated hub allows sequential non-hub ferry; few valid choices
star-4-boat-3#s1,1,2 crossings; farmer alone left then takes item1 right; near-forced
star-4-boat-4#s0,0,single forced crossing; farmer takes item1 right immediately
star-5-boat-2#s2,2,all right-bank items conflict via hub; most moves blocked; look-ahead needed
star-5-boat-3#s1,1,2 crossings; farmer alone left then takes item1 right; near-forced
star-5-boat-4#s1,1,2 crossings; farmer alone left then takes item1 right; near-forced
star-6-boat-2#s2,3,hub conflicts block all return paths; very sparse valid sequences; deep search
star-6-boat-3#s2,1,3 crossings; non-hub items safe together; near-forced sequence
star-6-boat-4#s1,1,2 crossings; farmer alone left then takes item1 right; near-forced
cycle-3-boat-2#s1,2,all-pairs conflict; farmer can't leave right without creating conflict pair
cycle-3-boat-3#s0,0,single forced crossing; farmer takes item1+item2 right; success guaranteed
cycle-3-boat-4#s0,0,single forced crossing; farmer takes item1+item2 right; success guaranteed
cycle-4-boat-2#s1,1,2 crossings; non-adjacent items safe; farmer alone then takes both
cycle-4-boat-3#s1,1,2 crossings; non-adjacent items safe; farmer alone then takes both
cycle-4-boat-4#s0,0,single forced crossing; farmer takes item1+item3 right immediately
cycle-5-boat-3#s1,3,right bank item1+item5 conflict; all return paths blocked; deep search required
cycle-5-boat-4#s1,2,item1+item5 conflict constrains all moves; look-ahead needed; sparse paths
cycle-6-boat-3#s1,1,2 crossings; odd and even items form independent sets; near-forced sequence
cycle-6-boat-4#s1,1,2 crossings; odd and even items form independent sets; near-forced sequence
complete-3-boat-2#s1,2,all-pairs conflict; boat-2 insufficient to clear bank safely; look-ahead needed
complete-3-boat-3#s0,0,single forced crossing; farmer takes both remaining items right
complete-3-boat-4#s0,0,single forced crossing; farmer takes both remaining items right
complete-4-boat-3#s1,3,all pairs conflict; any partial load on right creates conflict; very sparse paths
complete-4-boat-4#s0,0,single forced crossing; farmer takes all left-bank items right
complete-5-boat-4#s1,1,2 crossings; farmer shuttles hub to left then ferries all back right
missionaries-cannibals-3#s2,2,~9 remaining crossings; multiple sequencing constraints; moderate look-ahead
missionaries-cannibals-4#s2,2,~13 remaining crossings; 8-person variant; moderate look-ahead needed
