code	full_name	source	rel_path	source_doc_id	source_heading	version_date	sha256
PLp	Planning	ours	ours/PLp.txt	1xBrJVip8f-b3pLsE1xO1kijSbBvBRgGsUIRXlHDuerk	Planning	2025-07-26	1e7a0a2a1a5f26135c913fb5d50d4548df4326108b038b6b7af1e4d55279364c
PLe	Action control and execution	ours	ours/PLe.txt	1xBrJVip8f-b3pLsE1xO1kijSbBvBRgGsUIRXlHDuerk	Action control and execution	2025-07-26	7151f08e70bde74e9a708e4ba2215feab669eb289320f80fc8d582d3c6202302
MSe	Environmental and situational understanding	ours	ours/MSe.txt	1xBrJVip8f-b3pLsE1xO1kijSbBvBRgGsUIRXlHDuerk	Environmental and situational understanding	2025-07-26	e16dbf2232bd719a2c08a11f5b1595e0fc9f80f2bff1c354b5f15152f419f588
MSc	Communication and social interaction	ours	ours/MSc.txt	1xBrJVip8f-b3pLsE1xO1kijSbBvBRgGsUIRXlHDuerk	Communication and social interaction	2025-07-26	218296535a751cb2571f24323621d7a280327a9eb6ebe1123145d7c45591ba3a
ECc	Behavioral inhibition and self-control	ours	ours/ECc.txt	1xBrJVip8f-b3pLsE1xO1kijSbBvBRgGsUIRXlHDuerk	Behavioral inhibition and self-control	2025-07-26	c23246604fd27be0600404ae828eddfc86d1ddfae78155b0ec94a99c06b0f601
SNp	Dexterity	ours	ours/SNp.txt	1xBrJVip8f-b3pLsE1xO1kijSbBvBRgGsUIRXlHDuerk	Dexterity	2025-07-26	d1bb6d289c63a12690222443eed68af95ee0d907bd10fee569b59a078e0f3dd9
SNk	Kinesthetic processing and proprioception	ours	ours/SNk.txt	1xBrJVip8f-b3pLsE1xO1kijSbBvBRgGsUIRXlHDuerk	Kinesthetic processing and proprioception	2025-07-26	ccfc7f1e91c5ce1c3b92cd7195b386d8e96e6927f6610ae3cdc5378beca3d4f4
SPa	Auditory processing	ours	ours/SPa.txt	1xBrJVip8f-b3pLsE1xO1kijSbBvBRgGsUIRXlHDuerk	Auditory processing	2025-07-26	5f010bb149b474668db704625ae509a306b8ec7df755919cf3b9b782965df8be
SPv	Visual processing	ours	ours/SPv.txt	1xBrJVip8f-b3pLsE1xO1kijSbBvBRgGsUIRXlHDuerk	Visual processing	2025-07-26	04ffe802b462d56d773eb37a15df5bc3d5b58143a0f335035983a0dbf129d551
MMe	Episodic memory	theirs	theirs/MMe.txt	1tyaEcWqyn8N5TDbgNYnsC7ZiLTtynHCGoNps8Ag_8y0	Episodic Memory	unknown	b17047c75eba6995bc7d98376fefa5a61dbd1c5c08faacb56e5336f5a2c88e21
MMp	Long-term procedural memory	theirs	theirs/MMp.txt	1tyaEcWqyn8N5TDbgNYnsC7ZiLTtynHCGoNps8Ag_8y0	Procedural Memory	unknown	c2ce8586405f093b5249e90c5048cc2d07143ccd1c05673bc7d51717c5ddc25b
MMs	Working and short-term memory	theirs	theirs/MMs.txt	1tyaEcWqyn8N5TDbgNYnsC7ZiLTtynHCGoNps8Ag_8y0	Working Memory	unknown	0e7a57f913af321646e47bbc2dd5143aa6b571a477b46e616636e6d4e3f21673
