custom_id,instance,dist_to_goal
chain-3-boat-1#s2,chain-3-boat-1,4
chain-3-boat-2#s1,chain-3-boat-2,2
chain-3-boat-3#s0,chain-3-boat-3,1
chain-3-boat-4#s0,chain-3-boat-4,1
chain-4-boat-2#s1,chain-4-boat-2,2
chain-4-boat-3#s1,chain-4-boat-3,2
chain-4-boat-4#s0,chain-4-boat-4,1
chain-5-boat-2#s2,chain-5-boat-2,4
chain-5-boat-3#s1,chain-5-boat-3,2
chain-5-boat-4#s1,chain-5-boat-4,2
chain-6-boat-3#s1,chain-6-boat-3,2
chain-6-boat-4#s1,chain-6-boat-4,2
star-3-boat-1#s2,star-3-boat-1,4
star-3-boat-2#s1,star-3-boat-2,2
star-3-boat-3#s0,star-3-boat-3,1
star-3-boat-4#s0,star-3-boat-4,1
star-4-boat-2#s2,star-4-boat-2,3
star-4-boat-3#s1,star-4-boat-3,2
star-4-boat-4#s0,star-4-boat-4,1
star-5-boat-2#s2,star-5-boat-2,4
star-5-boat-3#s1,star-5-boat-3,2
star-5-boat-4#s1,star-5-boat-4,2
star-6-boat-2#s2,star-6-boat-2,5
star-6-boat-3#s2,star-6-boat-3,3
star-6-boat-4#s1,star-6-boat-4,2
cycle-3-boat-2#s1,cycle-3-boat-2,2
cycle-3-boat-3#s0,cycle-3-boat-3,1
cycle-3-boat-4#s0,cycle-3-boat-4,1
cycle-4-boat-2#s1,cycle-4-boat-2,2
cycle-4-boat-3#s1,cycle-4-boat-3,2
cycle-4-boat-4#s0,cycle-4-boat-4,1
cycle-5-boat-3#s1,cycle-5-boat-3,2
cycle-5-boat-4#s1,cycle-5-boat-4,2
cycle-6-boat-3#s1,cycle-6-boat-3,2
cycle-6-boat-4#s1,cycle-6-boat-4,2
complete-3-boat-2#s1,complete-3-boat-2,2
complete-3-boat-3#s0,complete-3-boat-3,1
complete-3-boat-4#s0,complete-3-boat-4,1
complete-4-boat-3#s1,complete-4-boat-3,2
complete-4-boat-4#s0,complete-4-boat-4,1
complete-5-boat-4#s1,complete-5-boat-4,2
missionaries-cannibals-3#s2,missionaries-cannibals-3,7
missionaries-cannibals-4#s2,missionaries-cannibals-4,5
