dim,item_id,true_level,judge,assigned,example
SPv,SPv-01,2,haiku,2,Reading moderately clear handwriting or text with slight glare.
SPv,SPv-01,2,sonnet,2,Reading moderately clear handwriting or text with slight glare.
SPv,SPv-01,2,opus,2,Reading moderately clear handwriting or text with slight glare.
SPv,SPv-02,5,haiku,3,Identifying well-camouflaged animals in dense vegetation and poor light.
SPv,SPv-02,5,sonnet,4,Identifying well-camouflaged animals in dense vegetation and poor light.
SPv,SPv-02,5,opus,5,Identifying well-camouflaged animals in dense vegetation and poor light.
SPv,SPv-03,3,haiku,3,Driving in foggy conditions.
SPv,SPv-03,3,sonnet,3,Driving in foggy conditions.
SPv,SPv-03,3,opus,3,Driving in foggy conditions.
SPv,SPv-04,2,haiku,1,Classifying cats and dogs in images.
SPv,SPv-04,2,sonnet,1,Classifying cats and dogs in images.
SPv,SPv-04,2,opus,1,Classifying cats and dogs in images.
SPv,SPv-05,2,haiku,2,Tracking 2–3 people simultaneously in an open area.
SPv,SPv-05,2,sonnet,3,Tracking 2–3 people simultaneously in an open area.
SPv,SPv-05,2,opus,2,Tracking 2–3 people simultaneously in an open area.
SPv,SPv-06,5,haiku,4,"Real-time visual parsing of rapidly changing medical imaging (e.g., interpreting live ultrasound during an emergency procedure)."
SPv,SPv-06,5,sonnet,5,"Real-time visual parsing of rapidly changing medical imaging (e.g., interpreting live ultrasound during an emergency procedure)."
SPv,SPv-06,5,opus,5,"Real-time visual parsing of rapidly changing medical imaging (e.g., interpreting live ultrasound during an emergency procedure)."
SPv,SPv-07,1,haiku,1,"Identifying a familiar object (coffee cup, phone) isolated on a clear surface."
SPv,SPv-07,1,sonnet,1,"Identifying a familiar object (coffee cup, phone) isolated on a clear surface."
SPv,SPv-07,1,opus,1,"Identifying a familiar object (coffee cup, phone) isolated on a clear surface."
SPv,SPv-08,5,haiku,4,Air-traffic controller visually tracking aircraft in poor weather with radar interference.
SPv,SPv-08,5,sonnet,5,Air-traffic controller visually tracking aircraft in poor weather with radar interference.
SPv,SPv-08,5,opus,4,Air-traffic controller visually tracking aircraft in poor weather with radar interference.
SPv,SPv-09,4,haiku,3,Reading fragmented text across multiple torn document pieces while determining which fragments connect.
SPv,SPv-09,4,sonnet,3,Reading fragmented text across multiple torn document pieces while determining which fragments connect.
SPv,SPv-09,4,opus,3,Reading fragmented text across multiple torn document pieces while determining which fragments connect.
SPv,SPv-10,1,haiku,1,Following a single person walking across an open space.
SPv,SPv-10,1,sonnet,2,Following a single person walking across an open space.
SPv,SPv-10,1,opus,1,Following a single person walking across an open space.
SPv,SPv-11,3,haiku,4,Following a basketball during gameplay among 5–6 players.
SPv,SPv-11,3,sonnet,4,Following a basketball during gameplay among 5–6 players.
SPv,SPv-11,3,opus,3,Following a basketball during gameplay among 5–6 players.
SPv,SPv-12,2,haiku,2,"Finding a specific item in a moderately cluttered drawer (e.g., locating keys among 10–15 objects)."
SPv,SPv-12,2,sonnet,2,"Finding a specific item in a moderately cluttered drawer (e.g., locating keys among 10–15 objects)."
SPv,SPv-12,2,opus,2,"Finding a specific item in a moderately cluttered drawer (e.g., locating keys among 10–15 objects)."
SPv,SPv-13,3,haiku,3,Spotting a camouflaged object (an animal blending with its background).
SPv,SPv-13,3,sonnet,2,Spotting a camouflaged object (an animal blending with its background).
SPv,SPv-13,3,opus,3,Spotting a camouflaged object (an animal blending with its background).
SPv,SPv-14,1,haiku,1,"Recognising a face in a well-lit, frontal photograph."
SPv,SPv-14,1,sonnet,1,"Recognising a face in a well-lit, frontal photograph."
SPv,SPv-14,1,opus,1,"Recognising a face in a well-lit, frontal photograph."
SPv,SPv-15,4,haiku,4,"Reading severely degraded text (water-damaged documents, extreme low light)."
SPv,SPv-15,4,sonnet,4,"Reading severely degraded text (water-damaged documents, extreme low light)."
SPv,SPv-15,4,opus,5,"Reading severely degraded text (water-damaged documents, extreme low light)."
SPv,SPv-16,1,haiku,1,Reading printed text in good lighting (even with slight glare).
SPv,SPv-16,1,sonnet,1,Reading printed text in good lighting (even with slight glare).
SPv,SPv-16,1,opus,1,Reading printed text in good lighting (even with slight glare).
SPv,SPv-17,4,haiku,5,"Resolving extreme binding ambiguity in chaotic scenes (e.g., individual body configurations in a dense rugby scrum)."
SPv,SPv-17,4,sonnet,5,"Resolving extreme binding ambiguity in chaotic scenes (e.g., individual body configurations in a dense rugby scrum)."
SPv,SPv-17,4,opus,5,"Resolving extreme binding ambiguity in chaotic scenes (e.g., individual body configurations in a dense rugby scrum)."
SPv,SPv-18,5,haiku,4,Processing highly degraded thermal or night-vision imagery to identify specific targets.
SPv,SPv-18,5,sonnet,4,Processing highly degraded thermal or night-vision imagery to identify specific targets.
SPv,SPv-18,5,opus,4,Processing highly degraded thermal or night-vision imagery to identify specific targets.
SPv,SPv-19,3,haiku,3,Identifying subtle pneumonia infiltrates in chest X-rays by distinguishing them from overlapping vascular structures.
SPv,SPv-19,3,sonnet,3,Identifying subtle pneumonia infiltrates in chest X-rays by distinguishing them from overlapping vascular structures.
SPv,SPv-19,3,opus,3,Identifying subtle pneumonia infiltrates in chest X-rays by distinguishing them from overlapping vascular structures.
