ex_id,dim,level,task
PLp-L0-00,PLp,0,"What year did Darwin publish ""The Origin of Species"": 1856, 1859, 1865 or 1866?."
PLp-L0-01,PLp,0,Convert a temperature from Celsius to Fahrenheit. (A single computation; there is nothing to sequence or decide.).
PLp-L0-02,PLp,0,Finish a puzzle from a position in which only one legal continuation remains.
PLp-L0-03,PLp,0,"Implement accurate real-time translation of a conversation between English and Spanish. (Hard, but the difficulty is linguistic; no plan needs to be found.)."
PLp-L0-04,PLp,0,"Execute a 200-step laboratory protocol exactly as written, in the given order. (The plan already exists; carrying it out is execution, not planning.)."
PLp-L1-00,PLp,1,Answer a customer's question by finding the relevant section of the product manual and writing the reply. (One familiar routine runs from question to answer; the task is not divided into stages.).
PLp-L1-01,PLp,1,Draft a brief email summarising the key points from a meeting after reading the notes.
PLp-L1-02,PLp,1,"Write a covering letter for a job application, given the advertisement and the CV it responds to. (One well-established routine covers it end to end; nothing has to be divided into subtasks.)."
PLp-L2-00,PLp,2,"Plan a day-trip itinerary given preferences (museums, restaurants, location); identify opening hours and schedule visits."
PLp-L2-01,PLp,2,"Build a personal webpage using a template: choose a template, customise the layout, and deploy the site."
PLp-L2-02,PLp,2,"Plan a small data analysis: download the dataset, clean it, run a statistical analysis and produce a chart — a standard pipeline whose stages do not constrain each other."
PLp-L3-00,PLp,3,"Plan a multi-city international trip where flight dates, visa processing times and bookings constrain one another. (Contrast the day-trip at the level below, whose choices are independent.)."
PLp-L3-01,PLp,3,"Find a strong plan in a club-level chess middlegame, where a natural-looking move can fail to a consequence several moves deep. (Nothing is hidden, and the opponent's replies are explored as branches of the same search rather than by modelling a mind.)."
PLp-L3-02,PLp,3,"Solve a contest programming problem in which several standard techniques could apply and the data structure settled on early decides whether the later queries can be answered in time, so the options must be compared before committing."
PLp-L4-00,PLp,4,"Design the plan for replicating a machine-learning paper that omits key details: what to implement, in what order, and which checks would show whether a discrepancy is a bug or a difference in setup."
