custom_id,judge,dim,old,new
o3mini:django__django-11999#cp50,haiku,PLp,1,0
o3mini:django__django-11999#cp50,haiku,PLe,2,4
o3mini:django__django-11999#cp50,sonnet,PLp,1,0
o3mini:django__django-11999#cp50,sonnet,PLe,2,0
o3mini:django__django-11999#cp50,opus,PLp,1,2
o3mini:django__django-11999#cp50,opus,PLe,2,1
o3mini:sphinx-doc__sphinx-7748#cp50,haiku,PLp,1,3
o3mini:sphinx-doc__sphinx-7748#cp50,haiku,PLe,2,4
o3mini:sphinx-doc__sphinx-7748#cp50,sonnet,PLp,1,0
o3mini:sphinx-doc__sphinx-7748#cp50,sonnet,PLe,2,1
o3mini:sphinx-doc__sphinx-7748#cp50,opus,PLp,1,2
o3mini:sphinx-doc__sphinx-7748#cp50,opus,PLe,2,2
o3mini:sphinx-doc__sphinx-8056#cp50,haiku,PLp,1,3
o3mini:sphinx-doc__sphinx-8056#cp50,haiku,PLe,2,4
o3mini:sphinx-doc__sphinx-8056#cp50,sonnet,PLp,1,1
o3mini:sphinx-doc__sphinx-8056#cp50,sonnet,PLe,2,0
o3mini:sphinx-doc__sphinx-8056#cp50,opus,PLp,2,3
o3mini:sphinx-doc__sphinx-8056#cp50,opus,PLe,3,4
o3mini:sphinx-doc__sphinx-9367#cp50,haiku,PLp,1,2
o3mini:sphinx-doc__sphinx-9367#cp50,haiku,PLe,2,3
o3mini:sphinx-doc__sphinx-9367#cp50,sonnet,PLp,1,2
o3mini:sphinx-doc__sphinx-9367#cp50,sonnet,PLe,2,3
o3mini:sphinx-doc__sphinx-9367#cp50,opus,PLp,1,2
o3mini:sphinx-doc__sphinx-9367#cp50,opus,PLe,2,3
opus41:django__django-11951#cp50,haiku,PLp,2,2
opus41:django__django-11951#cp50,haiku,PLe,3,4
opus41:django__django-11951#cp50,sonnet,PLp,2,1
opus41:django__django-11951#cp50,sonnet,PLe,3,1
opus41:django__django-11951#cp50,opus,PLp,2,1
opus41:django__django-11951#cp50,opus,PLe,3,2
opus41:django__django-11999#cp50,haiku,PLp,2,3
opus41:django__django-11999#cp50,haiku,PLe,3,4
opus41:django__django-11999#cp50,sonnet,PLp,2,3
opus41:django__django-11999#cp50,sonnet,PLe,3,2
opus41:django__django-11999#cp50,opus,PLp,2,2
opus41:django__django-11999#cp50,opus,PLe,3,3
opus41:django__django-12193#cp50,haiku,PLp,2,2
opus41:django__django-12193#cp50,haiku,PLe,3,4
opus41:django__django-12193#cp50,sonnet,PLp,2,2
opus41:django__django-12193#cp50,sonnet,PLe,3,2
opus41:django__django-12193#cp50,opus,PLp,2,2
opus41:django__django-12193#cp50,opus,PLe,3,2
opus41:sphinx-doc__sphinx-10673#cp50,haiku,PLp,2,3
opus41:sphinx-doc__sphinx-10673#cp50,haiku,PLe,3,4
opus41:sphinx-doc__sphinx-10673#cp50,sonnet,PLp,2,2
opus41:sphinx-doc__sphinx-10673#cp50,sonnet,PLe,3,3
opus41:sphinx-doc__sphinx-10673#cp50,opus,PLp,2,3
opus41:sphinx-doc__sphinx-10673#cp50,opus,PLe,3,3
opus41:sphinx-doc__sphinx-7748#cp50,haiku,PLp,2,3
opus41:sphinx-doc__sphinx-7748#cp50,haiku,PLe,3,3
opus41:sphinx-doc__sphinx-7748#cp50,sonnet,PLp,2,3
opus41:sphinx-doc__sphinx-7748#cp50,sonnet,PLe,3,3
opus41:sphinx-doc__sphinx-7748#cp50,opus,PLp,2,3
opus41:sphinx-doc__sphinx-7748#cp50,opus,PLe,3,4
opus41:sphinx-doc__sphinx-8056#cp50,haiku,PLp,2,3
opus41:sphinx-doc__sphinx-8056#cp50,haiku,PLe,3,4
opus41:sphinx-doc__sphinx-8056#cp50,sonnet,PLp,2,2
opus41:sphinx-doc__sphinx-8056#cp50,sonnet,PLe,3,3
opus41:sphinx-doc__sphinx-8056#cp50,opus,PLp,2,2
opus41:sphinx-doc__sphinx-8056#cp50,opus,PLe,3,3
opus41:sphinx-doc__sphinx-8551#cp50,haiku,PLp,2,3
opus41:sphinx-doc__sphinx-8551#cp50,haiku,PLe,3,4
opus41:sphinx-doc__sphinx-8551#cp50,sonnet,PLp,2,3
opus41:sphinx-doc__sphinx-8551#cp50,sonnet,PLe,3,3
opus41:sphinx-doc__sphinx-8551#cp50,opus,PLp,2,3
opus41:sphinx-doc__sphinx-8551#cp50,opus,PLe,3,3
opus41:sphinx-doc__sphinx-9367#cp50,haiku,PLp,2,3
opus41:sphinx-doc__sphinx-9367#cp50,haiku,PLe,3,3
opus41:sphinx-doc__sphinx-9367#cp50,sonnet,PLp,2,2
opus41:sphinx-doc__sphinx-9367#cp50,sonnet,PLe,3,2
opus41:sphinx-doc__sphinx-9367#cp50,opus,PLp,2,2
opus41:sphinx-doc__sphinx-9367#cp50,opus,PLe,3,2
