task,benchmark,tier,judge,seed,PLp
usaco-0002,usaco,Bronze,haiku,1,3
usaco-0002,usaco,Bronze,haiku,2,3
usaco-0002,usaco,Bronze,haiku,3,4
usaco-0002,usaco,Bronze,sonnet,1,4
usaco-0002,usaco,Bronze,sonnet,2,4
usaco-0002,usaco,Bronze,sonnet,3,4
usaco-0002,usaco,Bronze,opus,1,3
usaco-0002,usaco,Bronze,opus,2,3
usaco-0002,usaco,Bronze,opus,3,3
usaco-0004,usaco,Silver,haiku,1,3
usaco-0004,usaco,Silver,haiku,2,3
usaco-0004,usaco,Silver,haiku,3,3
usaco-0004,usaco,Silver,sonnet,1,3
usaco-0004,usaco,Silver,sonnet,2,4
usaco-0004,usaco,Silver,sonnet,3,4
usaco-0004,usaco,Silver,opus,1,3
usaco-0004,usaco,Silver,opus,2,3
usaco-0004,usaco,Silver,opus,3,3
usaco-0006,usaco,Gold,haiku,1,3
usaco-0006,usaco,Gold,haiku,2,3
usaco-0006,usaco,Gold,haiku,3,4
usaco-0006,usaco,Gold,sonnet,1,4
usaco-0006,usaco,Gold,sonnet,2,4
usaco-0006,usaco,Gold,sonnet,3,4
usaco-0006,usaco,Gold,opus,1,4
usaco-0006,usaco,Gold,opus,2,4
usaco-0006,usaco,Gold,opus,3,4
usaco-0010,usaco,Platinum,haiku,1,4
usaco-0010,usaco,Platinum,haiku,2,3
usaco-0010,usaco,Platinum,haiku,3,3
usaco-0010,usaco,Platinum,sonnet,1,4
usaco-0010,usaco,Platinum,sonnet,2,4
usaco-0010,usaco,Platinum,sonnet,3,4
usaco-0010,usaco,Platinum,opus,1,4
usaco-0010,usaco,Platinum,opus,2,4
usaco-0010,usaco,Platinum,opus,3,4
usaco-0011,usaco,Platinum,haiku,1,3
usaco-0011,usaco,Platinum,haiku,2,3
usaco-0011,usaco,Platinum,haiku,3,3
usaco-0011,usaco,Platinum,sonnet,1,4
usaco-0011,usaco,Platinum,sonnet,2,4
usaco-0011,usaco,Platinum,sonnet,3,4
usaco-0011,usaco,Platinum,opus,1,4
usaco-0011,usaco,Platinum,opus,2,4
usaco-0011,usaco,Platinum,opus,3,4
tau-0007,taubench,trap_cap2,haiku,1,2
tau-0007,taubench,trap_cap2,haiku,2,2
tau-0007,taubench,trap_cap2,haiku,3,3
tau-0007,taubench,trap_cap2,sonnet,1,2
tau-0007,taubench,trap_cap2,sonnet,2,2
tau-0007,taubench,trap_cap2,sonnet,3,2
tau-0007,taubench,trap_cap2,opus,1,2
tau-0007,taubench,trap_cap2,opus,2,2
tau-0007,taubench,trap_cap2,opus,3,2
tau-0089,taubench,trap_cap2,haiku,1,2
tau-0089,taubench,trap_cap2,haiku,2,2
tau-0089,taubench,trap_cap2,haiku,3,2
tau-0089,taubench,trap_cap2,sonnet,1,2
tau-0089,taubench,trap_cap2,sonnet,2,2
tau-0089,taubench,trap_cap2,sonnet,3,2
tau-0089,taubench,trap_cap2,opus,1,2
tau-0089,taubench,trap_cap2,opus,2,2
tau-0089,taubench,trap_cap2,opus,3,2
ab-0011,assistantbench,anchor_L1,haiku,1,1
ab-0011,assistantbench,anchor_L1,haiku,2,1
ab-0011,assistantbench,anchor_L1,haiku,3,1
ab-0011,assistantbench,anchor_L1,sonnet,1,1
ab-0011,assistantbench,anchor_L1,sonnet,2,1
ab-0011,assistantbench,anchor_L1,sonnet,3,1
ab-0011,assistantbench,anchor_L1,opus,1,1
ab-0011,assistantbench,anchor_L1,opus,2,1
ab-0011,assistantbench,anchor_L1,opus,3,1
