task,designed,judge,seed,PLe
usaco-0004,2-3,haiku,1,4
usaco-0004,2-3,haiku,2,4
usaco-0004,2-3,haiku,3,4
usaco-0004,2-3,sonnet,1,3
usaco-0004,2-3,sonnet,2,1
usaco-0004,2-3,sonnet,3,0
usaco-0004,2-3,opus,1,3
usaco-0004,2-3,opus,2,3
usaco-0004,2-3,opus,3,3
usaco-0011,2-3,haiku,1,3
usaco-0011,2-3,haiku,2,4
usaco-0011,2-3,haiku,3,4
usaco-0011,2-3,sonnet,1,3
usaco-0011,2-3,sonnet,2,3
usaco-0011,2-3,sonnet,3,4
usaco-0011,2-3,opus,1,3
usaco-0011,2-3,opus,2,3
usaco-0011,2-3,opus,3,4
tau-0007,1-2,haiku,1,2
tau-0007,1-2,haiku,2,2
tau-0007,1-2,haiku,3,3
tau-0007,1-2,sonnet,1,2
tau-0007,1-2,sonnet,2,1
tau-0007,1-2,sonnet,3,1
tau-0007,1-2,opus,1,2
tau-0007,1-2,opus,2,2
tau-0007,1-2,opus,3,2
ple-wizard,1,haiku,1,1
ple-wizard,1,haiku,2,1
ple-wizard,1,haiku,3,1
ple-wizard,1,sonnet,1,1
ple-wizard,1,sonnet,2,1
ple-wizard,1,sonnet,3,1
ple-wizard,1,opus,1,1
ple-wizard,1,opus,2,1
ple-wizard,1,opus,3,1
ple-ledger,4,haiku,1,4
ple-ledger,4,haiku,2,4
ple-ledger,4,haiku,3,4
ple-ledger,4,sonnet,1,4
ple-ledger,4,sonnet,2,4
ple-ledger,4,sonnet,3,4
ple-ledger,4,opus,1,4
ple-ledger,4,opus,2,4
ple-ledger,4,opus,3,4
ple-migration,5,haiku,1,5
ple-migration,5,haiku,2,5
ple-migration,5,haiku,3,5
ple-migration,5,sonnet,1,5
ple-migration,5,sonnet,2,5
ple-migration,5,sonnet,3,5
ple-migration,5,opus,1,5
ple-migration,5,opus,2,5
ple-migration,5,opus,3,5
chess-trap,<=1,haiku,1,4
chess-trap,<=1,haiku,2,3
chess-trap,<=1,haiku,3,4
chess-trap,<=1,sonnet,1,4
chess-trap,<=1,sonnet,2,4
chess-trap,<=1,sonnet,3,4
chess-trap,<=1,opus,1,4
chess-trap,<=1,opus,2,3
chess-trap,<=1,opus,3,4
