pair_id,contrast_level,history_length,cost_to_go,object_location_updates,num_reversals,interference_count,object_complexity,state_visible_prompt,history_only_prompt,annotator,date,sv_manual_level,ho_manual_level,delta_direction_ok,notes
memw-L7-nrev-01,nrev,7,4,3,0,0,3,"You are partway through a river-crossing puzzle. The boat carries the farmer and at most 2 items per crossing. The item1 and the item2 must not be left together without the farmer. The item2 and the item3 must not be left together without the farmer. The item3 and the item4 must not be left together without the farmer. The item4 and the item5 must not be left together without the farmer. Current situation -- Left bank: item1, item5. Right bank: farmer, item2, item3, item4. The boat is on the right bank. Find a sequence of crossings that gets everything to the right bank from here.","You are partway through a river-crossing puzzle. The boat carries the farmer and at most 2 items per crossing. The item1 and the item2 must not be left together without the farmer. The item2 and the item3 must not be left together without the farmer. The item3 and the item4 must not be left together without the farmer. The item4 and the item5 must not be left together without the farmer. Goal: get everything to the right bank. Initial state: farmer, item1, item2, item3, item4, and item5 start on the left bank with the boat; the right bank starts empty. Move history so far:
1. farmer with item2, and item4 crossed to the right bank.
2. farmer alone crossed to the left bank.
3. farmer alone crossed to the right bank.
4. farmer alone crossed to the left bank.
5. farmer alone crossed to the right bank.
6. farmer alone crossed to the left bank.
7. farmer with item3 crossed to the right bank.
Based only on the initial state and move history, infer the present configuration and find a sequence of crossings that gets everything to the right bank from here.",,,,,,
memw-L7-nrev-02,nrev,7,2,3,0,0,3,"You are partway through a river-crossing puzzle. The boat carries the farmer and at most 4 items per crossing. The item1 and the item2 must not be left together without the farmer. The item1 and the item3 must not be left together without the farmer. The item1 and the item4 must not be left together without the farmer. Current situation -- Left bank: item1. Right bank: farmer, item2, item3, item4. The boat is on the right bank. Find a sequence of crossings that gets everything to the right bank from here.","You are partway through a river-crossing puzzle. The boat carries the farmer and at most 4 items per crossing. The item1 and the item2 must not be left together without the farmer. The item1 and the item3 must not be left together without the farmer. The item1 and the item4 must not be left together without the farmer. Goal: get everything to the right bank. Initial state: farmer, item1, item2, item3, and item4 start on the left bank with the boat; the right bank starts empty. Move history so far:
1. farmer with item2, item3, and item4 crossed to the right bank.
2. farmer alone crossed to the left bank.
3. farmer alone crossed to the right bank.
4. farmer alone crossed to the left bank.
5. farmer alone crossed to the right bank.
6. farmer alone crossed to the left bank.
7. farmer alone crossed to the right bank.
Based only on the initial state and move history, infer the present configuration and find a sequence of crossings that gets everything to the right bank from here.",,,,,,
memw-L7-rev-01,rev,7,6,5,4,1,10,"You are partway through a river-crossing puzzle. The boat carries the farmer and at most 1 item per crossing. The item1 and the item2 must not be left together without the farmer. The item2 and the item3 must not be left together without the farmer. Current situation -- Left bank: item1, item3. Right bank: farmer, item2. The boat is on the right bank. Find a sequence of crossings that gets everything to the right bank from here.","You are partway through a river-crossing puzzle. The boat carries the farmer and at most 1 item per crossing. The item1 and the item2 must not be left together without the farmer. The item2 and the item3 must not be left together without the farmer. Goal: get everything to the right bank. Initial state: farmer, item1, item2, and item3 start on the left bank with the boat; the right bank starts empty. Move history so far:
1. farmer with item2 crossed to the right bank.
2. farmer alone crossed to the left bank.
3. farmer alone crossed to the right bank.
4. farmer with item2 crossed to the left bank.
5. farmer with item2 crossed to the right bank.
6. farmer with item2 crossed to the left bank.
7. farmer with item2 crossed to the right bank.
Based only on the initial state and move history, infer the present configuration and find a sequence of crossings that gets everything to the right bank from here.",,,,,,
memw-L7-rev-02,rev,7,2,5,4,1,10,"You are partway through a river-crossing puzzle. The boat carries the farmer and at most 2 items per crossing. The item1 and the item2 must not be left together without the farmer. The item1 and the item3 must not be left together without the farmer. Current situation -- Left bank: item2, item3. Right bank: farmer, item1. The boat is on the right bank. Find a sequence of crossings that gets everything to the right bank from here.","You are partway through a river-crossing puzzle. The boat carries the farmer and at most 2 items per crossing. The item1 and the item2 must not be left together without the farmer. The item1 and the item3 must not be left together without the farmer. Goal: get everything to the right bank. Initial state: farmer, item1, item2, and item3 start on the left bank with the boat; the right bank starts empty. Move history so far:
1. farmer with item1 crossed to the right bank.
2. farmer alone crossed to the left bank.
3. farmer alone crossed to the right bank.
4. farmer with item1 crossed to the left bank.
5. farmer with item1 crossed to the right bank.
6. farmer with item1 crossed to the left bank.
7. farmer with item1 crossed to the right bank.
Based only on the initial state and move history, infer the present configuration and find a sequence of crossings that gets everything to the right bank from here.",,,,,,
memw-L3-low-01,low,3,2,1,0,0,1,"You are partway through a river-crossing puzzle. The boat carries the farmer and at most 2 items per crossing. The item1 and the item2 must not be left together without the farmer. The item2 and the item3 must not be left together without the farmer. Current situation -- Left bank: item1, item3. Right bank: farmer, item2. The boat is on the right bank. Find a sequence of crossings that gets everything to the right bank from here.","You are partway through a river-crossing puzzle. The boat carries the farmer and at most 2 items per crossing. The item1 and the item2 must not be left together without the farmer. The item2 and the item3 must not be left together without the farmer. Goal: get everything to the right bank. Initial state: farmer, item1, item2, and item3 start on the left bank with the boat; the right bank starts empty. Move history so far:
1. farmer with item2 crossed to the right bank.
2. farmer alone crossed to the left bank.
3. farmer alone crossed to the right bank.
Based only on the initial state and move history, infer the present configuration and find a sequence of crossings that gets everything to the right bank from here.",,,,,,
memw-L3-low-02,low,3,6,1,0,0,1,"You are partway through a river-crossing puzzle. The boat carries the farmer and at most 1 item per crossing. The item1 and the item2 must not be left together without the farmer. The item1 and the item3 must not be left together without the farmer. Current situation -- Left bank: item2, item3. Right bank: farmer, item1. The boat is on the right bank. Find a sequence of crossings that gets everything to the right bank from here.","You are partway through a river-crossing puzzle. The boat carries the farmer and at most 1 item per crossing. The item1 and the item2 must not be left together without the farmer. The item1 and the item3 must not be left together without the farmer. Goal: get everything to the right bank. Initial state: farmer, item1, item2, and item3 start on the left bank with the boat; the right bank starts empty. Move history so far:
1. farmer with item1 crossed to the right bank.
2. farmer alone crossed to the left bank.
3. farmer alone crossed to the right bank.
Based only on the initial state and move history, infer the present configuration and find a sequence of crossings that gets everything to the right bank from here.",,,,,,
memw-L3-medium-01,medium,3,4,4,0,0,4,"You are partway through a river-crossing puzzle. The boat carries the farmer and at most 2 items per crossing. The item1 and the item2 must not be left together without the farmer. The item2 and the item3 must not be left together without the farmer. The item3 and the item4 must not be left together without the farmer. The item4 and the item5 must not be left together without the farmer. Current situation -- Left bank: item1. Right bank: farmer, item2, item3, item4, item5. The boat is on the right bank. Find a sequence of crossings that gets everything to the right bank from here.","You are partway through a river-crossing puzzle. The boat carries the farmer and at most 2 items per crossing. The item1 and the item2 must not be left together without the farmer. The item2 and the item3 must not be left together without the farmer. The item3 and the item4 must not be left together without the farmer. The item4 and the item5 must not be left together without the farmer. Goal: get everything to the right bank. Initial state: farmer, item1, item2, item3, item4, and item5 start on the left bank with the boat; the right bank starts empty. Move history so far:
1. farmer with item2, and item4 crossed to the right bank.
2. farmer alone crossed to the left bank.
3. farmer with item3, and item5 crossed to the right bank.
Based only on the initial state and move history, infer the present configuration and find a sequence of crossings that gets everything to the right bank from here.",,,,,,
memw-L3-medium-02,medium,3,2,4,0,0,4,"You are partway through a river-crossing puzzle. The boat carries the farmer and at most 3 items per crossing. The item1 and the item2 must not be left together without the farmer. The item2 and the item3 must not be left together without the farmer. The item3 and the item4 must not be left together without the farmer. The item4 and the item5 must not be left together without the farmer. Current situation -- Left bank: item2. Right bank: farmer, item1, item3, item4, item5. The boat is on the right bank. Find a sequence of crossings that gets everything to the right bank from here.","You are partway through a river-crossing puzzle. The boat carries the farmer and at most 3 items per crossing. The item1 and the item2 must not be left together without the farmer. The item2 and the item3 must not be left together without the farmer. The item3 and the item4 must not be left together without the farmer. The item4 and the item5 must not be left together without the farmer. Goal: get everything to the right bank. Initial state: farmer, item1, item2, item3, item4, and item5 start on the left bank with the boat; the right bank starts empty. Move history so far:
1. farmer with item1, item3, and item5 crossed to the right bank.
2. farmer alone crossed to the left bank.
3. farmer with item4 crossed to the right bank.
Based only on the initial state and move history, infer the present configuration and find a sequence of crossings that gets everything to the right bank from here.",,,,,,
memw-L3-high-01,high,3,2,12,8,4,24,"You are partway through a river-crossing puzzle. The boat carries the farmer and at most 4 items per crossing. The item1 and the item2 must not be left together without the farmer. The item2 and the item3 must not be left together without the farmer. The item3 and the item4 must not be left together without the farmer. The item4 and the item5 must not be left together without the farmer. Current situation -- Left bank: item1. Right bank: farmer, item2, item3, item4, item5. The boat is on the right bank. Find a sequence of crossings that gets everything to the right bank from here.","You are partway through a river-crossing puzzle. The boat carries the farmer and at most 4 items per crossing. The item1 and the item2 must not be left together without the farmer. The item2 and the item3 must not be left together without the farmer. The item3 and the item4 must not be left together without the farmer. The item4 and the item5 must not be left together without the farmer. Goal: get everything to the right bank. Initial state: farmer, item1, item2, item3, item4, and item5 start on the left bank with the boat; the right bank starts empty. Move history so far:
1. farmer with item2, item3, item4, and item5 crossed to the right bank.
2. farmer with item2, item3, item4, and item5 crossed to the left bank.
3. farmer with item2, item3, item4, and item5 crossed to the right bank.
Based only on the initial state and move history, infer the present configuration and find a sequence of crossings that gets everything to the right bank from here.",,,,,,
memw-L3-high-02,high,3,8,9,6,3,18,"You are partway through a river-crossing puzzle. The boat holds at most 3 and needs at least one aboard to row. On an unattended bank, the C1/C2/C3/C4 must never outnumber the M1/M2/M3/M4 when any of the latter are present. Current situation -- Left bank: C1, M1, M2, M3, M4. Right bank: C2, C3, C4. The boat is on the right bank. Find a sequence of crossings that gets everything to the right bank from here.","You are partway through a river-crossing puzzle. The boat holds at most 3 and needs at least one aboard to row. On an unattended bank, the C1/C2/C3/C4 must never outnumber the M1/M2/M3/M4 when any of the latter are present. Goal: get everything to the right bank. Initial state: M1, M2, M3, M4, C1, C2, C3, and C4 start on the left bank with the boat; the right bank starts empty. Move history so far:
1. C2, C3, and C4 crossed to the right bank.
2. C2, C3, and C4 crossed to the left bank.
3. C2, C3, and C4 crossed to the right bank.
Based only on the initial state and move history, infer the present configuration and find a sequence of crossings that gets everything to the right bank from here.",,,,,,
