pair_id,underlying_state_id,contrast_level,custom_id_state_visible,custom_id_history_only,puzzle_id,step_idx,trace_idx,true_left,true_right,true_boat,cost_to_go,object_complexity,history_length,boat_side_updates,object_location_updates,num_unique_objects_moved,num_reversals,interference_count,num_object_moves,num_location_updates,num_repeated_moves
memw-L7-nrev-01,memw-L7-nrev-01,nrev,memw-L7-nrev-01__state_visible,memw-L7-nrev-01__history_only,chain-5-boat-2,7,1,item1;item5,farmer;item2;item3;item4,right,4,3,7,7,3,3,0,0,3,17,6
memw-L7-nrev-02,memw-L7-nrev-02,nrev,memw-L7-nrev-02__state_visible,memw-L7-nrev-02__history_only,star-4-boat-4,7,2,item1,farmer;item2;item3;item4,right,2,3,7,7,3,3,0,0,3,17,6
memw-L7-rev-01,memw-L7-rev-01,rev,memw-L7-rev-01__state_visible,memw-L7-rev-01__history_only,chain-3-boat-1,7,1,item1;item3,farmer;item2,right,6,10,7,7,5,1,4,1,5,19,10
memw-L7-rev-02,memw-L7-rev-02,rev,memw-L7-rev-02__state_visible,memw-L7-rev-02__history_only,star-3-boat-2,7,2,item2;item3,farmer;item1,right,2,10,7,7,5,1,4,1,5,19,10
memw-L3-low-01,memw-L3-low-01,low,memw-L3-low-01__state_visible,memw-L3-low-01__history_only,chain-3-boat-2,3,1,item1;item3,farmer;item2,right,2,1,3,3,1,1,0,0,1,7,2
memw-L3-low-02,memw-L3-low-02,low,memw-L3-low-02__state_visible,memw-L3-low-02__history_only,star-3-boat-1,3,2,item2;item3,farmer;item1,right,6,1,3,3,1,1,0,0,1,7,2
memw-L3-medium-01,memw-L3-medium-01,medium,memw-L3-medium-01__state_visible,memw-L3-medium-01__history_only,chain-5-boat-2,3,1,item1,farmer;item2;item3;item4;item5,right,4,4,3,3,4,4,0,0,4,10,2
memw-L3-medium-02,memw-L3-medium-02,medium,memw-L3-medium-02__state_visible,memw-L3-medium-02__history_only,chain-5-boat-3,3,2,item2,farmer;item1;item3;item4;item5,right,2,4,3,3,4,4,0,0,4,10,2
memw-L3-high-01,memw-L3-high-01,high,memw-L3-high-01__state_visible,memw-L3-high-01__history_only,chain-5-boat-4,3,1,item1,farmer;item2;item3;item4;item5,right,2,24,3,3,12,4,8,4,12,18,10
memw-L3-high-02,memw-L3-high-02,high,memw-L3-high-02__state_visible,memw-L3-high-02__history_only,missionaries-cannibals-4,3,2,C1;M1;M2;M3;M4,C2;C3;C4,right,8,18,3,3,9,3,6,3,9,12,6
memw-L7-low-01,memw-L7-low-01,low,memw-L7-low-01__state_visible,memw-L7-low-01__history_only,chain-3-boat-4,7,1,item1;item3,farmer;item2,right,2,1,7,7,1,1,0,0,1,15,6
memw-L7-low-02,memw-L7-low-02,low,memw-L7-low-02__state_visible,memw-L7-low-02__history_only,chain-3-boat-1,7,2,item3,farmer;item1;item2,right,4,2,7,7,2,2,0,0,2,16,6
memw-L7-medium-01,memw-L7-medium-01,medium,memw-L7-medium-01__state_visible,memw-L7-medium-01__history_only,chain-3-boat-2,7,1,item3,farmer;item1;item2,right,2,19,7,7,10,3,7,2,10,24,13
memw-L7-medium-02,memw-L7-medium-02,medium,memw-L7-medium-02__state_visible,memw-L7-medium-02__history_only,chain-4-boat-2,7,2,item1;item4,farmer;item2;item3,right,4,19,7,7,10,3,7,2,10,24,13
memw-L7-high-01,memw-L7-high-01,high,memw-L7-high-01__state_visible,memw-L7-high-01__history_only,complete-5-boat-4,7,1,item5,farmer;item1;item2;item3;item4,right,2,52,7,7,26,5,21,5,26,40,27
memw-L7-high-02,memw-L7-high-02,high,memw-L7-high-02__state_visible,memw-L7-high-02__history_only,missionaries-cannibals-4,7,2,C1;C3;C4,C2;M1;M2;M3;M4,right,4,36,7,7,19,7,12,5,19,26,12
memw-L10-low-01,memw-L10-low-01,low,memw-L10-low-01__state_visible,memw-L10-low-01__history_only,chain-3-boat-3,10,1,farmer;item1;item3,item2,left,1,1,10,10,1,1,0,0,1,21,9
memw-L10-low-02,memw-L10-low-02,low,memw-L10-low-02__state_visible,memw-L10-low-02__history_only,chain-3-boat-1,10,2,farmer;item1;item2,item3,left,3,5,10,10,3,2,1,1,3,23,10
memw-L10-medium-01,memw-L10-medium-01,medium,memw-L10-medium-01__state_visible,memw-L10-medium-01__history_only,chain-3-boat-2,10,1,farmer;item1;item2;item3,nothing,left,3,36,10,10,18,3,15,3,18,38,24
memw-L10-medium-02,memw-L10-medium-02,medium,memw-L10-medium-02__state_visible,memw-L10-medium-02__history_only,chain-4-boat-2,10,2,farmer;item1;item3,item2;item4,left,1,36,10,10,18,4,14,4,18,38,23
memw-L10-high-01,memw-L10-high-01,high,memw-L10-high-01__state_visible,memw-L10-high-01__history_only,complete-5-boat-4,10,1,farmer;item1;item2;item3;item4;item5,nothing,left,3,76,10,10,38,5,33,5,38,58,42
memw-L10-high-02,memw-L10-high-02,high,memw-L10-high-02__state_visible,memw-L10-high-02__history_only,chain-5-boat-4,10,2,farmer;item1;item2;item3;item5,item4,left,1,66,10,10,33,5,28,5,33,53,37
