task,designed,judge,seed,PLs
pls-sudoku,0,haiku,1,0
pls-sudoku,0,haiku,2,0
pls-sudoku,0,haiku,3,0
pls-sudoku,0,sonnet,1,0
pls-sudoku,0,sonnet,2,0
pls-sudoku,0,sonnet,3,0
pls-sudoku,0,opus,1,0
pls-sudoku,0,opus,2,0
pls-sudoku,0,opus,3,0
chess-trap,0,haiku,1,0
chess-trap,0,haiku,2,0
chess-trap,0,haiku,3,0
chess-trap,0,sonnet,1,0
chess-trap,0,sonnet,2,0
chess-trap,0,sonnet,3,0
chess-trap,0,opus,1,0
chess-trap,0,opus,2,0
chess-trap,0,opus,3,0
usaco-0004,<=1,haiku,1,0
usaco-0004,<=1,haiku,2,0
usaco-0004,<=1,haiku,3,0
usaco-0004,<=1,sonnet,1,0
usaco-0004,<=1,sonnet,2,0
usaco-0004,<=1,sonnet,3,0
usaco-0004,<=1,opus,1,0
usaco-0004,<=1,opus,2,0
usaco-0004,<=1,opus,3,0
ab-0011,1-2,haiku,1,2
ab-0011,1-2,haiku,2,1
ab-0011,1-2,haiku,3,2
ab-0011,1-2,sonnet,1,1
ab-0011,1-2,sonnet,2,2
ab-0011,1-2,sonnet,3,2
ab-0011,1-2,opus,1,2
ab-0011,1-2,opus,2,1
ab-0011,1-2,opus,3,2
tau-0007,<=2,haiku,1,2
tau-0007,<=2,haiku,2,2
tau-0007,<=2,haiku,3,2
tau-0007,<=2,sonnet,1,2
tau-0007,<=2,sonnet,2,2
tau-0007,<=2,sonnet,3,2
tau-0007,<=2,opus,1,2
tau-0007,<=2,opus,2,2
tau-0007,<=2,opus,3,2
pls-debug,3,haiku,1,3
pls-debug,3,haiku,2,3
pls-debug,3,haiku,3,3
pls-debug,3,sonnet,1,3
pls-debug,3,sonnet,2,3
pls-debug,3,sonnet,3,3
pls-debug,3,opus,1,3
pls-debug,3,opus,2,3
pls-debug,3,opus,3,3
pls-lunchrush,4,haiku,1,4
pls-lunchrush,4,haiku,2,4
pls-lunchrush,4,haiku,3,4
pls-lunchrush,4,sonnet,1,4
pls-lunchrush,4,sonnet,2,4
pls-lunchrush,4,sonnet,3,4
pls-lunchrush,4,opus,1,4
pls-lunchrush,4,opus,2,4
pls-lunchrush,4,opus,3,4
pls-interference,5,haiku,1,5
pls-interference,5,haiku,2,5
pls-interference,5,haiku,3,5
pls-interference,5,sonnet,1,5
pls-interference,5,sonnet,2,5
pls-interference,5,sonnet,3,4
pls-interference,5,opus,1,5
pls-interference,5,opus,2,5
pls-interference,5,opus,3,5
