custom_id,level,reason
chain-3-boat-1#s2,0,Current state fully visible
chain-3-boat-2#s1,0,Current state fully visible
chain-3-boat-3#s0,0,Current state fully visible
chain-3-boat-4#s0,0,Current state fully visible
chain-4-boat-2#s1,0,Current state fully visible
chain-4-boat-3#s1,0,Current state fully visible
chain-4-boat-4#s0,0,Current state fully visible
chain-5-boat-2#s2,0,Current state fully visible
chain-5-boat-3#s1,0,Current state fully visible
chain-5-boat-4#s1,0,Current state fully visible
chain-6-boat-3#s1,0,Current state fully visible
chain-6-boat-4#s1,0,Current state fully visible
star-3-boat-1#s2,0,Current state fully visible
star-3-boat-2#s1,0,Current state fully visible
star-3-boat-3#s0,0,Current state fully visible
star-3-boat-4#s0,0,Current state fully visible
star-4-boat-2#s2,0,Current state fully visible
star-4-boat-3#s1,0,Current state fully visible
star-4-boat-4#s0,0,Current state fully visible
star-5-boat-2#s2,0,Current state fully visible
star-5-boat-3#s1,0,Current state fully visible
star-5-boat-4#s1,0,Current state fully visible
star-6-boat-2#s2,0,Current state fully visible
star-6-boat-3#s2,0,Current state fully visible
star-6-boat-4#s1,0,Current state fully visible
cycle-3-boat-2#s1,0,Current state fully visible
cycle-3-boat-3#s0,0,Current state fully visible
cycle-3-boat-4#s0,0,Current state fully visible
cycle-4-boat-2#s1,0,Current state fully visible
cycle-4-boat-3#s1,0,Current state fully visible
cycle-4-boat-4#s0,0,Current state fully visible
cycle-5-boat-3#s1,0,Current state fully visible
cycle-5-boat-4#s1,0,Current state fully visible
cycle-6-boat-3#s1,0,Current state fully visible
cycle-6-boat-4#s1,0,Current state fully visible
complete-3-boat-2#s1,0,Current state fully visible
complete-3-boat-3#s0,0,Current state fully visible
complete-3-boat-4#s0,0,Current state fully visible
complete-4-boat-3#s1,0,Current state fully visible
complete-4-boat-4#s0,0,Current state fully visible
complete-5-boat-4#s1,0,Current state fully visible
missionaries-cannibals-3#s2,0,Current state fully visible
missionaries-cannibals-4#s2,0,Current state fully visible
