custom_id,prompt
memw-L7-nrev-01__state_visible,"You are partway through a river-crossing puzzle. The boat carries the farmer and at most 2 items per crossing. The item1 and the item2 must not be left together without the farmer. The item2 and the item3 must not be left together without the farmer. The item3 and the item4 must not be left together without the farmer. The item4 and the item5 must not be left together without the farmer. Current situation -- Left bank: item1, item5. Right bank: farmer, item2, item3, item4. The boat is on the right bank. Find a sequence of crossings that gets everything to the right bank from here."
memw-L7-nrev-02__state_visible,"You are partway through a river-crossing puzzle. The boat carries the farmer and at most 4 items per crossing. The item1 and the item2 must not be left together without the farmer. The item1 and the item3 must not be left together without the farmer. The item1 and the item4 must not be left together without the farmer. Current situation -- Left bank: item1. Right bank: farmer, item2, item3, item4. The boat is on the right bank. Find a sequence of crossings that gets everything to the right bank from here."
memw-L7-rev-01__state_visible,"You are partway through a river-crossing puzzle. The boat carries the farmer and at most 1 item per crossing. The item1 and the item2 must not be left together without the farmer. The item2 and the item3 must not be left together without the farmer. Current situation -- Left bank: item1, item3. Right bank: farmer, item2. The boat is on the right bank. Find a sequence of crossings that gets everything to the right bank from here."
memw-L7-rev-02__state_visible,"You are partway through a river-crossing puzzle. The boat carries the farmer and at most 2 items per crossing. The item1 and the item2 must not be left together without the farmer. The item1 and the item3 must not be left together without the farmer. Current situation -- Left bank: item2, item3. Right bank: farmer, item1. The boat is on the right bank. Find a sequence of crossings that gets everything to the right bank from here."
memw-L3-low-01__state_visible,"You are partway through a river-crossing puzzle. The boat carries the farmer and at most 2 items per crossing. The item1 and the item2 must not be left together without the farmer. The item2 and the item3 must not be left together without the farmer. Current situation -- Left bank: item1, item3. Right bank: farmer, item2. The boat is on the right bank. Find a sequence of crossings that gets everything to the right bank from here."
memw-L3-low-02__state_visible,"You are partway through a river-crossing puzzle. The boat carries the farmer and at most 1 item per crossing. The item1 and the item2 must not be left together without the farmer. The item1 and the item3 must not be left together without the farmer. Current situation -- Left bank: item2, item3. Right bank: farmer, item1. The boat is on the right bank. Find a sequence of crossings that gets everything to the right bank from here."
memw-L3-medium-01__state_visible,"You are partway through a river-crossing puzzle. The boat carries the farmer and at most 2 items per crossing. The item1 and the item2 must not be left together without the farmer. The item2 and the item3 must not be left together without the farmer. The item3 and the item4 must not be left together without the farmer. The item4 and the item5 must not be left together without the farmer. Current situation -- Left bank: item1. Right bank: farmer, item2, item3, item4, item5. The boat is on the right bank. Find a sequence of crossings that gets everything to the right bank from here."
memw-L3-medium-02__state_visible,"You are partway through a river-crossing puzzle. The boat carries the farmer and at most 3 items per crossing. The item1 and the item2 must not be left together without the farmer. The item2 and the item3 must not be left together without the farmer. The item3 and the item4 must not be left together without the farmer. The item4 and the item5 must not be left together without the farmer. Current situation -- Left bank: item2. Right bank: farmer, item1, item3, item4, item5. The boat is on the right bank. Find a sequence of crossings that gets everything to the right bank from here."
memw-L3-high-01__state_visible,"You are partway through a river-crossing puzzle. The boat carries the farmer and at most 4 items per crossing. The item1 and the item2 must not be left together without the farmer. The item2 and the item3 must not be left together without the farmer. The item3 and the item4 must not be left together without the farmer. The item4 and the item5 must not be left together without the farmer. Current situation -- Left bank: item1. Right bank: farmer, item2, item3, item4, item5. The boat is on the right bank. Find a sequence of crossings that gets everything to the right bank from here."
memw-L3-high-02__state_visible,"You are partway through a river-crossing puzzle. The boat holds at most 3 and needs at least one aboard to row. On an unattended bank, the C1/C2/C3/C4 must never outnumber the M1/M2/M3/M4 when any of the latter are present. Current situation -- Left bank: C1, M1, M2, M3, M4. Right bank: C2, C3, C4. The boat is on the right bank. Find a sequence of crossings that gets everything to the right bank from here."
memw-L7-low-01__state_visible,"You are partway through a river-crossing puzzle. The boat carries the farmer and at most 4 items per crossing. The item1 and the item2 must not be left together without the farmer. The item2 and the item3 must not be left together without the farmer. Current situation -- Left bank: item1, item3. Right bank: farmer, item2. The boat is on the right bank. Find a sequence of crossings that gets everything to the right bank from here."
memw-L7-low-02__state_visible,"You are partway through a river-crossing puzzle. The boat carries the farmer and at most 1 item per crossing. The item1 and the item2 must not be left together without the farmer. The item2 and the item3 must not be left together without the farmer. Current situation -- Left bank: item3. Right bank: farmer, item1, item2. The boat is on the right bank. Find a sequence of crossings that gets everything to the right bank from here."
memw-L7-medium-01__state_visible,"You are partway through a river-crossing puzzle. The boat carries the farmer and at most 2 items per crossing. The item1 and the item2 must not be left together without the farmer. The item2 and the item3 must not be left together without the farmer. Current situation -- Left bank: item3. Right bank: farmer, item1, item2. The boat is on the right bank. Find a sequence of crossings that gets everything to the right bank from here."
memw-L7-medium-02__state_visible,"You are partway through a river-crossing puzzle. The boat carries the farmer and at most 2 items per crossing. The item1 and the item2 must not be left together without the farmer. The item2 and the item3 must not be left together without the farmer. The item3 and the item4 must not be left together without the farmer. Current situation -- Left bank: item1, item4. Right bank: farmer, item2, item3. The boat is on the right bank. Find a sequence of crossings that gets everything to the right bank from here."
memw-L7-high-01__state_visible,"You are partway through a river-crossing puzzle. The boat carries the farmer and at most 4 items per crossing. The item1 and the item2 must not be left together without the farmer. The item1 and the item3 must not be left together without the farmer. The item1 and the item4 must not be left together without the farmer. The item1 and the item5 must not be left together without the farmer. The item2 and the item3 must not be left together without the farmer. The item2 and the item4 must not be left together without the farmer. The item2 and the item5 must not be left together without the farmer. The item3 and the item4 must not be left together without the farmer. The item3 and the item5 must not be left together without the farmer. The item4 and the item5 must not be left together without the farmer. Current situation -- Left bank: item5. Right bank: farmer, item1, item2, item3, item4. The boat is on the right bank. Find a sequence of crossings that gets everything to the right bank from here."
memw-L7-high-02__state_visible,"You are partway through a river-crossing puzzle. The boat holds at most 3 and needs at least one aboard to row. On an unattended bank, the C1/C2/C3/C4 must never outnumber the M1/M2/M3/M4 when any of the latter are present. Current situation -- Left bank: C1, C3, C4. Right bank: C2, M1, M2, M3, M4. The boat is on the right bank. Find a sequence of crossings that gets everything to the right bank from here."
memw-L10-low-01__state_visible,"You are partway through a river-crossing puzzle. The boat carries the farmer and at most 3 items per crossing. The item1 and the item2 must not be left together without the farmer. The item2 and the item3 must not be left together without the farmer. Current situation -- Left bank: farmer, item1, item3. Right bank: item2. The boat is on the left bank. Find a sequence of crossings that gets everything to the right bank from here."
memw-L10-low-02__state_visible,"You are partway through a river-crossing puzzle. The boat carries the farmer and at most 1 item per crossing. The item1 and the item2 must not be left together without the farmer. The item2 and the item3 must not be left together without the farmer. Current situation -- Left bank: farmer, item1, item2. Right bank: item3. The boat is on the left bank. Find a sequence of crossings that gets everything to the right bank from here."
memw-L10-medium-01__state_visible,"You are partway through a river-crossing puzzle. The boat carries the farmer and at most 2 items per crossing. The item1 and the item2 must not be left together without the farmer. The item2 and the item3 must not be left together without the farmer. Current situation -- Left bank: farmer, item1, item2, item3. Right bank: nothing. The boat is on the left bank. Find a sequence of crossings that gets everything to the right bank from here."
memw-L10-medium-02__state_visible,"You are partway through a river-crossing puzzle. The boat carries the farmer and at most 2 items per crossing. The item1 and the item2 must not be left together without the farmer. The item2 and the item3 must not be left together without the farmer. The item3 and the item4 must not be left together without the farmer. Current situation -- Left bank: farmer, item1, item3. Right bank: item2, item4. The boat is on the left bank. Find a sequence of crossings that gets everything to the right bank from here."
