order,custom_id,dim,your_level,verdict,deciding_clause
1,opus41:django__django-12193#cp75,PLp,,,
2,opus41tc:task30#cp75,PLe,,,
3,opus41tc:task45#cp50,PLe,,,
4,opus41tc:task46#cp50,PLp,,,
5,opus41:django__django-11951#cp50,PLe,,,
6,o3mini:sphinx-doc__sphinx-8056#cp75,PLp,,,
7,o3mini:sphinx-doc__sphinx-9367#cp75,PLp,,,
8,o3mini:sphinx-doc__sphinx-9367#cp50,PLp,,,
9,opus41tc:task28#cp75,PLe,,,
10,opus41tc:task45#cp50,PLp,,,
11,opus41tc:task30#cp50,PLe,,,
12,opus41:sphinx-doc__sphinx-8056#cp50,PLp,,,
13,opus41:sphinx-doc__sphinx-8056#cp25,PLe,,,
14,opus41:sphinx-doc__sphinx-8056#cp75,PLp,,,
15,gemflash:task30#cp25,PLe,,,
16,gemflash:task45#cp25,PLe,,,
17,gemflash:task36#cp25,PLe,,,
18,gemflash:task36#cp50,PLe,,,
19,opus41tc:task46#cp50,PLe,,,
20,opus41:django__django-11999#cp75,PLe,,,
21,opus41:django__django-11951#cp50,PLp,,,
22,opus41tc:task36#cp25,PLe,,,
23,opus41:django__django-11951#cp25,PLp,,,
24,o3mini:sphinx-doc__sphinx-7748#cp75,PLp,,,
25,opus41tc:task30#cp25,PLe,,,
26,opus41tc:task36#cp50,PLe,,,
27,opus41tc:task45#cp75,PLp,,,
28,opus41:sphinx-doc__sphinx-10673#cp75,PLp,,,
29,gemflash:task30#cp50,PLp,,,
30,opus41tc:task46#cp75,PLe,,,
31,gemflash:task45#cp50,PLp,,,
32,gemflash:task45#cp75,PLe,,,
33,opus41:sphinx-doc__sphinx-8056#cp75,PLe,,,
34,opus41:sphinx-doc__sphinx-9367#cp50,PLp,,,
35,opus41tc:task36#cp25,PLp,,,
36,gemflash:task46#cp75,PLp,,,
37,opus41:django__django-12193#cp75,PLe,,,
38,opus41tc:task30#cp50,PLp,,,
